Fecha,Hora_Log,TKR,Precio,Hora_BVC
6 Abr,16:38:28,IBC:,6078.1,12:37:59
6 Abr,16:38:28,I.FINANCIE:,11617.14,12:37:59
6 Abr,16:38:28,I.INDUSTR:,2483.45,12:37:59
6 abr,16:38:28,ABC.A:,1748.0,12:27:32
6 Abr,16:38:28,BNC:,1650.0,12:33:17
6 Abr,16:38:28,BPV:,146.0,12:37:18
6 Abr,16:38:28,BVCC:,595.0,12:30:49
6 Abr,16:38:28,BVL:,1677.0,12:37:18
6 abr,16:38:28,CCP.B:,549.98,12:10:04
6 Abr,16:38:28,CCR:,6800.0,12:37:51
6 abr,16:38:28,CGQ:,4059.0,12:13:35
6 abr,16:38:28,CRM.A:,690.0,12:37:58
6 abr,16:38:28,EFE:,141.0,12:37:18
6 Abr,16:38:28,ENV:,847.99,12:33:44
6 Abr,16:38:28,FNC:,1275.0,12:20:50
6 abr,16:38:28,FNV:,350.0,12:23:28
6 Abr,16:38:28,GMC.B:,4600.0,12:37:31
6 Abr,16:38:28,GZL:,800.0,12:37:18
6 Abr,16:38:28,ICP.B:,165.0,12:30:49
6 Abr,16:38:28,IVC.A:,999.0,11:00:04
6 Abr,16:38:28,IVC.B:,540.0,12:30:10
6 Abr,16:38:28,MPA:,100.0,12:37:18
6 abr,16:38:28,MTC.B:,305.83,12:23:57
6 Abr,16:38:28,MVZ.A:,6999.0,12:30:36
6 Abr,16:38:28,MVZ.B:,6500.0,11:51:24
6 abr,16:38:28,PCP.B:,450.0,12:29:30
6 Abr,16:38:28,PGR:,108.0,12:26:30
6 Abr,16:38:28,PIV.B:,50000.0,09:18:45
6 Abr,16:38:28,PTN:,690.0,12:37:21
6 abr,16:38:28,RST.B:,450.0,12:37:22
6 Abr,16:38:28,SVS:,1300.0,12:27:17
6 Abr,16:38:28,TDV.D:,810.0,12:30:49
6 Abr,16:38:28,TPG:,22.0,12:37:02
6 Abr,16:40:11,IBC:,6078.1,12:40:03
6 Abr,16:40:11,I.FINANCIE:,11617.14,12:40:03
6 Abr,16:40:11,I.INDUSTR:,2483.45,12:40:03
6 Abr,16:40:11,PGR:,110.0,12:39:47
6 abr,16:41:45,IBC:,6078.1,12:41:45
6 Abr,16:41:45,I.FINANCIE:,11617.14,12:41:44
6 Abr,16:41:45,I.INDUSTR:,2483.45,12:41:45
6 Abr,16:41:45,PCP.B:,449.0,12:40:58
6 Abr,16:41:45,RST.B:,450.0,12:41:26
6 Abr,16:41:45,SVS:,1299.99,12:41:44
6 Abr,16:41:45,TPG:,21.95,12:41:14
6 Abr,16:44:39,IBC:,6077.69,12:41:58
6 Abr,16:44:39,I.FINANCIE:,11616.17,12:41:58
6 Abr,16:44:39,I.INDUSTR:,2483.45,12:41:58
6 Abr,16:44:39,BVCC:,593.5,12:41:58
6 Abr,16:54:52,IBC:,6225.79,12:53:55
