2026-04-06 16:34:49 - La tarea se está preparando para comenzar.
6 Abr 16:38:28 ✅ ACTUALIZADO IBC: 6078.1 a las 12:37:59
6 Abr 16:38:28 ✅ ACTUALIZADO I.FINANCIE: 11617.14 a las 12:37:59
6 Abr 16:38:28 ✅ ACTUALIZADO I.INDUSTR: 2483.45 a las 12:37:59
6 abr 16:38:28 ✅ ACTUALIZADO ABC.A: 1748.0 a las 12:27:32
6 Abr 16:38:28 ✅ ACTUALIZADO BNC: 1650.0 a las 12:33:17
6 Abr 16:38:28 ✅ ACTUALIZADO BPV: 146.0 a las 12:37:18
6 Abr 16:38:28 ✅ ACTUALIZADO BVCC: 595.0 a las 12:30:49
6 Abr 16:38:28 ✅ ACTUALIZADO BVL: 1677.0 a las 12:37:18
6 abr 16:38:28 ✅ ACTUALIZADO CCP.B: 549.98 a las 12:10:04
6 Abr 16:38:28 ✅ ACTUALIZADO CCR: 6800.0 a las 12:37:51
6 abr 16:38:28 ✅ ACTUALIZADO CGQ: 4059.0 a las 12:13:35
6 abr 16:38:28 ✅ ACTUALIZADO CRM.A: 690.0 a las 12:37:58
6 de abril 16:38:28 ✅ ACTUALIZADO DOM: 819.5 a las 12:30:37
6 abr 16:38:28 ✅ ACTUALIZADO EFE: 141.0 a las 12:37:18
6 Abr 16:38:28 ✅ ACTUALIZADO ENV: 847.99 a las 12:33:44
6 Abr 16:38:28 ✅ ACTUALIZADO FNC: 1275.0 a las 12:20:50
6 abr 16:38:28 ✅ ACTUALIZADO FNV: 350.0 a las 12:23:28
6 Abr 16:38:28 ✅ ACTUALIZADO GMC.B: 4600.0 a las 12:37:31
6 Abr 16:38:28 ✅ ACTUALIZADO GZL: 800.0 a las 12:37:18
6 Abr 16:38:28 ✅ ACTUALIZADO ICP.B: 165.0 a las 12:30:49
6 Abr 16:38:28 ✅ ACTUALIZADO IVC.A: 999.0 a las 11:00:04
6 Abr 16:38:28 ✅ ACTUALIZADO IVC.B: 540.0 a las 12:30:10
6 Abr 16:38:28 ✅ ACTUALIZADO MPA: 100.0 a las 12:37:18
6 abr 16:38:28 ✅ ACTUALIZADO MTC.B: 305.83 a las 12:23:57
6 Abr 16:38:28 ✅ ACTUALIZADO MVZ.A: 6999.0 a las 12:30:36
6 Abr 16:38:28 ✅ ACTUALIZADO MVZ.B: 6500.0 a las 11:51:24
6 abr 16:38:28 ✅ ACTUALIZADO PCP.B: 450.0 a las 12:29:30
6 Abr 16:38:28 ✅ ACTUALIZADO PGR: 108.0 a las 12:26:30
6 Abr 16:38:28 ✅ ACTUALIZADO PIV.B: 50000.0 a las 09:18:45
6 Abr 16:38:28 ✅ ACTUALIZADO PTN: 690.0 a las 12:37:21
6 de abril 16:38:28 ✅ ACTUALIZADO RST: 552.0 a las 12:37:21
6 abr 16:38:28 ✅ ACTUALIZADO RST.B: 450.0 a las 12:37:22
6 Abr 16:38:28 ✅ ACTUALIZADO SVS: 1300.0 a las 12:27:17
6 Abr 16:38:28 ✅ ACTUALIZADO TDV.D: 810.0 a las 12:30:49
6 Abr 16:38:28 ✅ ACTUALIZADO TPG: 22.0 a las 12:37:02
6 Abr 16:40:11 ✅ ACTUALIZADO IBC: 6078.1 a las 12:40:03
6 Abr 16:40:11 ✅ ACTUALIZADO I.FINANCIE: 11617.14 a las 12:40:03
6 Abr 16:40:11 ✅ ACTUALIZADO I.INDUSTR: 2483.45 a las 12:40:03
6 Abr 16:40:11 ✅ ACTUALIZADO PGR: 110.0 a las 12:39:47
6 abr 16:41:45 ✅ ACTUALIZADO IBC: 6078.1 a las 12:41:45
6 Abr 16:41:45 ✅ ACTUALIZADO I.FINANCIE: 11617.14 a las 12:41:44
6 Abr 16:41:45 ✅ ACTUALIZADO I.INDUSTR: 2483.45 a las 12:41:45
6 Abr 16:41:45 ✅ ACTUALIZADO PCP.B: 449.0 a las 12:40:58
6 Abr 16:41:45 ✅ ACTUALIZADO RST.B: 450.0 a las 12:41:26
6 Abr 16:41:45 ✅ ACTUALIZADO SVS: 1299.99 a las 12:41:44
6 Abr 16:41:45 ✅ ACTUALIZADO TPG: 21.95 a las 12:41:14
6 Abr 16:44:39 ✅ ACTUALIZADO IBC: 6077.69 a las 12:41:58
6 Abr 16:44:39 ✅ ACTUALIZADO I.FINANCIE: 11616.17 a las 12:41:58
6 Abr 16:44:39 ✅ ACTUALIZADO I.INDUSTR: 2483.45 a las 12:41:58
6 Abr 16:44:39 ✅ ACTUALIZADO BVCC: 593.5 a las 12:41:58
6 Abr 16:54:52 ✅ ACTUALIZADO IBC: 6225.79 a las 12:53:55
6 Abr 16:54:52 ✅ ACTUALIZADO I.FINANCIE: 11947.98 a las 12:53:55
6 Abr 16:54:52 ✅ ACTUALIZADO I.INDUSTR: 2502.74 a las 12:53:55
6 Abr 16:54:52 ✅ ACTUALIZADO ABC.A: 1744.0 a las 12:53:07
6 Abr 16:54:52 ✅ ACTUALIZADO BNC: 1684.0 a las 12:53:54
