fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-28,ABC.A,295.0,0.0,1770640.00,--
2025-12-01,ABC.A,285.01,-9.99,166685.05,--
2025-12-02,ABC.A,280.0,-5.01,52070.50,--
2025-12-03,ABC.A,275.0,-5.0,43945.00,--
2025-12-04,ABC.A,290.0,15.0,192626.05,--
2025-12-06,ABC.A,290.0,0.0,121778.69,--
2025-12-09,ABC.A,288.0,-2.0,171995.00,--
2025-12-10,ABC.A,288.0,0.0,114102.00,--
2025-12-11,ABC.A,280.0,-8.0,49838.00,--
2025-12-13,ABC.A,290.0,10.0,159406.00,--
2025-12-15,ABC.A,280.0,-10.0,151911.64,--
2025-12-16,ABC.A,280.0,0.0,111594.33,--
2025-12-17,ABC.A,290.0,10.0,167920.00,--
2025-12-18,ABC.A,290.0,0.0,249760.00,--
2025-12-19,ABC.A,315.0,25.0,189683.00,--
2025-12-22,ABC.A,316.0,1.0,233481.00,--
2025-12-23,ABC.A,330.0,14.0,50305.00,--
2025-12-26,ABC.A,350.0,20.0,59063.00,--
2025-12-29,ABC.A,409.0,59.0,192679.00,--
2025-12-30,ABC.A,425.0,16.0,614456.26,--
2026-01-02,ABC.A,480.0,55.0,142512.48,11:51:02
2026-01-05,ABC.A,550.0,70.0,312630.00,09:20:17
2026-01-07,ABC.A,790.0,240.0,1928970.00,12:16:12
2026-01-08,ABC.A,900,110,937175.5,13:00:30
2026-01-09,ABC.A,1103.9,203.95,52815.3,09:14:05
