fecha,accion,precio,variacion_abs,monto_efectivo,hora
2026-01-09,ARC.B,620.0,0.0,12360.0,12:27:33
2026-01-14,ARC.B,620.0,0.0,6200.0,12:40:13
2026-01-16,ARC.B,620.0,0.0,1860.0,10:41:12
2026-01-20,ARC.B,620.0,0.0,7440.0,10:39:14
2026-01-21,ARC.B,620.0,0.0,22100.0,11:16:19
2026-01-23,ARC.B,620.0,0.0,620.0,09:12:02
2026-01-29,ARC.B,620.0,0.0,1850.0,10:00:11
2026-02-02,ARC.B,620.0,0.0,6200.0,11:26:38
2026-02-03,ARC.B,620.0,0.0,1860.0,12:17:55
2026-02-04,ARC.B,620.0,0.0,28810.0,11:54:13
2026-02-09,ARC.B,620.0,0.0,18600.0,11:46:54
2026-02-10,ARC.B,620.0,0.0,22100.0,12:31:25
2026-02-11,ARC.B,620.0,0.0,11700.0,12:07:10
2026-02-12,ARC.B,620.0,0.0,32500.0,12:08:37
2026-02-13,ARC.B,620.0,0.0,57200.0,12:40:59
2026-02-18,ARC.B,620.0,0.0,5560.0,09:18:55
2026-02-19,ARC.B,620.0,0.0,10552.0,12:26:10
2026-02-20,ARC.B,620.0,0.0,28600.0,12:05:18
2026-02-23,ARC.B,620.0,0.0,23720.0,12:40:01
2026-02-24,ARC.B,620.0,0.0,52742.0,12:40:06
2026-02-25,ARC.B,620.0,0.0,8300.0,12:29:58
2026-02-26,ARC.B,620.0,0.0,618350.0,12:20:48
2026-02-27,ARC.B,620.0,0.0,17681.0,12:15:18
2026-03-02,ARC.B,620.0,0.0,650.0,10:53:56
2026-03-03,ARC.B,620.0,0.0,3250.0,11:41:29
2026-03-04,ARC.B,620.0,0.0,74750.0,12:09:20
2026-03-09,ARC.B,620.0,0.0,3150.0,10:21:04
2026-03-10,ARC.B,620.0,0.0,16250.0,12:37:31
2026-03-11,ARC.B,620.0,0.0,62450.0,12:27:07
2026-03-12,ARC.B,892.0,272.0,155325.0,12:41:25
