fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,BNC,429.0,0.0,2807272.21,--
2025-11-28,BNC,429.0,0.0,5321519.1,--
2025-12-01,BNC,427.9,-1.1,374690.26,--
2025-12-02,BNC,423.0,-4.9,2635714.13,--
2025-12-03,BNC,420.0,-3.0,272269.04,--
2025-12-04,BNC,412.5,-7.5,967102.15,--
2025-12-06,BNC,414.0,1.5,1608973.26,--
2025-12-09,BNC,409.89,-4.11,534749.19,--
2025-12-10,BNC,398.9,-10.99,359180.69,--
2025-12-11,BNC,395.0,-3.9,344168.6,--
2025-12-13,BNC,394.95,-0.05,821113.09,--
2025-12-15,BNC,390.0,-4.95,356068.28,--
2025-12-16,BNC,393.5,3.5,1206715.94,--
2025-12-17,BNC,390.0,-3.5,7308254.09,--
2025-12-18,BNC,410.0,20.0,1222455.86,--
2025-12-19,BNC,440.0,30.0,1330998.28,--
2025-12-22,BNC,440.0,0.0,731155.0,--
2025-12-23,BNC,454.9,14.9,720360.84,--
2025-12-26,BNC,475.0,20.1,366283.68,--
2025-12-29,BNC,535.0,60.0,2724710.37,--
2025-12-30,BNC,550.0,15.0,3871515.0,--
2026-01-02,BNC,599.0,49.0,741214.0,13:00:08
2026-01-05,BNC,700.0,101.0,705450.0,09:45:39
2026-01-06,BNC,910.0,210.0,659407.0,11:06:58
2026-01-07,BNC,1089.0,179.0,6075973.0,13:00:11
2026-01-08,BNC,1078.5,-10.25,14557347.0,13:00:30
2026-01-09,BNC,1250.0,171.25,68251174.74,13:00:17
2026-01-13,BNC,1240.0,-10.0,3256609.07,13:00:01
2026-01-14,BNC,1200.0,-40.0,4474384.18,13:00:20
2026-01-16,BNC,1079.4,-110.41,2117487.32,13:00:27
2026-01-20,BNC,990.0,-89.49,2870121.61,13:00:11
2026-01-21,BNC,891.5,-98.5,10533597.93,12:34:04
2026-01-22,BNC,840.0,-51.5,12815093.2,12:48:01
2026-01-23,BNC,870.0,30.0,15836661.8,13:00:07
2026-01-26,BNC,880.0,10.0,8634895.0,12:53:54
2026-01-27,BNC,878.0,-2.0,9225670.0,13:00:21
2026-01-28,BNC,875.0,-3.0,4944141.25,13:00:09
2026-01-29,BNC,925.5,50.5,9724527.84,13:00:28
2026-01-30,BNC,1015.0,89.5,6148031.0,12:51:05
2026-02-02,BNC,1116.0,101.0,2106412.53,12:54:52
2026-02-03,BNC,1208.0,92.0,2311010820.54,12:54:05
2026-02-04,BNC,1328.0,120.06,2182490205.4,12:44:49
2026-02-05,BNC,1460.0,132.51,1995105235.9,13:00:24
2026-02-06,BNC,1580.0,119.43,16141392.53,13:00:12
2026-02-09,BNC,1530.0,-50.0,5100291.9,13:00:07
2026-02-10,BNC,1319.0,-210.5,18763890.92,13:00:27
2026-02-11,BNC,1315.0,-4.5,3768556.6,13:00:15
2026-02-12,BNC,1300.0,-15.0,16062466.0,13:00:02
2026-02-13,BNC,1350.0,50.0,5925619.98,12:53:45
2026-02-18,BNC,1510.0,160.0,17047265.0,12:50:41
2026-02-19,BNC,1500.0,-10.0,6103067.98,13:00:12
2026-02-20,BNC,1589.0,89.0,4057309.5,13:00:01
2026-02-23,BNC,1700.0,111.0,9732594.91,13:00:27
2026-02-24,BNC,1800.0,100.0,13067641.3,13:00:15
2026-02-25,BNC,1878.0,78.0,7837347.38,13:00:04
2026-02-26,BNC,1800.0,-78.0,2634733066.0,13:00:23
2026-02-27,BNC,1800.0,0.0,5980577.8,13:00:11
2026-03-02,BNC,1795.0,-5.0,6477334.71,13:00:18
2026-03-03,BNC,1774.0,-21.0,341105073.0,12:54:58
2026-03-04,BNC,1720.0,-54.0,18643268.02,13:00:27
2026-03-05,BNC,1700.0,-20.0,441243818.81,12:54:52
2026-03-06,BNC,1750.0,50.0,12098252.94,13:00:01
2026-03-09,BNC,1770.0,20.0,4498194.39,13:54:09
2026-03-10,BNC,1799.0,29.0,3479993.87,12:48:40
2026-03-11,BNC,1750.0,-49.0,5869113.45,12:45:03
2026-03-12,BNC,1750.01,0.01,5417298.32,13:00:23
2026-03-13,BNC,1850.01,100.0,4233650.23,13:00:12
2026-03-16,BNC,1970.0,119.99,5670699.75,13:05:10
2026-03-17,BNC,1948.95,-21.05,3207469.04,13:00:26
2026-03-18,BNC,1939.0,-9.95,1336612.5,13:00:14
2026-03-20,BNC,1899.0,-40.0,4998455.39,13:00:42
2026-03-23,BNC,1750.0,-149.0,5369891.03,13:01:26
2026-03-24,BNC,1668.0,-82.0,6350841.94,13:00:05
2026-03-25,BNC,1600.0,-68.0,10180060.13,12:53:55
2026-03-26,BNC,1600.0,0.0,8463814.14,13:00:12
2026-03-27,BNC,1630.0,30.0,6247396.03,13:00:00
