fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-28,BPV,54.4,-1.0,1868386.92,--
2025-12-01,BPV,54.5,15.0,1069257.24,--
2025-12-02,BPV,52.97,-153.0,2213429.88,--
2025-12-03,BPV,55.0,203.0,40927337.55,--
2025-12-04,BPV,53.5,-15.0,1338746.30,--
2025-12-06,BPV,50.0,-35.0,12498856.84,--
2025-12-09,BPV,50.0,-2.0,6823910.17,--
2025-12-10,BPV,51.9,19.0,701993.01,--
2025-12-11,BPV,51.0,-9.0,6875993.20,--
2025-12-13,BPV,50.7,-3.0,574957.33,--
2025-12-15,BPV,49.8,-2.0,1729252.74,--
2025-12-16,BPV,49.09,-1.0,1289651.85,--
2025-12-17,BPV,48.0,-109.0,3154553.79,--
2025-12-18,BPV,55.0,7.0,3376337.00,--
2025-12-19,BPV,52.49,249.0,45724487.02,--
2025-12-22,BPV,49.5,-298.0,6766641.73,--
2025-12-23,BPV,49.5,0.0,3270354.92,--
2025-12-26,BPV,51.0,0.0,27400941.17,--
2025-12-29,BPV,67.0,175.0,3261240.39,--
2025-12-30,BPV,67.9,9.0,7888510.00,--
2026-01-02,BPV,72.0,4.1,1596905.85,12:50:48
2026-01-05,BPV,86.0,39.0,633573.75,09:22:36
2026-01-06,BPV,147.5,61.11,6853959.45,12:07:05
2026-01-07,BPV,165.0,17.5,14897034.13,13:00:11
2026-01-08,BPV,195.3,7855302.25,13:00:30,
2026-01-09,BPV,234.0,39.0,397175.0,10:01:51
2026-01-13,BPV,218.0,-16.0,8206833.3,13:00:01
2026-01-14,BPV,200.0,-18.0,6495442.06,13:00:20
2026-01-15,BPV,180.0,-20.0,89481606.93,12:29:20
2026-01-16,BPV,162.0,-17.99,4028774.65,11:28:22
2026-01-20,BPV,145.85,-16.16,3338172.21,12:08:18
2026-01-21,BPV,131.41,-14.59,7465989.26,13:00:30
2026-01-22,BPV,118.28,-13.13,10020972.24,13:00:18
2026-01-23,BPV,111.95,-6.33,7430674.23,13:00:07
2026-01-26,BPV,105.0,-6.95,14376330.34,13:00:02
2026-01-27,BPV,95.0,-10.0,21173997.83,12:51:01
2026-01-28,BPV,89.8,-5.2,9593985.77,13:00:09
2026-01-29,BPV,89.8,0.0,19737388.67,13:00:30
2026-01-30,BPV,98.6,8.8,5345389.69,12:47:39
2026-02-02,BPV,108.11,9.51,24613228.63,12:46:37
2026-02-03,BPV,129.5,21.39,44925702.34,12:53:37
2026-02-04,BPV,144.0,14.5,21228260.54,13:00:05
2026-02-05,BPV,169.99,25.99,27393260.92,13:00:24
2026-02-06,BPV,203.9,33.91,32964470.72,13:00:13
2026-02-09,BPV,185.99,-17.91,21438278.85,13:00:08
2026-02-10,BPV,155.0,-30.99,14866612.22,13:00:28
2026-02-11,BPV,155.0,0.0,19059826.98,13:00:15
2026-02-12,BPV,152.0,-3.0,114479074.37,13:00:02
2026-02-13,BPV,152.5,0.5,32840237.15,13:00:21
2026-02-18,BPV,155.0,2.5,34828488.49,13:00:24
2026-02-19,BPV,162.0,7.0,29739480.86,13:00:13
2026-02-20,BPV,160.0,-2.0,27537680.46,13:00:01
2026-02-23,BPV,170.0,10.0,29182627.3,13:00:27
2026-02-24,BPV,184.99,14.99,51172183.24,13:00:16
2026-02-25,BPV,180.0,-4.99,24009702.19,13:00:04
2026-02-26,BPV,180.0,0.0,10286790.45,13:00:24
2026-02-27,BPV,175.0,-5.0,39432305.31,13:00:12
2026-03-02,BPV,167.5,-7.5,11178377.13,12:53:32
2026-03-03,BPV,170.0,2.5,20217265.59,13:00:06
2026-03-04,BPV,166.0,-4.0,24440780.71,13:00:29
2026-03-05,BPV,165.0,-1.0,116559448.12,13:00:15
2026-03-06,BPV,160.0,-5.0,37555837.6,13:00:01
2026-03-09,BPV,159.0,-1.0,17427799.47,13:54:09
2026-03-10,BPV,153.99,-5.01,10535159.36,13:00:16
2026-03-11,BPV,154.99,1.0,30684444.36,13:00:04
2026-03-12,BPV,153.94,-1.05,40448954.01,13:00:24
2026-03-13,BPV,152.0,-1.94,16558675.92,13:00:12
2026-03-16,BPV,150.0,-2.0,12031684.72,13:05:11
2026-03-17,BPV,150.0,0.0,19674717.11,13:00:27
2026-03-18,BPV,150.01,0.01,78971282.95,13:00:15
2026-03-20,BPV,150.0,-0.01,36976369.84,13:00:43
2026-03-23,BPV,149.0,-1.0,11727302.25,13:01:26
2026-03-24,BPV,144.89,-4.11,5374151.93,13:00:06
2026-03-25,BPV,143.0,-1.89,15758349.52,13:00:24
2026-03-26,BPV,145.0,2.0,5983878.89,13:00:12
2026-03-27,BPV,143.94,-1.06,7881061.62,13:00:00
2026-03-30,BPV,143.94,0.0,4946604.73,13:00:27
2026-03-31,BPV,143.25,-0.69,5089751.98,13:00:14
2026-04-01,BPV,143.5,0.25,3400164.65,13:00:20
2026-04-06,BPV,150.0,6.5,3751231.25,12:29:32
2026-04-07,BPV,139.75,-9.5,88255828.64,13:00:11
2026-04-08,BPV,139.5,-0.25,4878096.28,12:50:57
2026-04-09,BPV,133.0,-6.5,4935087.11,13:00:17
2026-04-10,BPV,130.0,-3.0,11769935.74,13:00:06
2026-04-13,BPV,129.9,-0.1,4928825.93,13:00:02
2026-04-14,BPV,126.1,-3.8,6642830.95,13:00:21
