fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,BVCC,138.94,0.0,9314917.87,--
2025-11-28,BVCC,139.0,0.06,24276527.18,--
2025-12-01,BVCC,138.0,-1.0,542646.70,--
2025-12-02,BVCC,138.95,0.95,2641607.79,--
2025-12-03,BVCC,138.0,-0.95,7718750.98,--
2025-12-04,BVCC,137.0,-1.0,6814860.08,--
2025-12-06,BVCC,141.0,4.0,2664517.67,--
2025-12-09,BVCC,137.0,-4.0,6212628.75,--
2025-12-10,BVCC,135.0,-2.0,2347092.90,--
2025-12-11,BVCC,136.99,1.99,10391593.13,--
2025-12-13,BVCC,137.98,0.99,692216.64,--
2025-12-15,BVCC,139.92,1.94,15461532.52,--
2025-12-16,BVCC,139.65,-0.27,13817946.46,--
2025-12-17,BVCC,138.99,-0.66,8124787.01,--
2025-12-18,BVCC,141.0,2.01,5370332.10,--
2025-12-19,BVCC,149.99,8.99,1134904.62,--
2025-12-22,BVCC,159.75,9.76,137861643.52,--
2025-12-23,BVCC,150.0,-9.75,3928143.61,--
2025-12-26,BVCC,156.99,6.99,12938088.46,--
2025-12-29,BVCC,170.0,13.01,5390262.86,--
2025-12-30,BVCC,205.0,35.0,17385106.80,--
2026-01-02,BVCC,255.0,50.0,948596.00,12:54:00
2026-01-05,BVCC,306.0,51.0,5742.00,09:05:34
2026-01-06,BVCC,495.0,189.0,6652865.07,12:11:06
2026-01-07,BVCC,577.85,82.85,6719156.45,13:00:11
2026-01-08,BVCC,584.6,12705033.86,12:54:44,
2026-01-09,BVCC,703.1,119.0,3531955.0,11:31:41
2026-01-13,BVCC,710.0,7.0,40879191.29,12:54:01
2026-01-14,BVCC,700.0,-10.0,6191061.02,13:00:20
2026-01-15,BVCC,663.5,-36.5,2235659,12:48:48
2026-01-16,BVCC,576.05,-63.95,1567742.63,12:44:06
2026-01-20,BVCC,519.0,-57.05,1045309.51,12:06:18
2026-01-21,BVCC,468.3,-51.97,1749445.74,11:15:57
2026-01-22,BVCC,421.28,-46.75,6954131.86,11:40:46
2026-01-23,BVCC,380.0,-41.33,22063386.81,12:45:52
2026-01-26,BVCC,349.0,-31.0,8357317,12:54:33
2026-01-27,BVCC,349.0,0.0,23644993.95,12:50:52
2026-01-28,BVCC,315.0,-34.0,32766045.95,12:49:00
2026-01-29,BVCC,343.0,28.8,145105423.8,12:50:15
2026-01-30,BVCC,378.05,34.25,6000430.35,12:06:22
2026-02-02,BVCC,415.0,36.95,8331582.48,12:53:11
2026-02-03,BVCC,502.0,87.0,8539280.74,13:00:16
2026-02-04,BVCC,606.0,104.0,10617083.5,13:00:05
2026-02-05,BVCC,666.9,60.9,12773869.1,13:00:24
2026-02-06,BVCC,650.0,-16.9,20805859.55,12:52:32
2026-02-09,BVCC,619.75,-30.25,2990058.6,12:51:48
2026-02-10,BVCC,548.0,-71.75,2645474.0,12:53:49
2026-02-11,BVCC,502.0,-46.0,4681512.36,13:00:15
2026-02-12,BVCC,537.0,35.0,1388744.15,13:00:02
2026-02-13,BVCC,550.0,13.0,1432326.15,12:45:01
2026-02-18,BVCC,600.0,50.0,8547068.5,13:00:24
2026-02-19,BVCC,635.0,35.0,10926373.87,13:00:13
2026-02-20,BVCC,699.99,64.99,31657161.24,13:00:01
2026-02-23,BVCC,701.0,1.01,12045033.07,13:00:27
2026-02-24,BVCC,710.0,9.0,11568232.4,13:00:16
2026-02-25,BVCC,685.11,-24.89,88942527.97,13:00:05
2026-02-26,BVCC,710.0,24.89,407005392.09,12:49:14
2026-02-27,BVCC,792.0,82.0,3424736.95,13:00:12
2026-03-02,BVCC,950.0,158.0,14159240.58,13:00:19
2026-03-03,BVCC,940.0,-10.0,8061520.51,12:53:17
2026-03-04,BVCC,890.0,-50.0,3766671.0,13:00:30
2026-03-05,BVCC,888.0,-2.0,21039392.14,13:00:16
2026-03-06,BVCC,815.0,-73.0,10878864.53,13:00:01
2026-03-09,BVCC,785.0,-30.0,11585953.85,13:54:09
2026-03-10,BVCC,781.0,-4.0,9234629.62,13:00:17
2026-03-11,BVCC,773.99,-7.01,10948305.31,12:52:26
2026-03-12,BVCC,700.0,-73.99,18019920.53,13:00:25
2026-03-13,BVCC,700.0,0.0,3545157.33,13:00:12
2026-03-16,BVCC,700.0,0.0,2130741.93,13:05:11
2026-03-17,BVCC,702.98,2.98,12608712.29,12:55:17
2026-03-18,BVCC,698.01,-4.97,9366313.65,12:54:16
2026-03-20,BVCC,697.0,-1.01,4419010.02,12:53:52
2026-03-23,BVCC,695.0,-2.0,3265695.93,13:01:27
2026-03-24,BVCC,640.0,-55.0,4348719.75,13:00:07
2026-03-25,BVCC,632.5,-7.5,390318329.44,12:54:49
2026-03-26,BVCC,598.99,-33.51,8837861.69,13:00:12
2026-03-27,BVCC,600.0,1.01,11306337.15,13:00:01
2026-03-30,BVCC,593.0,-7.0,8865077.46,13:00:28
