fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,CCP.B,44.48,0.0,134494.39,--
2025-11-28,CCP.B,44.0,-0.48,49685.51,--
2025-12-01,CCP.B,44.0,0.0,203708.83,--
2025-12-02,CCP.B,42.0,-2.0,384557.38,--
2025-12-03,CCP.B,40.0,-2.0,203434.46,--
2025-12-04,CCP.B,40.0,0.0,71679.33,--
2025-12-06,CCP.B,40.0,0.0,93358.05,--
2025-12-09,CCP.B,38.98,-1.02,1312479.45,--
2025-12-10,CCP.B,38.84,-0.14,188798.99,--
2025-12-11,CCP.B,38.95,0.11,92832.29,--
2025-12-13,CCP.B,39.9,0.95,107893.76,--
2025-12-15,CCP.B,39.0,-0.9,51380.69,--
2025-12-16,CCP.B,39.0,0.0,57026.56,--
2025-12-17,CCP.B,38.44,-0.56,84847.49,--
2025-12-18,CCP.B,38.4,-0.04,38315.8,--
2025-12-19,CCP.B,38.34,-0.06,89747.64,--
2025-12-22,CCP.B,38.29,-0.05,82722.8,--
2025-12-23,CCP.B,39.0,0.71,145671.25,--
2025-12-26,CCP.B,42.0,3.0,84520.71,--
2025-12-29,CCP.B,46.0,4.0,124252.25,--
2025-12-30,CCP.B,52.0,6.0,84440.9,--
2026-01-02,CCP.B,55.0,3.0,49300.0,13:00:08
2026-01-05,CCP.B,65.0,10.0,210664.5,12:52:15
2026-01-06,CCP.B,77.9,12.9,486961.2,12:52:26
2026-01-07,CCP.B,77.0,-0.9,144447.7,13:00:11
2026-01-09,CCP.B,77.0,0.0,45400.0,12:20:16
2026-01-13,CCP.B,76.5,-0.5,225458.79,12:48:39
2026-01-14,CCP.B,76.5,0.0,85160.0,12:27:23
2026-01-15,CCP.B,76.5,0.0,71910.0,13:00:08
2026-01-16,CCP.B,75.5,-1.0,252890.34,12:40:49
2026-01-20,CCP.B,75.45,-0.05,171567.95,13:00:11
2026-01-21,CCP.B,75.45,0.0,116366.0,12:48:19
2026-01-22,CCP.B,75.45,0.0,74045.42,12:54:42
2026-01-23,CCP.B,75.45,0.0,329752.55,12:52:32
2026-01-26,CCP.B,75.45,0.0,198702.9,12:38:56
2026-01-27,CCP.B,72.0,-3.45,174250.16,12:40:56
2026-01-28,CCP.B,72.0,0.0,76478.08,13:00:09
2026-01-29,CCP.B,69.0,-3.0,190862.25,13:00:30
2026-01-30,CCP.B,66.5,-2.5,401952.52,12:53:12
2026-02-02,CCP.B,73.0,6.5,165712.62,12:53:07
2026-02-03,CCP.B,77.0,4.0,175756.12,13:01:16
2026-02-04,CCP.B,80.0,3.0,1320027.0,13:00:05
2026-02-05,CCP.B,85.0,5.0,232637.0,12:02:20
2026-02-06,CCP.B,85.0,0.0,145034.47,12:28:08
2026-02-09,CCP.B,93.5,8.5,476301.84,12:25:53
2026-02-10,CCP.B,100.54,7.04,157821.21,12:46:56
2026-02-11,CCP.B,103.0,2.46,649207.0,12:43:46
2026-02-12,CCP.B,103.0,0.0,14380.0,12:51:08
2026-02-13,CCP.B,121.0,18.0,158123.0,12:33:17
2026-02-18,CCP.B,138.0,17.0,241808.91,12:43:32
2026-02-19,CCP.B,138.0,0.0,92370.45,12:45:09
2026-02-20,CCP.B,138.0,0.0,132855.2,12:52:30
