fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,CCR,8200.0,0.0,1572200.00,--
2025-11-28,CCR,9000.0,800.0,1560575.00,--
2025-12-01,CCR,9500.0,500.0,76499.00,--
2025-12-02,CCR,8000.0,-1500.0,75000.00,--
2025-12-03,CCR,6500.0,-1500.0,291900.00,--
2025-12-06,CCR,8000.0,1500.0,8000.00,--
2025-12-09,CCR,6000.0,-2000.0,222000.00,--
2025-12-10,CCR,6000.0,0.0,191750.00,--
2025-12-11,CCR,6000.0,0.0,46200.00,--
2025-12-13,CCR,5600.0,-400.0,287600.00,--
2025-12-15,CCR,5000.0,-600.0,162550.00,--
2025-12-16,CCR,5975.0,975.0,108926.00,--
2025-12-17,CCR,4989.0,-986.0,439238.00,--
2025-12-18,CCR,4001.0,-988.0,199961.00,--
2025-12-19,CCR,3998.0,-3.0,201289.00,--
2025-12-22,CCR,3600.0,-398.0,367107.01,--
2025-12-23,CCR,3200.0,-400.0,273263.00,--
2025-12-29,CCR,3000.0,-200.0,1628232.00,--
2025-12-30,CCR,3000.0,0.0,2656806.00,--
2026-01-02,CCR,3600.0,600.0,211600.00,13:00:08
2026-01-05,CCR,4319.0,719.0,17276.00,10:03:17
2026-01-06,CCR,5100.0,781.0,60566.00,12:32:27
2026-01-07,CCR,5100.0,0.0,331900.00,12:51:29
2026-01-08,CCR,6000.0,900,78000,12:36:31
2026-01-09,CCR,7200.0,1200,79150,12:31:41
