fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,CGQ,400.0,0.0,3649.99,--
2025-11-28,CGQ,400.0,0.0,17600.00,--
2025-12-01,CGQ,400.0,0.0,31443.24,--
2025-12-02,CGQ,350.0,-50.0,43040.54,--
2025-12-03,CGQ,389.95,39.95,4699.45,--
2025-12-04,CGQ,380.0,-9.95,37840.00,--
2025-12-06,CGQ,384.99,4.99,55439.96,--
2025-12-09,CGQ,375.0,-9.99,7515.00,--
2025-12-10,CGQ,374.99,-0.01,37856.38,--
2025-12-11,CGQ,374.99,0.0,11880.85,--
2025-12-13,CGQ,374.99,0.0,5579.86,--
2025-12-15,CGQ,374.98,-0.01,23469.46,--
2025-12-16,CGQ,374.9,-0.08,24746.98,--
2025-12-17,CGQ,400.0,25.1,57890.00,--
2025-12-18,CGQ,419.0,19.0,49036.00,--
2025-12-19,CGQ,400.0,-19.0,19563.00,--
2025-12-22,CGQ,422.0,22.0,58240.00,--
2025-12-23,CGQ,422.0,0.0,26079.63,--
2025-12-26,CGQ,450.0,28.0,32340.63,--
2025-12-29,CGQ,451.0,1.0,28530.00,--
2025-12-30,CGQ,495.0,44.0,177371.00,--
2026-01-02,CGQ,590.0,95.0,51330.00,12:44:09
2026-01-05,CGQ,599.0,9.0,256491.00,12:43:46
2026-01-06,CGQ,715.0,116.0,625332.00,12:45:04
2026-01-07,CGQ,855.0,140.0,71520.00,13:00:11
2026-01-09,CGQ,1025.9,170.9,88607.6,12:32:38
2026-01-13,CGQ,1050,24.1,162757.8,13:00:01
2026-01-14,CGQ,1050,0,190778,12:47:46
2026-01-15,CGQ,1000,-50,204974.65,12:37:39
2026-01-16,CGQ,1000,0,137783.85,12:40:49
2026-01-20,CGQ,1000,0,50282,13:00:11
2026-01-21,CGQ,999.98,-.02,174041,12:47:36
2026-01-22,CGQ,999.98,0,86105.4,12:34:22
2026-01-23,CGQ,999.98,0,90690.52,12:07:20
2026-01-26,CGQ,999.98,0,29689.82,12:03:40
2026-01-27,CGQ,903,-96.98,229171.8,13:00:21
2026-01-28,CGQ,903,0,107794.07,12:04:01
2026-01-29,CGQ,903,0,3659100.95,12:32:52
