fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,CRM.A,282.0,0.0,22650.00,--
2025-11-28,CRM.A,280.0,-2.0,4150.00,--
2025-12-01,CRM.A,167.4,-112.6,23872.65,--
2025-12-02,CRM.A,160.0,-7.4,40089.00,--
2025-12-03,CRM.A,160.0,0.0,12819.15,--
2025-12-04,CRM.A,166.5,6.5,1333.50,--
2025-12-06,CRM.A,166.0,-0.5,13909.05,--
2025-12-09,CRM.A,174.0,8.0,31076.70,--
2025-12-10,CRM.A,172.0,-2.0,11766.01,--
2025-12-11,CRM.A,172.0,0.0,142207.20,--
2025-12-13,CRM.A,155.0,-17.0,353428.00,--
2025-12-15,CRM.A,179.49,24.49,44223.20,--
2025-12-16,CRM.A,159.99,-19.50,134887.97,--
2025-12-17,CRM.A,169.98,9.99,32208.33,--
2025-12-18,CRM.A,169.97,-0.01,58466.28,--
2025-12-19,CRM.A,169.97,0.0,3399.40,--
2025-12-22,CRM.A,169.96,-0.01,108438.68,--
2025-12-23,CRM.A,160.0,-9.96,163843.47,--
2025-12-26,CRM.A,170.0,10.0,258190.80,--
2025-12-29,CRM.A,185.0,15.0,157185.00,--
2025-12-30,CRM.A,205.0,20.0,108441.90,--
2026-01-02,CRM.A,220.0,15.0,174770.00,12:44:09
2026-01-05,CRM.A,230.0,10.0,123540.00,12:37:44
2026-01-06,CRM.A,330.0,100.0,622445.00,12:51:38
2026-01-07,CRM.A,330.0,0.0,89945.00,13:00:11
2026-01-08,CRM.A,375.0,45.0,500375.00,12:53:56
2026-01-09,CRM.A,450.0,75,30250,11:18:39
2026-01-13,CRM.A,494,44.9,41214.4,11:49:15
2026-01-14,CRM.A,449,-1,253740,13:00:21
2026-01-15,CRM.A,449,0,16828,13:00:08
2026-01-16,CRM.A,410,-39,446192.74,12:50:30
2026-01-20,CRM.A,392,-18,239350.12,12:46:45
2026-01-21,CRM.A,355,-37,236818,12:52:29
2026-01-22,CRM.A,320,-35,211723.3,12:39:17
2026-01-23,CRM.A,320,0,56620,12:47:18
