fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,DOM,150.0,0.0,34377.25,--
2025-11-28,DOM,170.0,20.0,68082.0,--
2025-12-01,DOM,140.0,-30.0,19665.0,--
2025-12-02,DOM,142.0,2.0,31738.65,--
2025-12-03,DOM,133.0,-9.0,16829.07,--
2025-12-04,DOM,140.0,7.0,28582.0,--
2025-12-06,DOM,139.99,-0.01,22398.4,--
2025-12-09,DOM,139.0,-0.99,80437.65,--
2025-12-10,DOM,137.99,-1.01,49346.09,--
2025-12-11,DOM,137.95,-0.04,83394.35,--
2025-12-13,DOM,134.99,-2.96,269912.77,--
2025-12-15,DOM,121.0,-13.99,302086.24,--
2025-12-16,DOM,134.0,13.0,11186.39,--
2025-12-17,DOM,134.5,0.5,17515.75,--
2025-12-18,DOM,150.0,15.5,47850.0,--
2025-12-19,DOM,170.0,20.0,165531.0,--
2025-12-22,DOM,169.9,-0.1,249182.5,--
2025-12-23,DOM,169.88,-0.02,35473.9,--
2025-12-26,DOM,150.0,-19.88,2812957.92,--
2025-12-29,DOM,195.0,45.0,3147510.38,--
2025-12-30,DOM,222.0,27.0,5697858.0,--
2026-01-02,DOM,245.0,23.0,69934.0,13:00:09
2026-01-05,DOM,270.0,25.0,151772.07,13:00:03
2026-01-06,DOM,320.0,50.0,449746.0,11:07:26
2026-01-07,DOM,379.0,59.0,1701260.26,13:00:11
2026-01-08,DOM,384.5,1.32,519578.0,12:52:29
2026-01-09,DOM,450.0,66.0,1873774.8,12:43:44
2026-01-13,DOM,480.0,30.0,475790.0,12:41:15
2026-01-14,DOM,480.0,0.0,198080.0,12:51:34
2026-01-15,DOM,480.0,0.0,74209.78,12:24:09
2026-01-16,DOM,440.0,-40.0,226039.77,12:40:49
2026-01-20,DOM,440.0,0.0,50233.95,12:48:07
2026-01-21,DOM,440.0,0.0,94375.67,12:41:20
2026-01-22,DOM,400.0,-40.0,183386.0,12:54:34
2026-01-23,DOM,400.0,0.0,85807.27,12:43:05
2026-01-26,DOM,400.0,0.0,6469600.95,12:48:04
2026-01-27,DOM,400.0,0.0,122684.47,12:50:00
2026-01-28,DOM,385.0,-15.0,2640395.29,12:41:59
2026-01-29,DOM,399.0,14.0,161923.7,12:02:37
2026-01-30,DOM,425.0,26.0,6494200.05,12:43:07
2026-02-02,DOM,439.0,14.0,5017196.0,12:53:55
2026-02-03,DOM,480.0,41.0,4911477.02,13:00:19
2026-02-04,DOM,527.0,47.0,8840681.0,12:18:43
2026-02-05,DOM,560.0,33.0,8939988.21,12:50:39
2026-02-06,DOM,610.0,50.0,4729512.0,12:49:22
2026-02-09,DOM,639.0,29.0,329467.0,13:00:10
2026-02-10,DOM,620.0,-19.0,239739.0,12:34:12
2026-02-11,DOM,625.0,5.0,1493323.0,11:49:03
2026-02-12,DOM,625.0,0.0,112814.0,13:00:03
2026-02-13,DOM,618.0,-7.0,309684.0,12:47:30
2026-02-18,DOM,615.0,-3.0,544373.0,12:46:10
2026-02-19,DOM,610.0,-5.0,831434.91,12:33:56
2026-02-20,DOM,619.0,9.0,345416.5,13:00:02
2026-02-23,DOM,615.0,-4.0,5666488.0,13:00:27
2026-02-24,DOM,560.0,-55.0,6082002.58,12:52:13
2026-02-25,DOM,580.0,20.0,699160.52,12:36:28
2026-02-26,DOM,580.0,0.0,154230.0,12:52:23
2026-02-27,DOM,580.0,0.0,90115.0,12:53:35
2026-03-02,DOM,590.0,10.0,3590368.0,12:57:13
2026-03-03,DOM,590.0,0.0,2050875.0,12:54:19
2026-03-04,DOM,621.0,31.0,3236890.0,12:29:38
2026-03-05,DOM,700.0,79.0,3791060.0,12:54:57
2026-03-06,DOM,699.0,-1.0,745619.0,13:00:02
2026-03-09,DOM,780.0,81.0,2288753.0,13:54:06
