fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,EFE,36.0,0.0,27291.00,--
2025-11-28,EFE,36.5,0.5,62995.74,--
2025-12-01,EFE,36.0,-0.5,57955.30,--
2025-12-02,EFE,35.9,-0.1,45284.91,--
2025-12-03,EFE,36.0,0.1,42992.90,--
2025-12-04,EFE,36.5,0.5,89396.00,--
2025-12-06,EFE,35.5,-1.0,43984.50,--
2025-12-09,EFE,39.0,3.5,48293.20,--
2025-12-10,EFE,38.9,-0.1,84778.45,--
2025-12-11,EFE,37.0,-1.9,41812.50,--
2025-12-13,EFE,38.9,1.9,41201.80,--
2025-12-15,EFE,38.68,-0.22,88987.96,--
2025-12-16,EFE,36.98,-1.7,81090.62,--
2025-12-17,EFE,36.89,-0.09,50450.93,--
2025-12-18,EFE,36.79,-0.1,25223.05,--
2025-12-19,EFE,40.0,3.21,132069.20,--
2025-12-22,EFE,42.0,2.0,54999.51,--
2025-12-23,EFE,39.95,-2.05,34350.56,--
2025-12-26,EFE,39.97,0.02,88693.57,--
2025-12-29,EFE,46.5,6.53,53736.50,--
2025-12-30,EFE,53.0,6.5,423637.91,--
2026-01-02,EFE,62.0,9.0,61700.00,12:50:48
2026-01-05,EFE,70.0,8.0,185142.00,12:54:40
2026-01-06,EFE,83.0,13.0,1391998.00,12:53:36
2026-01-07,EFE,99.5,16.5,1172882.95,13:00:11
2026-01-08,EFE,118.0,18.5,180365.92,12:45:35
2026-01-09,EFE,141.5,23.5,92475,11:14:11
