fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,FNC,74.0,0.0,13351.16,--
2025-11-28,FNC,80.0,6.0,31098.00,--
2025-12-01,FNC,70.0,-10.0,110050.76,--
2025-12-02,FNC,70.0,0.0,10421.90,--
2025-12-03,FNC,80.0,10.0,16748.10,--
2025-12-04,FNC,85.0,5.0,9310.84,--
2025-12-06,FNC,88.0,3.0,27493.22,--
2025-12-09,FNC,94.0,6.0,26377.60,--
2025-12-10,FNC,89.49,-4.51,8837.77,--
2025-12-11,FNC,92.0,2.51,12092.45,--
2025-12-13,FNC,92.0,0.0,4996.00,--
2025-12-15,FNC,92.0,0.0,18898.00,--
2025-12-16,FNC,98.0,6.0,21343.34,--
2025-12-17,FNC,99.0,1.0,18668.07,--
2025-12-18,FNC,100.0,1.0,18872.05,--
2025-12-19,FNC,98.0,-2.0,50183.44,--
2025-12-22,FNC,98.0,0.0,5540.23,--
2025-12-23,FNC,100.0,2.0,6835.90,--
2025-12-29,FNC,88.11,-11.89,36048.50,--
2025-12-30,FNC,135.0,46.89,26809.00,--
2026-01-02,FNC,130.0,-5.0,17491.45,13:00:09
2026-01-02,FNC,130.0,0.0,2980.00,10:46:57
2026-01-06,FNC,172.0,42.0,204336.00,12:39:50
2026-01-07,FNC,172.0,0.0,2060.00,12:30:53
2026-01-08,FNC,204,32,221316,11:52:30
2026-01-09,FNC,244.0,40,77151.3,12:52:04
