fecha,accion,precio,variacion_abs,monto_efectivo,hora
2026-03-16,FNV,70.6,70.59,17650000.0,11:00:19
2026-03-17,FNV,100.72,30.12,100387.28,09:58:26
2026-03-18,FNV,175.0,104.4,2081254.1,12:37:34
2026-03-20,FNV,359.85,184.85,2703073.0,11:35:48
2026-03-23,FNV,460.0,100.15,3834808.92,13:01:28
2026-03-24,FNV,435.0,-25.0,2920479.13,12:54:48
2026-03-25,FNV,390.0,-45.0,480300.15,12:52:26
2026-03-26,FNV,390.0,0.0,548306.42,12:49:02
2026-03-27,FNV,316.0,-74.0,283549.84,13:00:02
2026-03-30,FNV,350.0,34.0,175917.51,13:00:28
