fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,GMC.B,2600.0,0.0,23400.00,--
2025-11-28,GMC.B,2600.0,0.0,36400.00,--
2025-12-01,GMC.B,2650.0,50.0,21200.00,--
2025-12-02,GMC.B,2650.0,0.0,79500.00,--
2025-12-03,GMC.B,2649.99,-0.01,18549.90,--
2025-12-04,GMC.B,2650.0,0.01,76700.00,--
2025-12-09,GMC.B,2500.0,-150.0,31650.00,--
2025-12-10,GMC.B,2650.0,150.0,78750.00,--
2025-12-11,GMC.B,2750.0,100.0,30248.00,--
2025-12-13,GMC.B,2700.0,-50.0,10950.00,--
2025-12-15,GMC.B,2550.0,-150.0,34500.00,--
2025-12-16,GMC.B,2750.0,200.0,54550.00,--
2025-12-17,GMC.B,2750.0,0.0,40870.00,--
2025-12-18,GMC.B,2750.0,0.0,2750.00,--
2025-12-19,GMC.B,2750.0,0.0,57750.00,--
2025-12-22,GMC.B,2750.0,0.0,96245.00,--
2025-12-23,GMC.B,2800.0,50.0,16680.00,--
2025-12-30,GMC.B,3000.0,200.0,101200.00,--
2026-01-02,GMC.B,3000.0,0.0,39000.00,11:56:23
2026-01-06,GMC.B,4000.0,0.0,12000.00,10:10:53
2026-01-13,GMC.B,4000,0,89250,12:24:07
2026-01-14,GMC.B,4250,250,548250,11:26:54
2026-01-15,GMC.B,4250,0,21175,12:41:12
2026-01-16,GMC.B,4250,0,11700,12:39:23
2026-01-20,GMC.B,4250,0,17000,12:07:10
2026-01-21,GMC.B,4250,0,180950,12:35:06
2026-01-22,GMC.B,4250,0,41875.5,12:13:46
2026-01-23,GMC.B,4250,0,16600,12:29:06
