fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,GZL,107.0,0.0,31317.0,--
2025-11-28,GZL,107.99,0.99,7127.35,--
2025-12-01,GZL,108.0,0.01,6550.5,--
2025-12-02,GZL,106.0,-2.0,31609.0,--
2025-12-03,GZL,107.0,1.0,12056.5,--
2025-12-04,GZL,99.0,-8.0,32657.75,--
2025-12-06,GZL,99.0,0.0,19899.0,--
2025-12-09,GZL,99.0,0.0,16077.98,--
2025-12-10,GZL,99.0,0.0,14574.0,--
2025-12-11,GZL,99.0,0.0,23089.59,--
2025-12-13,GZL,99.0,0.0,19800.0,--
2025-12-15,GZL,99.0,0.0,22896.0,--
2025-12-16,GZL,99.0,0.0,9322.6,--
2025-12-17,GZL,98.0,-1.0,11797.0,--
2025-12-18,GZL,99.0,1.0,21977.85,--
2025-12-19,GZL,109.0,10.0,30573.0,--
2025-12-22,GZL,130.0,21.0,21315.0,--
2025-12-23,GZL,129.0,-1.0,32637.0,--
2025-12-29,GZL,153.99,24.99,50301.54,--
2025-12-30,GZL,153.99,0.0,98653.65,--
2026-01-02,GZL,182.95,28.96,62304.95,12:50:30
2026-01-05,GZL,210.0,27.05,397010.0,12:46:05
2026-01-06,GZL,251.55,41.55,874285.7,12:42:22
2026-01-07,GZL,301.0,49.45,303408.0,12:44:18
2026-01-08,GZL,300.0,-1.0,581580.0,11:23:38
2026-01-09,GZL,360.0,60.0,14039.0,12:48:19
2026-01-13,GZL,360.0,0.0,366590.0,12:47:00
2026-01-14,GZL,350.0,-10.0,273345.0,13:00:21
2026-01-15,GZL,355.0,5.0,280718.5,13:00:08
2026-01-16,GZL,349.0,-6.0,294737.0,12:50:49
2026-01-20,GZL,349.0,0.0,93639.0,13:00:12
2026-01-21,GZL,349.0,0.0,54470.5,12:16:22
2026-01-22,GZL,314.2,-34.8,283507.22,12:45:34
2026-01-23,GZL,314.2,0.0,128123.19,12:40:19
2026-01-26,GZL,314.2,0.0,87259.2,13:00:03
2026-01-27,GZL,314.2,0.0,42707.0,12:26:15
2026-01-28,GZL,300.0,-14.2,264730.0,12:44:51
2026-01-29,GZL,314.0,14.0,371002.0,12:52:16
2026-01-30,GZL,314.0,0.0,4658850.0,12:43:39
2026-02-02,GZL,345.0,31.0,191130.5,12:34:10
2026-02-03,GZL,379.0,34.0,307926.0,13:00:21
2026-02-04,GZL,379.0,0.0,36016.0,12:54:03
2026-02-05,GZL,415.0,36.0,236955.02,12:43:09
2026-02-06,GZL,415.0,0.0,65055.0,12:32:51
2026-02-09,GZL,470.0,55.0,1147951.0,13:00:11
2026-02-10,GZL,470.0,0.0,67582.3,12:50:05
2026-02-11,GZL,470.0,0.0,136000.0,13:00:15
2026-02-12,GZL,470.0,0.0,1880160.0,13:00:03
2026-02-13,GZL,560.0,90.0,338793.0,12:38:40
2026-02-18,GZL,560.0,0.0,143500.0,12:44:19
2026-02-19,GZL,580.0,20.0,966030.0,12:48:54
2026-02-20,GZL,650.0,70.0,671960.0,12:49:59
2026-02-23,GZL,750.0,100.0,7841740.0,12:49:58
2026-02-24,GZL,765.0,15.0,4121628.0,12:11:56
2026-02-25,GZL,765.0,0.0,80460.0,12:36:25
2026-02-26,GZL,765.0,0.0,389385.0,12:24:12
2026-02-27,GZL,800.0,35.0,7829932.0,12:23:30
2026-03-02,GZL,950.0,150.0,517683.0,12:53:34
2026-03-03,GZL,960.0,10.0,231969.95,12:49:31
2026-03-04,GZL,978.5,18.5,15814365.36,12:45:02
2026-03-05,GZL,995.0,16.5,9833107.79,12:13:33
2026-03-06,GZL,998.0,3.0,19625809.0,12:52:08
2026-03-09,GZL,997.5,-0.5,343010.5,13:54:06
2026-03-10,GZL,950.0,-47.5,883001.5,13:00:19
2026-03-11,GZL,950.0,0.0,1637194.26,12:53:33
2026-03-12,GZL,855.0,-95.0,532025.88,12:53:12
2026-03-13,GZL,840.0,-15.0,448627.11,13:00:14
2026-03-16,GZL,930.0,90.0,387493.0,13:05:09
2026-03-17,GZL,915.0,-15.0,1476562.35,12:35:36
2026-03-18,GZL,890.0,-25.0,386517.0,12:43:18
2026-03-20,GZL,890.0,0.0,98080579.95,13:00:43
2026-03-23,GZL,870.0,-20.0,565676.37,12:18:39
2026-03-24,GZL,874.0,4.0,233416.0,12:50:46
2026-03-25,GZL,865.0,-9.0,192462.0,12:54:46
2026-03-26,GZL,860.0,-5.0,7551790.1,12:52:42
2026-03-27,GZL,840.0,-20.0,1338327.0,12:47:17
