fecha,accion,precio,variacion_abs,monto_efectivo,hora
2026-01-07,I.FINANCIE,9.481,0,,13:03:04
2026-01-09,I.FINANCIE,"12.753,64","0,00","0,00",13:03:02
2026-01-13,I.FINANCIE,"12.226,5",0,,13:03:14
2026-01-14,I.FINANCIE,"11.646,98",0,,13:03:17
2026-01-15,I.FINANCIE,"10.864,1",0,,13:03:02
2026-01-16,I.FINANCIE,"9.882,4",0,,13:03:44
2026-01-20,I.FINANCIE,"9.063,77",0,,13:03:35
2026-01-21,I.FINANCIE,"8.325,19",0,,13:03:25
2026-01-22,I.FINANCIE,"7.683,88",0,,13:03:40
2026-01-23,I.FINANCIE,"7.375,95",0,,13:03:13
2026-01-26,I.FINANCIE,"7.170,91",0,,13:03:38
2026-01-27,I.FINANCIE,"6.818,01",0,,13:03:35
2026-01-28,I.FINANCIE,6.566,0,,13:03:29
2026-01-29,I.FINANCIE,"6.772,3",0,,13:03:24
2026-01-30,I.FINANCIE,0.0,0.0,0.0,13:03:09
2026-02-02,I.FINANCIE,0.0,0.0,0.0,13:03:22
2026-02-03,I.FINANCIE,0.0,0.0,0.0,13:03:28
2026-02-04,I.FINANCIE,0.0,0.0,0.0,13:03:14
2026-02-05,I.FINANCIE,0.0,0.0,0.0,13:03:18
2026-02-06,I.FINANCIE,0.0,0.0,0.0,13:03:13
2026-02-09,I.FINANCIE,0.0,0.0,0.0,13:03:45
2026-02-10,I.FINANCIE,0.0,0.0,0.0,13:03:36
2026-02-11,I.FINANCIE,0.0,0.0,0.0,13:03:10
2026-02-12,I.FINANCIE,0.0,0.0,0.0,13:03:09
2026-02-13,I.FINANCIE,0.0,0.0,0.0,13:03:11
2026-02-18,I.FINANCIE,0.0,0.0,0.0,13:03:16
2026-02-19,I.FINANCIE,0.0,0.0,0.0,13:03:31
2026-02-20,I.FINANCIE,0.0,0.0,0.0,13:03:20
2026-02-23,I.FINANCIE,0.0,0.0,0.0,13:03:40
2026-02-24,I.FINANCIE,0.0,0.0,0.0,13:03:32
2026-02-25,I.FINANCIE,0.0,0.0,0.0,13:03:38
2026-02-26,I.FINANCIE,0.0,0.0,0.0,13:03:11
2026-02-27,I.FINANCIE,0.0,0.0,0.0,13:03:14
2026-03-02,I.FINANCIE,0.0,0.0,0.0,13:03:47
2026-03-03,I.FINANCIE,0.0,0.0,0.0,13:03:26
2026-03-04,I.FINANCIE,0.0,0.0,0.0,13:03:46
2026-03-05,I.FINANCIE,0.0,0.0,0.0,13:03:15
2026-03-06,I.FINANCIE,0.0,0.0,0.0,13:03:15
2026-03-09,I.FINANCIE,0.0,0.0,0.0,13:54:10
