fecha,accion,precio,variacion_abs,monto_efectivo,hora
2026-01-07,I.INDUSTR,"1.005,14",0,,13:03:04
2026-01-09,I.INDUSTR,"1.375,85","0,00","0,00",13:03:02
2026-01-13,I.INDUSTR,"1.415,66",0,,13:03:14
2026-01-14,I.INDUSTR,"1.422,32",0,,13:03:18
2026-01-15,I.INDUSTR,"1.422,48",0,,13:03:02
2026-01-16,I.INDUSTR,"1.369,73",0,,13:03:45
2026-01-20,I.INDUSTR,"1.316,41",0,,13:03:36
2026-01-21,I.INDUSTR,"1.227,19",0,,13:03:25
2026-01-22,I.INDUSTR,"1.140,88",0,,13:03:41
2026-01-23,I.INDUSTR,"1.114,83",0,,13:03:13
2026-01-26,I.INDUSTR,"1.077,74",0,,13:03:39
2026-01-27,I.INDUSTR,"1.068,92",0,,13:03:35
2026-01-28,I.INDUSTR,"1.046,79",0,,13:03:29
2026-01-29,I.INDUSTR,"1.092,1",0,,13:03:25
2026-01-30,I.INDUSTR,0.0,0.0,0.0,13:03:09
2026-02-02,I.INDUSTR,0.0,0.0,0.0,13:03:23
2026-02-03,I.INDUSTR,0.0,0.0,0.0,13:03:28
2026-02-04,I.INDUSTR,0.0,0.0,0.0,13:03:14
2026-02-05,I.INDUSTR,0.0,0.0,0.0,13:03:18
2026-02-06,I.INDUSTR,0.0,0.0,0.0,13:03:13
2026-02-09,I.INDUSTR,0.0,0.0,0.0,13:03:46
2026-02-10,I.INDUSTR,0.0,0.0,0.0,13:03:37
2026-02-11,I.INDUSTR,0.0,0.0,0.0,13:03:11
2026-02-12,I.INDUSTR,0.0,0.0,0.0,13:03:10
2026-02-13,I.INDUSTR,0.0,0.0,0.0,13:03:12
2026-02-18,I.INDUSTR,0.0,0.0,0.0,13:03:16
2026-02-19,I.INDUSTR,0.0,0.0,0.0,13:03:32
2026-02-20,I.INDUSTR,0.0,0.0,0.0,13:03:21
2026-02-23,I.INDUSTR,0.0,0.0,0.0,13:03:41
2026-02-24,I.INDUSTR,0.0,0.0,0.0,13:03:33
2026-02-25,I.INDUSTR,0.0,0.0,0.0,13:03:39
2026-02-26,I.INDUSTR,0.0,0.0,0.0,13:03:12
2026-02-27,I.INDUSTR,0.0,0.0,0.0,13:03:15
2026-03-02,I.INDUSTR,0.0,0.0,0.0,13:03:48
2026-03-03,I.INDUSTR,0.0,0.0,0.0,13:03:27
2026-03-04,I.INDUSTR,0.0,0.0,0.0,13:03:47
2026-03-05,I.INDUSTR,0.0,0.0,0.0,13:03:16
2026-03-06,I.INDUSTR,0.0,0.0,0.0,13:03:15
2026-03-09,I.INDUSTR,0.0,0.0,0.0,13:54:10
2026-03-10,I.INDUSTR,0.0,0.0,0.0,13:03:46
2026-03-11,I.INDUSTR,0.0,0.0,0.0,13:03:38
2026-03-12,I.INDUSTR,2547.8,0.0,0.0,13:03:15
2026-03-13,I.INDUSTR,2574.04,0.0,0.0,13:03:17
2026-03-16,I.INDUSTR,2502.82,0.0,0.0,13:05:13
2026-03-17,I.INDUSTR,2598.73,0.0,0.0,13:03:54
2026-03-18,I.INDUSTR,2638.52,0.0,0.0,13:04:01
2026-03-20,I.INDUSTR,2615.78,0.0,0.0,13:03:21
2026-03-23,I.INDUSTR,2583.25,0.0,0.0,13:03:38
2026-03-24,I.INDUSTR,2712.46,0.0,0.0,13:03:22
2026-03-25,I.INDUSTR,2678.32,0.0,0.0,13:03:50
2026-03-26,I.INDUSTR,2609.94,0.0,0.0,13:03:13
2026-03-27,I.INDUSTR,2577.41,0.0,0.0,13:03:15
2026-03-30,I.INDUSTR,2579.12,0.0,0.0,13:03:32
2026-03-31,I.INDUSTR,2578.84,0.0,0.0,13:03:45
2026-04-02,I.INDUSTR,2602.54,0.0,0.0,13:03:28
