fecha,accion,precio,variacion_abs,monto_efectivo,hora
2026-01-02,IBC,"2230,81",0,13:03:10,
2026-01-05,IBC,"2597,68",0,13:03:03,
2026-01-06,IBC,"3896,77",0,13:03:20,
2026-01-07,IBC,"4458,84",0,,13:03:04
2026-01-08,IBC,"5097,39",0,,13:03:27
2026-01-09,IBC,"6009,58","0,00","0,00",13:03:02
2026-01-13, IBC,"5808,58",0,,13:03:14
2026-01-14, IBC,"5569,43",0,,13:03:17
2026-01-15, IBC,"5242,02",0,,13:03:02
2026-01-16, IBC,"4.805,5",0,,13:03:44
2026-01-20, IBC,"4.436,91",0,,13:03:36
2026-01-21, IBC,"4.084,22",0,,13:03:25
2026-01-23, IBC,"3.632,04",0,,13:03:13
2026-01-26, IBC,"3.528,09",0,,13:03:38
2026-01-27, IBC,"3.376,14",0,,13:03:35
2026-01-28, IBC,"3.259,87",0,,13:03:29
2026-01-29, IBC,"3.368,39",0,,13:03:25
