fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-28,IVC.A,419.99,0.0,12599.70,--
2025-12-01,IVC.A,352.01,-67.98,34813.06,--
2025-12-02,IVC.A,398.99,46.98,17006.83,--
2025-12-03,IVC.A,394.0,-4.99,17777.92,--
2025-12-04,IVC.A,350.0,-44.0,27442.83,--
2025-12-06,IVC.A,398.99,48.99,4391.92,--
2025-12-09,IVC.A,305.0,-93.99,4145.98,--
2025-12-10,IVC.A,306.0,1.0,30000.15,--
2025-12-11,IVC.A,340.0,34.0,7820.00,--
2025-12-13,IVC.A,340.0,0.0,49730.00,--
2025-12-15,IVC.A,380.0,40.0,33441.30,--
2025-12-16,IVC.A,380.0,0.0,35521.59,--
2025-12-17,IVC.A,370.0,-10.0,11382.00,--
2025-12-18,IVC.A,379.0,9.0,1204130.87,--
2025-12-19,IVC.A,370.0,-9.0,17760.00,--
2025-12-22,IVC.A,371.0,1.0,158847.85,--
2025-12-23,IVC.A,367.95,-3.05,11039.70,--
2025-12-29,IVC.A,398.99,31.04,31105.66,--
2025-12-30,IVC.A,398.99,0.0,59050.52,--
2026-01-02,IVC.A,420.0,21.01,42570.33,12:12:56
2026-01-05,IVC.A,501.0,81.0,757881.36,12:17:56
2026-01-06,IVC.A,600.0,99.0,631096.00,11:03:55
2026-01-07,IVC.A,600.0,0.0,48426.00,11:39:00
2026-01-08,IVC.A,720.0,120,2160.09:34:14,
2026-01-09,IVC.A,863,143,215750,10:29:24
2026-01-13,IVC.A,863,0,189860,12:51:36
2026-01-14,IVC.A,863,0,4300,10:52:57
2026-01-15,IVC.A,863,0,20712,11:51:16
2026-01-16,IVC.A,863,0,20530,12:51:41
2026-01-20,IVC.A,863,0,18535,13:00:13
2026-01-21,IVC.A,863,0,8780,13:00:30
2026-01-22,IVC.A,863,0,63854,12:27:43
2026-01-23,IVC.A,863,0,30352,12:41:13
