fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,MTC.B,77.98,0.0,11044.29,--
2025-11-28,MTC.B,77.27,-0.71,10727.08,--
2025-12-01,MTC.B,77.0,-0.27,11985.20,--
2025-12-02,MTC.B,65.0,-12.0,32865.61,--
2025-12-03,MTC.B,75.0,10.0,12930.51,--
2025-12-04,MTC.B,74.98,-0.02,30954.81,--
2025-12-06,MTC.B,73.99,-0.99,14240.12,--
2025-12-09,MTC.B,73.09,-0.9,137763.25,--
2025-12-10,MTC.B,71.99,-1.1,19558.21,--
2025-12-11,MTC.B,70.0,-1.99,5002.07,--
2025-12-13,MTC.B,71.99,1.99,6551.09,--
2025-12-15,MTC.B,71.95,-0.04,13310.57,--
2025-12-16,MTC.B,71.95,0.0,28617.76,--
2025-12-17,MTC.B,71.0,-0.95,22976.50,--
2025-12-18,MTC.B,71.95,0.95,20863.53,--
2025-12-19,MTC.B,71.96,0.01,44752.30,--
2025-12-22,MTC.B,71.5,-0.46,66265.16,--
2025-12-23,MTC.B,92.94,21.44,45633.54,--
2025-12-29,MTC.B,120.8,27.86,226123.00,--
2025-12-30,MTC.B,143.0,22.2,61540.08,--
2026-01-02,MTC.B,145.0,-3.0,16537.10,12:44:10
2026-01-06,MTC.B,195.0,0.0,19016.00,12:44:21
2026-01-07,MTC.B,160.0,0.0,22750.00,13:00:11
2026-01-08,MTC.B,160,0.0,5040,12:42:13
2026-01-13,MTC.B,160,0,19635,12:15:43
2026-01-15,MTC.B,160,0,16960,12:18:10
2026-01-16,MTC.B,160,0,51172.6,12:40:56
2026-01-20,MTC.B,160,0,7520,13:00:21
2026-01-21,MTC.B,160,0,11172.3,11:43:55
2026-01-22,MTC.B,160,0,39735,12:27:05
2026-01-23,MTC.B,160,0,18109,12:35:55
2026-01-26,MTC.B,160,0,8160,10:48:03
2026-01-27,MTC.B,160,0,10300,12:42:04
2026-01-28,MTC.B,155,-5,186470.42,12:18:22
2026-01-29,MTC.B,155,0,17918.96,12:45:09
