fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,MVZ.A,1349.99,0.0,655837.19,--
2025-11-28,MVZ.A,1344.99,-5.0,667075.10,--
2025-12-01,MVZ.A,1350.0,5.01,93001.90,--
2025-12-02,MVZ.A,1344.99,-5.01,344447.19,--
2025-12-03,MVZ.A,1300.0,-44.99,143700.00,--
2025-12-04,MVZ.A,1339.99,39.99,71663.58,--
2025-12-06,MVZ.A,1345.99,6.0,95368.62,--
2025-12-09,MVZ.A,1448.49,102.5,367938.68,--
2025-12-10,MVZ.A,1300.0,-148.49,372702.03,--
2025-12-11,MVZ.A,1299.99,-0.01,748059.79,--
2025-12-13,MVZ.A,1295.0,-4.99,879572.16,--
2025-12-15,MVZ.A,1293.99,-1.01,93117.88,--
2025-12-16,MVZ.A,1280.0,-13.99,673124.73,--
2025-12-17,MVZ.A,1274.95,-5.05,252595.05,--
2025-12-18,MVZ.A,1286.99,12.04,180882.28,--
2025-12-19,MVZ.A,1398.99,112.0,321549.42,--
2025-12-22,MVZ.A,1399.99,1.0,649384.78,--
2025-12-23,MVZ.A,1388.0,-11.99,20429878.74,--
2025-12-29,MVZ.A,1715.0,327.0,4006282.52,--
2025-12-30,MVZ.A,1900.0,185.0,219440.00,--
2026-01-02,MVZ.A,2000.0,100.0,412747.00,12:49:44
2026-01-05,MVZ.A,2270.0,270.0,6810.00,09:12:04
2026-01-06,MVZ.A,3000.0,730.0,304359.00,11:52:26
2026-01-07,MVZ.A,4000.0,1000.0,270000.00,10:56:36
2026-01-08,MVZ.A,4379.0,379.1,483983.56,12:44:02
2026-01-09,MVZ.A,4379.0,0,551250,12:46:26
2026-01-13,MVZ.A,4798.0,419,1712470,13:00:02
2026-01-14,MVZ.A,5000,202,1239011.5,12:48:53
2026-01-15,MVZ.A,4850,-150,256848,12:47:49
2026-01-16,MVZ.A,4500,-350,412481,12:54:43
2026-01-20,MVZ.A,4250,-250,3010717.74,12:54:36
2026-01-21,MVZ.A,4250,0,498311,12:54:24
2026-01-22,MVZ.A,3900,-350,6406392.02,12:47:47
2026-01-23,MVZ.A,3850,-50,13416867.01,13:00:07
2026-01-26,MVZ.A,4000,150,1080500,13:00:04
2026-01-27,MVZ.A,3998,-2,8832105.4,13:00:22
2026-01-28,MVZ.A,4000,2,8566686.5,12:52:13
2026-01-29,MVZ.A,4300,300,344350,13:00:31
