fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,MVZ.B,1382.39,0.0,707714.11,--
2025-11-28,MVZ.B,1381.99,-0.40,2667260.23,--
2025-12-01,MVZ.B,1300.0,-81.99,39374.95,--
2025-12-02,MVZ.B,1200.0,-100.0,146774.49,--
2025-12-03,MVZ.B,1369.98,169.98,44969.49,--
2025-12-04,MVZ.B,1339.0,-30.98,101793.67,--
2025-12-06,MVZ.B,1339.45,0.45,19814.23,--
2025-12-09,MVZ.B,1299.99,-39.46,38571.79,--
2025-12-10,MVZ.B,1295.49,-4.50,319171.24,--
2025-12-11,MVZ.B,1294.5,-0.99,82573.50,--
2025-12-13,MVZ.B,1294.44,-0.06,58214.28,--
2025-12-15,MVZ.B,1293.0,-1.44,88023.80,--
2025-12-16,MVZ.B,1291.99,-1.01,185887.07,--
2025-12-17,MVZ.B,1265.0,-26.99,14061.86,--
2025-12-18,MVZ.B,1350.0,85.0,78553.48,--
2025-12-19,MVZ.B,1244.99,-105.01,676922.30,--
2025-12-22,MVZ.B,1324.5,79.51,753873.72,--
2025-12-23,MVZ.B,1393.99,69.49,294817.50,--
2025-12-29,MVZ.B,1649.0,255.01,490697.00,--
2025-12-30,MVZ.B,1844.0,195.0,4177381.00,--
2026-01-02,MVZ.B,2000.0,156.0,334000.00,12:49:58
2026-01-05,MVZ.B,2210.0,210.0,341050.00,09:13:13
2026-01-06,MVZ.B,3150.0,940.0,876623.00,11:35:16
2026-01-07,MVZ.B,3650.0,500.0,2392850.00,11:57:49
2026-01-08,MVZ.B,5000,1350.0,1155000,12:40:22
2026-01-09,MVZ.B,5999,999,30323946,12:28:07
2026-01-13,MVZ.B,5499,-500,332340,12:45:48
2026-01-14,MVZ.B,5500,1,928440,12:39:48
2026-01-15,MVZ.B,5500,0,96000,12:28:28
2026-01-16,MVZ.B,5100,-400,2364473.99,12:01:16
2026-01-20,MVZ.B,4799,-301,1160389,12:53:17
2026-01-21,MVZ.B,4448,-351,696360.5,12:41:21
2026-01-22,MVZ.B,4448,0,112256.94,12:48:20
2026-01-23,MVZ.B,4005,-443,500608.87,12:42:53
