fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-28,PCP.B,99.0,0.0,80802.41,--
2025-12-01,PCP.B,99.0,0.0,49601.60,--
2025-12-02,PCP.B,98.0,-1.0,185799.14,--
2025-12-03,PCP.B,97.95,-0.05,31698.13,--
2025-12-04,PCP.B,94.0,-3.95,73456.00,--
2025-12-06,PCP.B,99.0,5.0,17325.00,--
2025-12-09,PCP.B,99.0,0.0,34472.00,--
2025-12-10,PCP.B,106.0,7.0,59423.70,--
2025-12-11,PCP.B,125.0,19.0,57592.40,--
2025-12-13,PCP.B,140.0,15.0,27118.55,--
2025-12-15,PCP.B,142.89,2.89,119895.05,--
2025-12-16,PCP.B,119.0,-23.89,24647.05,--
2025-12-17,PCP.B,105.01,-13.99,95803.71,--
2025-12-18,PCP.B,105.0,-0.01,79320.00,--
2025-12-19,PCP.B,125.0,20.0,200190.50,--
2025-12-22,PCP.B,125.0,0.0,111196.39,--
2025-12-23,PCP.B,140.0,15.0,148700.00,--
2025-12-29,PCP.B,139.98,-0.02,97761.24,--
2025-12-30,PCP.B,139.9,-0.08,191666.60,--
2026-01-02,PCP.B,135.0,-4.9,113461.65,13:00:09
2026-01-05,PCP.B,160.0,25.0,64480.00,09:00:18
2026-01-06,PCP.B,190.0,30.0,2763526.00,12:53:33
2026-01-07,PCP.B,184.0,-6.0,558735.00,13:00:11
2026-01-08,PCP.B,218.3,18.48,417226.96,12:39:17
2026-01-09,PCP.B,260,42,1289080,12:53:37
