fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,PIV.B,13495.0,0.0,130085.0,--
2025-11-28,PIV.B,13500.0,5.0,390000.0,--
2025-12-01,PIV.B,13500.0,0.0,94500.0,--
2025-12-02,PIV.B,13500.0,0.0,231000.0,--
2025-12-03,PIV.B,13500.0,0.0,67500.0,--
2025-12-04,PIV.B,13500.0,0.0,121000.0,--
2025-12-06,PIV.B,14000.0,500.0,234000.0,--
2025-12-09,PIV.B,13000.0,-1000.0,52600.0,--
2025-12-11,PIV.B,13000.0,0.0,25500.0,--
2025-12-15,PIV.B,13000.0,0.0,65000.0,--
2025-12-16,PIV.B,13000.0,0.0,269897.0,--
2025-12-17,PIV.B,13599.99,599.99,13599.99,--
2025-12-18,PIV.B,13600.0,0.01,163193.99,--
2025-12-19,PIV.B,12600.0,-1000.0,212600.0,--
2025-12-29,PIV.B,13900.0,1300.0,13900.0,--
2025-12-30,PIV.B,15800.0,1900.0,280870.0,--
2026-01-02,PIV.B,18000.0,2200.0,18000.0,10:02:56
2026-01-05,PIV.B,21599.0,3599.0,408599.0,09:52:48
2026-01-07,PIV.B,24790.0,2191.0,216950.0,12:19:13
2026-01-09,PIV.B,29747.5,4957.5,148737.5,09:16:53
2026-01-13,PIV.B,28855.0,-892.5,350723.5,12:48:04
2026-01-14,PIV.B,28855.0,0.0,28855.0,09:49:11
2026-01-16,PIV.B,28855.0,0.0,103880.0,11:29:49
2026-01-20,PIV.B,28855.0,0.0,77908.5,13:02:09
2026-01-21,PIV.B,28855.0,0.0,77908.65,12:45:16
2026-01-23,PIV.B,25969.55,0.0,53000.0,11:39:30
2026-01-26,PIV.B,23373.0,-2596.55,741407.5,12:40:05
2026-01-27,PIV.B,23373.0,0.0,1496746.0,11:32:24
2026-01-28,PIV.B,23373.0,0.0,267659.0,12:39:32
2026-01-29,PIV.B,23373.0,0.0,140238.0,11:48:00
2026-01-30,PIV.B,22500.0,-873.0,488545.0,12:46:42
2026-02-02,PIV.B,22500.0,0.0,146745.0,12:24:25
2026-02-03,PIV.B,24749.0,2249.0,247490.0,09:58:10
2026-02-04,PIV.B,24749.0,0.0,148499.0,09:51:52
2026-02-05,PIV.B,27220.0,2471.0,163320.0,10:53:58
2026-02-06,PIV.B,29901.0,2681.0,1100310.0,13:00:13
2026-02-09,PIV.B,29901.0,0.0,64900.0,11:31:11
2026-02-10,PIV.B,29900.0,-1.0,794123.0,11:43:05
2026-02-13,PIV.B,30000.0,100.0,342000.0,12:28:22
2026-02-18,PIV.B,29500.0,-500.0,4492000.0,13:00:25
2026-02-19,PIV.B,33000.0,3500.0,919350.0,12:50:35
2026-02-20,PIV.B,27500.0,-5500.0,412500.0,10:37:58
2026-02-23,PIV.B,33000.0,5500.0,693000.0,12:43:02
2026-02-24,PIV.B,30.0,-3000.0,6675000.0,12:19:28
2026-02-25,PIV.B,30.0,0.0,1500000.0,12:20:15
2026-02-26,PIV.B,30.0,0.0,2339000.0,12:54:54
2026-02-27,PIV.B,33.0,3000.0,929000.0,12:32:22
2026-03-02,PIV.B,38.0,5000.0,2818350.0,12:42:24
2026-03-03,PIV.B,45.0,7000.0,564000.0,11:35:38
2026-03-04,PIV.B,45.0,0.0,102000.0,11:35:55
2026-03-05,PIV.B,45.0,0.0,7235000.0,11:20:01
2026-03-06,PIV.B,45.0,0.0,727999.99,10:52:09
2026-03-09,PIV.B,52.499,7499.0,515250.0,13:54:03
2026-03-10,PIV.B,51.798,-701.0,673373.0,12:17:04
2026-03-11,PIV.B,51.798,0.0,50800.0,12:48:51
2026-03-12,PIV.B,51798.0,0.0,315000.0,12:08:26
2026-03-16,PIV.B,51500.0,-298.0,206000.0,12:04:32
2026-03-17,PIV.B,50000.0,-1500.0,664949.9,13:00:31
2026-03-18,PIV.B,51999.97,1999.97,413998.85,11:55:04
2026-03-20,PIV.B,54997.52,2997.55,434431.64,13:00:44
2026-03-24,PIV.B,54000.0,-997.52,379994.0,12:43:08
2026-03-25,PIV.B,53999.0,-1.0,913996.0,12:15:29
2026-03-26,PIV.B,53999.0,0.0,107998.0,11:43:04
2026-03-27,PIV.B,53998.0,-1.0,1944993.0,12:10:50
