fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,PTN,165.0,0.0,131660.50,--
2025-11-28,PTN,160.0,-5.0,324708.55,--
2025-12-01,PTN,162.0,2.0,51536.00,--
2025-12-02,PTN,160.0,-2.0,85038.00,--
2025-12-03,PTN,160.0,0.0,29956.39,--
2025-12-04,PTN,160.0,0.0,341102.00,--
2025-12-06,PTN,160.0,0.0,18310.10,--
2025-12-09,PTN,167.5,7.5,299967.08,--
2025-12-10,PTN,157.0,-10.5,125921.87,--
2025-12-11,PTN,155.0,-2.0,172847.85,--
2025-12-13,PTN,149.99,-5.01,135141.92,--
2025-12-15,PTN,142.0,-7.99,233104.24,--
2025-12-16,PTN,154.99,12.99,106852.90,--
2025-12-17,PTN,154.0,-0.99,76286.88,--
2025-12-18,PTN,154.9,0.9,255189.10,--
2025-12-19,PTN,169.0,14.1,207442.30,--
2025-12-22,PTN,169.0,0.0,287739.91,--
2025-12-23,PTN,179.5,10.5,34292.89,--
2025-12-29,PTN,200.0,20.5,94416.80,--
2025-12-30,PTN,230.0,30.0,6630205.00,--
2026-01-02,PTN,237.0,7.0,156444.00,12:54:15
2026-01-05,PTN,284.0,47.0,1101734.00,13:00:03
2026-01-06,PTN,340.0,56.0,2681805.00,11:39:01
2026-01-07,PTN,407.0,67.0,893249.00,12:35:51
2026-01-09,PTN,502.7,83.75,312649.75,13:00:17
2026-01-13,PTN,549,46.25,378538.25,12:51:42
2026-01-14,PTN,549,0,132078.46,12:52:22
2026-01-15,PTN,549,0,579354.97,12:49:26
2026-01-16,PTN,541,-8,247062.39,12:40:57
2026-01-20,PTN,536.9,-4.01,284066.19,12:50:34
2026-01-21,PTN,535,-1.99,175847.82,12:36:40
2026-01-22,PTN,535,0,167532,13:00:19
2026-01-23,PTN,481.95,-53.05,2644781.48,13:00:07
2026-01-26,PTN,481.95,0,57456.35,13:00:06
2026-01-27,PTN,481.95,0,149921.85,12:48:43
2026-01-28,PTN,481.95,0,55789.08,12:49:01
2026-01-29,PTN,434,-47.95,192263.13,13:00:32
