fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,RST.B,63.79,0.0,1568025.36,--
2025-11-28,RST.B,63.8,0.01,128086.53,--
2025-12-01,RST.B,65.95,2.15,111330.45,--
2025-12-02,RST.B,64.99,-0.96,145474.82,--
2025-12-03,RST.B,64.99,0.0,246937.80,--
2025-12-04,RST.B,64.0,-0.99,61123.37,--
2025-12-06,RST.B,64.5,0.5,244403.84,--
2025-12-09,RST.B,64.0,-0.5,159840.00,--
2025-12-10,RST.B,65.0,1.0,133033.00,--
2025-12-11,RST.B,64.1,-0.9,37156.86,--
2025-12-13,RST.B,66.97,2.87,133825.90,--
2025-12-15,RST.B,66.8,-0.17,85753.19,--
2025-12-16,RST.B,64.49,-2.31,146707.26,--
2025-12-17,RST.B,64.24,-0.25,1004684.44,--
2025-12-18,RST.B,67.98,3.74,553847.91,--
2025-12-19,RST.B,69.0,1.02,122763.45,--
2025-12-22,RST.B,68.0,-1.0,70766.53,--
2025-12-23,RST.B,67.97,-0.03,49822.27,--
2025-12-29,RST.B,79.0,11.03,368946.00,--
2025-12-30,RST.B,87.0,8.0,147187.86,--
2026-01-02,RST.B,90.0,3.0,478320.00,12:54:23
2026-01-05,RST.B,107.95,17.95,1083114.25,09:46:50
2026-01-07,RST.B,183.98,76.03,538349.10,13:00:11
2026-01-08,RST.B,220.0,36.02,542740,12:39:57
2026-01-09,RST.B,264,44,2376,11:19:48
2026-01-13,RST.B,274,10,794276,12:47:19
2026-01-14,RST.B,300,26,717510.96,12:40:14
2026-01-15,RST.B,291,-9,476715.15,12:53:19
2026-01-16,RST.B,288,-3,398533.84,12:40:58
2026-01-20,RST.B,287.95,-.05,186191.85,12:50:02
2026-01-21,RST.B,287.95,0,402977.85,12:36:56
2026-01-22,RST.B,270,-17.95,372459.2,12:52:32
2026-01-23,RST.B,270,0,157064.24,12:46:25
