fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,RST,69.0,0.0,813637.19,--
2025-11-28,RST,68.75,-0.25,690581.60,--
2025-12-01,RST,69.95,1.20,466634.77,--
2025-12-02,RST,68.0,-1.95,1264850.46,--
2025-12-03,RST,67.9,-0.10,1083192.46,--
2025-12-04,RST,66.0,-1.90,451383.11,--
2025-12-06,RST,66.7,0.70,700924.01,--
2025-12-09,RST,66.69,-0.01,407669.72,--
2025-12-10,RST,69.0,2.31,197842.29,--
2025-12-11,RST,67.0,-2.0,138946.10,--
2025-12-13,RST,67.0,0.0,310627.57,--
2025-12-15,RST,66.5,-0.5,877084.13,--
2025-12-16,RST,66.9,0.40,240172.78,--
2025-12-17,RST,66.99,0.09,1023967.67,--
2025-12-18,RST,68.0,1.01,2005555.04,--
2025-12-19,RST,75.0,7.0,120422514.76,--
2025-12-22,RST,75.0,0.0,286945.25,--
2025-12-23,RST,75.0,0.0,666283.89,--
2025-12-29,RST,86.99,11.99,665601.70,--
2025-12-30,RST,93.99,7.0,4559477.48,--
2026-01-02,RST,98.0,4.01,1847225.21,12:50:50
2026-01-05,RST,115.0,17.0,172304.16,10:01:20
2026-01-06,RST,165.0,50.0,593517.70,11:58:10
2026-01-07,RST,197.0,32.0,1225080.00,13:00:11
2026-01-08,RST,220.1,23.01,11.68,626,142255.64,12:38:24
2026-01-09,RST,300,79.99,938361254,12:16:13
