fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,SVS,77.0,0.0,29335.51,--
2025-11-28,SVS,77.0,0.0,1921157.66,--
2025-12-01,SVS,84.9,7.9,715684.5,--
2025-12-02,SVS,90.0,5.1,350096.0,--
2025-12-03,SVS,105.0,15.0,155170.0,--
2025-12-04,SVS,110.0,5.0,28120.7,--
2025-12-06,SVS,114.0,4.0,172810.25,--
2025-12-09,SVS,134.0,20.0,80210.5,--
2025-12-10,SVS,149.85,15.85,56965.7,--
2025-12-11,SVS,165.0,15.15,153075.43,--
2025-12-13,SVS,162.5,-2.5,414549.85,--
2025-12-15,SVS,165.0,2.5,156129.55,--
2025-12-16,SVS,165.0,0.0,422115.24,--
2025-12-17,SVS,165.0,0.0,413458.77,--
2025-12-18,SVS,167.7,2.7,683213.37,--
2025-12-19,SVS,179.99,12.29,463399.97,--
2025-12-22,SVS,185.0,5.01,9570462.77,--
2025-12-23,SVS,179.99,-5.01,74259.54,--
2025-12-29,SVS,199.97,19.98,140081.51,--
2025-12-30,SVS,199.0,-0.97,12426792.61,--
2026-01-02,SVS,199.97,0.97,105615.88,12:28:24
2026-01-05,SVS,199.97,0.0,2440.0,11:35:25
2026-01-06,SVS,199.97,0.0,1125.0,12:50:03
2026-01-08,SVS,250.0,50.03,483082.6,11:47:49
2026-01-09,SVS,"300.0""",50.01,15000.5,09:45:59
2026-01-13,SVS,310.1,10.0,296882.55,12:48:30
2026-01-14,SVS,331,20.9,330120.1,12:11:43
2026-01-15,SVS,350,19.0,440713.04,12:53:56
2026-01-16,SVS,365,15.0,1342558.65,12:46:39
2026-01-20,SVS,390,25.0,423580.0,12:52:34
2026-01-21,SVS,385,-5.0,633101.0,12:36:28
2026-01-22,SVS,385,0.0,912817.77,12:51:06
2026-01-23,SVS,410.05,25.05,580410.1,13:00:08
2026-01-26,SVS,427,16.95,239598.0,12:53:15
2026-01-27,SVS,427,0.0,3067810.0,13:00:23
2026-01-28,SVS,426.9,-0.1,634946.9,12:49:54
2026-01-29,SVS,467.9,41.09,1200829.16,13:00:33
2026-01-30,SVS,495.0,27.01,4357606.97,12:49:20
2026-02-02,SVS,544.0,49.0,5300862.75,12:54:44
2026-02-03,SVS,615.0,71.0,1923578.02,12:46:34
2026-02-04,SVS,695.0,80.0,1463318.17,13:00:06
2026-02-05,SVS,760.01,65.01,5143494.14,13:00:25
2026-02-06,SVS,840.0,79.99,3493219.02,13:00:13
2026-02-09,SVS,910.0,70.0,10426469.95,13:00:16
2026-02-10,SVS,910.0,0.0,3287065.5,13:00:30
2026-02-11,SVS,985.0,75.0,1796745.0,12:38:16
2026-02-12,SVS,1000,15.0,2531105.0,12:53:10
2026-02-13,SVS,1099,99.0,2368471.0,12:51:40
2026-02-18,SVS,1230,131.0,4929327.82,12:42:16
2026-02-19,SVS,1350,120.0,2502687.83,12:50:51
2026-02-20,SVS,1340,-10.0,4322859.86,13:00:03
2026-02-23,SVS,1387,47.0,2604678.0,13:00:29
2026-02-24,SVS,1200,-187.0,3302997.02,13:00:22
2026-02-25,SVS,1200,0.0,2103867.0,12:54:26
2026-02-26,SVS,1190,-9.9,1670055.05,13:00:27
2026-02-27,SVS,1180,-10.1,11456640.89,13:00:14
2026-03-02,SVS,1150,-30.0,4057981.0,12:54:30
2026-03-03,SVS,1180,30.0,1266410.0,12:50:00
2026-03-04,SVS,1080,-10.01,4522198.39,13:00:35
2026-03-05,SVS,1390.0,220.01,5381455.88,13:00:19
2026-03-06,SVS,1350,-40.0,3034410.02,13:00:04
2026-03-09,SVS,1490,140.0,5739082.0,13:54:09
2026-03-10,SVS,1735,245.0,2572885.0,12:10:45
2026-03-11,SVS,1500,-235.0,3075012.0,12:52:59
2026-03-12,SVS,1500.0,0.0,3569369.09,12:48:52
2026-03-13,SVS,1639.99,139.99,1939473.98,13:00:14
2026-03-16,SVS,1420.0,-219.99,4374189.94,13:05:06
2026-03-17,SVS,1574.0,154.0,4135314.53,12:44:32
2026-03-18,SVS,1600.0,26.0,937290.8,12:45:13
2026-03-20,SVS,1551.0,-49.0,3200230.71,12:53:01
2026-03-23,SVS,1540.0,-11.0,885983.0,13:01:30
2026-03-24,SVS,1500.0,-40.0,472755.04,12:30:09
2026-03-25,SVS,1395.0,-105.0,1314817.25,12:54:30
