fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,TDV.D,125.0,0.0,1230828.50,--
2025-11-28,TDV.D,127.9,2.9,1439432.11,--
2025-12-01,TDV.D,130.0,2.1,670920.50,--
2025-12-02,TDV.D,129.95,-0.05,110427.10,--
2025-12-03,TDV.D,129.95,0.0,481129.30,--
2025-12-04,TDV.D,127.89,-2.06,583672.87,--
2025-12-06,TDV.D,129.8,1.91,247214.14,--
2025-12-09,TDV.D,127.5,-2.3,221133.12,--
2025-12-10,TDV.D,125.0,-2.5,659439.17,--
2025-12-11,TDV.D,120.0,-5.0,1145929.85,--
2025-12-13,TDV.D,123.75,3.75,288171.00,--
2025-12-15,TDV.D,124.95,1.2,60053.46,--
2025-12-16,TDV.D,124.86,-0.09,362795.62,--
2025-12-17,TDV.D,124.79,-0.07,117916.92,--
2025-12-18,TDV.D,124.8,0.01,341086.00,--
2025-12-19,TDV.D,145.0,20.2,121330.00,--
2025-12-22,TDV.D,144.99,-0.01,5148619.61,--
2025-12-23,TDV.D,137.0,-7.99,277310.94,--
2025-12-29,TDV.D,190.0,53.0,258723.30,--
2025-12-30,TDV.D,210.0,20.0,18612601.00,--
2026-01-02,TDV.D,218.0,8.0,358988.74,12:50:50
2026-01-05,TDV.D,260.0,42.0,741120.00,09:01:16
2026-01-06,TDV.D,435.0,175.0,5109602.50,12:03:01
2026-01-07,TDV.D,535.0,100.0,2387555.05,10:49:57
2026-01-08,TDV.D,638.0,103,4402222,12:03:09
2026-01-09,TDV.D,695.95,57.95,5588124.75,12:52:57
2026-01-13,TDV.D,630,-65.95,3944585,13:00:02
2026-01-14,TDV.D,625,-5,2668137.14,13:00:21
2026-01-15,TDV.D,612,-13,3443177.8,12:50:19
2026-01-16,TDV.D,599.9,-12.01,303063.4,12:52:03
2026-01-20,TDV.D,540,-59.99,303535,10:38:57
2026-01-21,TDV.D,486.01,-53.99,2810553.92,12:37:52
2026-01-22,TDV.D,440,-46.01,453782.04,13:00:20
2026-01-23,TDV.D,410,-30,1231854.73,12:52:28
2026-01-26,TDV.D,400,-10,4605452.22,13:00:06
2026-01-27,TDV.D,400,0,8631352.75,12:54:13
2026-01-28,TDV.D,400,0,1297505.4,12:36:14
2026-01-29,TDV.D,388,-12,3324017.5,12:45:18
