fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-12-01,TPG,6.5,0.0,108903.98,--
2025-12-02,TPG,6.5,0.0,323979.1,--
2025-12-03,TPG,6.8,0.3,169002.45,--
2025-12-04,TPG,6.5,-0.3,43478.5,--
2025-12-06,TPG,6.95,0.45,44192.5,--
2025-12-09,TPG,6.8,-0.15,79255.6,--
2025-12-10,TPG,6.2,-0.6,133692.9,--
2025-12-11,TPG,5.99,-0.21,73480.25,--
2025-12-13,TPG,5.89,-0.1,235718.65,--
2025-12-15,TPG,5.79,-0.1,252743.7,--
2025-12-16,TPG,5.8,0.01,73567.61,--
2025-12-17,TPG,5.82,0.02,82933.92,--
2025-12-18,TPG,5.81,-0.01,73485.17,--
2025-12-19,TPG,6.1,0.29,80002.84,--
2025-12-22,TPG,6.45,0.35,47593.58,--
2025-12-23,TPG,5.99,-0.46,114127.79,--
2025-12-29,TPG,7.0,1.01,82727.14,--
2025-12-30,TPG,6.99,-0.01,210792.97,--
2026-01-02,TPG,7.55,0.56,264401.22,13:00:10
2026-01-05,TPG,7.55,0.0,264401.22,13:00:10
2026-01-06,TPG,10.0,2.45,1692448.15,12:07:46
2026-01-07,TPG,10.0,0.0,575240.4,13:00:11
2026-01-08,TPG,11.5,1.5,399786.0,13:00:30
2026-01-09,TPG,13.0,1.5,1090744.0,13:00:17
2026-01-13,TPG,12.5,-0.5,446003.0,13:00:02
2026-01-14,TPG,13.5,1.0,290489.69,12:52:03
2026-01-15,TPG,13.5,0.0,66336.5,13:00:08
2026-01-16,TPG,12.6,-0.9,449656.89,12:51:33
2026-01-20,TPG,11.9,-0.7,534747.77,12:52:55
2026-01-21,TPG,11.3,-0.56,282276.24,13:00:30
2026-01-22,TPG,10.2,-1.13,705876.72,12:39:18
2026-01-23,TPG,9.49,-0.72,905093.84,12:44:28
2026-01-26,TPG,9.29,-0.2,336700.84,13:00:06
2026-01-28,TPG,8.9,-0.1,309402.58,13:00:11
2026-01-29,TPG,8.85,-0.05,888962.84,12:47:31
2026-01-30,TPG,8.95,0.1,1173175.69,12:47:08
2026-02-02,TPG,9.0,0.05,6157792.05,12:54:00
2026-02-03,TPG,9.5,0.5,3989476.05,13:00:24
2026-02-04,TPG,9.98,0.48,867900.05,13:00:06
2026-02-05,TPG,9.89,-0.09,1133699.07,12:51:30
2026-02-06,TPG,10.4,0.51,555415.95,13:00:13
2026-02-09,TPG,10.0,-0.4,1191130.82,13:00:18
2026-02-10,TPG,9.7,-0.3,309344.06,12:53:36
2026-02-11,TPG,9.95,0.25,310356.04,13:00:16
2026-02-12,TPG,10.0,0.05,196229.75,12:51:29
2026-02-13,TPG,9.7,-0.3,398142.65,12:50:40
2026-02-18,TPG,9.0,-0.7,477117.8,12:54:13
2026-02-19,TPG,9.6,0.6,393588.43,13:00:15
2026-02-20,TPG,9.49,-0.11,219533.65,12:52:52
2026-02-23,TPG,9.49,0.0,729521.62,13:00:29
2026-02-24,TPG,10.25,0.76,268046.38,13:00:23
2026-02-25,TPG,10.0,-0.25,984078.29,13:00:09
2026-02-26,TPG,9.99,-0.01,245866.76,12:54:38
2026-02-27,TPG,10.1,0.11,305451.62,13:00:14
2026-03-02,TPG,10.1,0.0,574234.65,12:53:47
2026-03-03,TPG,10.14,0.04,398109.39,12:54:20
2026-03-04,TPG,10.08,-0.06,501667.26,13:00:37
2026-03-05,TPG,10.09,0.01,555834.38,12:54:30
2026-03-06,TPG,10.0,-0.09,540484.27,13:00:04
