Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,8.8,8.8,8.8,8.8,1
2023-03-08,8.8,8.8,8.8,8.8,0
2023-03-09,8.8,8.8,8.8,8.8,2958
2023-03-10,8.7,8.7,8.7,8.7,1
2023-03-13,8.7,8.7,8.7,8.7,21
2023-03-14,8.7,8.7,8.7,8.7,574
2023-03-15,8.7,8.7,8.7,8.7,0
2023-03-16,8.9,8.9,8.9,8.9,0
2023-03-17,8.7,8.7,8.7,8.7,38
2023-03-20,8.9,8.9,8.9,8.9,15
2023-03-21,8.9,8.9,8.9,8.9,570
2023-03-22,8.9,8.9,8.9,8.9,0
2023-03-23,8.8,8.8,8.8,8.8,7
2023-03-24,8.8,8.8,8.8,8.8,0
2023-03-27,8.8,8.8,8.8,8.8,10
2023-03-28,8.4,8.4,8.4,8.4,217
2023-03-29,8.4,8.4,8.4,8.4,0
2023-03-30,8.4,8.4,8.4,8.4,15
2023-03-31,7.9,7.9,7.9,7.9,145
2023-04-03,8.0,8.0,8.0,8.0,16
2023-04-04,8.1,8.1,8.1,8.1,50
2023-04-05,8.1,8.1,8.1,8.1,0
2023-04-10,8.1,8.1,8.1,8.1,23
2023-04-11,7.9,7.9,7.9,7.9,1912
2023-04-12,7.9,7.9,7.9,7.9,1581
2023-04-13,7.9,7.9,7.9,7.9,0
2023-04-14,7.9,7.9,7.9,7.9,0
2023-04-17,7.9,7.9,7.9,7.9,25
2023-04-18,7.9,7.9,7.9,7.9,90
2023-04-20,7.9,7.9,7.9,7.9,0
2023-04-21,7.9,7.9,7.9,7.9,0
2023-04-24,8.0,8.0,8.0,8.0,37
2023-04-25,9.5,9.5,9.5,9.5,24
2023-04-26,8.9,8.9,8.9,8.9,75
2023-04-27,8.9,8.9,8.9,8.9,0
2023-04-28,8.9,8.9,8.9,8.9,2
2023-05-02,8.9,8.9,8.9,8.9,3
2023-05-03,9.9,9.9,9.9,9.9,42
2023-05-04,9.9,9.9,9.9,9.9,0
2023-05-05,10.5,10.5,10.5,10.5,4
2023-05-08,10.5,10.5,10.5,10.5,0
2023-05-09,10.5,10.5,10.5,10.5,0
2023-05-10,10.5,10.5,10.5,10.5,0
2023-05-11,11.6,11.6,11.6,11.6,64
2023-05-12,11.4,11.4,11.4,11.4,428
2023-05-15,11.4,11.4,11.4,11.4,39
2023-05-16,9.8,9.8,9.8,9.8,220
2023-05-17,9.8,9.8,9.8,9.8,138
2023-05-18,9.8,9.8,9.8,9.8,38
2023-05-19,9.8,9.8,9.8,9.8,927
2023-05-23,9.8,9.8,9.8,9.8,0
2023-05-24,9.8,9.8,9.8,9.8,0
2023-05-25,10.9,10.9,10.9,10.9,9
2023-05-26,10.4,10.4,10.4,10.4,12
2023-05-29,9.9,9.9,9.9,9.9,512
2023-05-30,9.8,9.8,9.8,9.8,13
2023-05-31,9.8,9.8,9.8,9.8,19
2023-06-01,9.8,9.8,9.8,9.8,49
2023-06-02,9.8,9.8,9.8,9.8,0
2023-06-05,9.8,9.8,9.8,9.8,64
2023-06-06,9.8,9.8,9.8,9.8,386
2023-06-07,10.4,10.4,10.4,10.4,90
2023-06-08,10.9,10.9,10.9,10.9,25
2023-06-13,11.8,11.8,11.8,11.8,623
2023-06-14,12.6,12.6,12.6,12.6,20
2023-06-15,12.6,12.6,12.6,12.6,0
2023-06-16,12.6,12.6,12.6,12.6,151
2023-06-20,11.9,11.9,11.9,11.9,6
2023-06-21,13.8,13.8,13.8,13.8,75
2023-06-22,15.8,15.8,15.8,15.8,104
2023-06-23,15.8,15.8,15.8,15.8,74
2023-06-26,15.8,15.8,15.8,15.8,6
2023-06-27,15.8,15.8,15.8,15.8,0
2023-06-28,15.8,15.8,15.8,15.8,6
2023-06-29,17.8,17.8,17.8,17.8,1
2023-06-30,17.8,17.8,17.8,17.8,1
2023-07-04,16.8,16.8,16.8,16.8,102
2023-07-06,16.8,16.8,16.8,16.8,0
2023-07-07,16.8,16.8,16.8,16.8,5
2023-07-10,18.8,18.8,18.8,18.8,132
2023-07-11,18.8,18.8,18.8,18.8,20
2023-07-12,18.8,18.8,18.8,18.8,30
2023-07-13,18.8,18.8,18.8,18.8,97
2023-07-14,19.3,19.3,19.3,19.3,2684
2023-07-17,19.3,19.3,19.3,19.3,0
2023-07-18,19.3,19.3,19.3,19.3,10
2023-07-19,19.3,19.3,19.3,19.3,5
2023-07-20,19.8,19.8,19.8,19.8,12
2023-07-21,19.8,19.8,19.8,19.8,0
2023-07-25,19.8,19.8,19.8,19.8,0
2023-07-26,18.8,18.8,18.8,18.8,161
2023-07-27,18.8,18.8,18.8,18.8,10
2023-07-28,18.8,18.8,18.8,18.8,184
2023-07-31,18.8,18.8,18.8,18.8,9
2023-08-01,18.8,18.8,18.8,18.8,3
2023-08-02,19.3,19.3,19.3,19.3,36
2023-08-03,19.3,19.3,19.3,19.3,0
2023-08-04,18.8,18.8,18.8,18.8,20
2023-08-07,18.8,18.8,18.8,18.8,154
2023-08-08,20.8,20.8,20.8,20.8,20
2023-08-09,20.8,20.8,20.8,20.8,10
2023-08-10,20.8,20.8,20.8,20.8,0
2023-08-11,20.8,20.8,20.8,20.8,50
2023-08-15,20.8,20.8,20.8,20.8,30
2023-08-16,20.8,20.8,20.8,20.8,0
2023-08-17,20.8,20.8,20.8,20.8,189
2023-08-18,20.8,20.8,20.8,20.8,0
2023-08-21,20.8,20.8,20.8,20.8,116
2023-08-22,20.8,20.8,20.8,20.8,143
2023-08-23,20.8,20.8,20.8,20.8,75
2023-08-24,20.8,20.8,20.8,20.8,53
2023-08-25,19.8,19.8,19.8,19.8,11
2023-08-28,19.8,19.8,19.8,19.8,0
2023-08-29,19.8,19.8,19.8,19.8,0
2023-08-30,19.8,19.8,19.8,19.8,4
2023-08-31,19.8,19.8,19.8,19.8,0
2023-09-01,19.8,19.8,19.8,19.8,0
2023-09-04,19.8,19.8,19.8,19.8,137
2023-09-05,19.8,19.8,19.8,19.8,0
2023-09-06,19.8,19.8,19.8,19.8,371
2023-09-07,19.8,19.8,19.8,19.8,61
2023-09-08,19.8,19.8,19.8,19.8,17
2023-09-12,20.8,20.8,20.8,20.8,9
2023-09-13,23.7,23.7,23.7,23.7,8
2023-09-14,23.7,23.7,23.7,23.7,0
2023-09-15,23.7,23.7,23.7,23.7,21
2023-09-18,23.7,23.7,23.7,23.7,5
2023-09-19,23.7,23.7,23.7,23.7,0
2023-09-20,22.8,22.8,22.8,22.8,83
2023-09-21,23.9,23.9,23.9,23.9,5
2023-09-22,22.9,22.9,22.9,22.9,146
2023-09-25,22.9,22.9,22.9,22.9,0
2023-09-26,23.9,23.9,23.9,23.9,12
2023-09-27,23.9,23.9,23.9,23.9,0
2023-09-28,20.9,20.9,20.9,20.9,16
2023-09-29,26.9,26.9,26.9,26.9,120
