Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,6.2,6.2,6.2,6.2,389
2023-03-08,6.2,6.2,6.2,6.2,252
2023-03-09,6.2,6.2,6.2,6.2,1582
2023-03-10,6.5,6.5,6.5,6.5,2887
2023-03-13,7.3,7.3,7.3,7.3,7171
2023-03-14,7.7,7.7,7.7,7.7,1032
2023-03-15,7.7,7.7,7.7,7.7,3063
2023-03-16,7.7,7.7,7.7,7.7,0
2023-03-17,7.6,7.6,7.6,7.6,5185
2023-03-20,7.6,7.6,7.6,7.6,468
2023-03-21,7.4,7.4,7.4,7.4,9391
2023-03-22,7.4,7.4,7.4,7.4,363
2023-03-23,7.3,7.3,7.3,7.3,172
2023-03-24,7.3,7.3,7.3,7.3,191
2023-03-27,7.2,7.2,7.2,7.2,24870
2023-03-28,7.1,7.1,7.1,7.1,7700
2023-03-29,7.0,7.0,7.0,7.0,1903
2023-03-30,7.0,7.0,7.0,7.0,9159
2023-03-31,7.0,7.0,7.0,7.0,1930
2023-04-03,7.0,7.0,7.0,7.0,4292
2023-04-04,7.0,7.0,7.0,7.0,4020
2023-04-05,7.0,7.0,7.0,7.0,40
2023-04-10,6.8,6.8,6.8,6.8,2185
2023-04-11,6.7,6.7,6.7,6.7,260
2023-04-12,6.4,6.4,6.4,6.4,3726
2023-04-13,6.4,6.4,6.4,6.4,102683
2023-04-14,6.4,6.4,6.4,6.4,5303
2023-04-17,6.4,6.4,6.4,6.4,235
2023-04-18,6.4,6.4,6.4,6.4,6232
2023-04-20,6.4,6.4,6.4,6.4,5959
2023-04-21,6.4,6.4,6.4,6.4,1425
2023-04-24,6.7,6.7,6.7,6.7,5196
2023-04-25,6.6,6.6,6.6,6.6,211
2023-04-26,6.6,6.6,6.6,6.6,641
2023-04-27,6.7,6.7,6.7,6.7,32642
2023-04-28,6.7,6.7,6.7,6.7,6516
2023-05-02,7.1,7.1,7.1,7.1,9796
2023-05-03,7.2,7.2,7.2,7.2,1079
2023-05-04,7.2,7.2,7.2,7.2,1568
2023-05-05,7.3,7.3,7.3,7.3,369
2023-05-08,7.2,7.2,7.2,7.2,3791
2023-05-09,7.2,7.2,7.2,7.2,4440
2023-05-10,7.3,7.3,7.3,7.3,6510
2023-05-11,7.3,7.3,7.3,7.3,40082
2023-05-12,7.3,7.3,7.3,7.3,2792
2023-05-15,7.3,7.3,7.3,7.3,347
2023-05-16,7.3,7.3,7.3,7.3,1096
2023-05-17,7.1,7.1,7.1,7.1,581
2023-05-18,6.9,6.9,6.9,6.9,2654
2023-05-19,6.9,6.9,6.9,6.9,1477
2023-05-23,7.0,7.0,7.0,7.0,359
2023-05-24,7.0,7.0,7.0,7.0,1168
2023-05-25,6.8,6.8,6.8,6.8,5903
2023-05-26,6.8,6.8,6.8,6.8,14640
2023-05-29,6.8,6.8,6.8,6.8,58993
2023-05-30,6.8,6.8,6.8,6.8,4994
2023-05-31,7.8,7.8,7.8,7.8,1914
2023-06-01,7.8,7.8,7.8,7.8,4283
2023-06-02,7.7,7.7,7.7,7.7,14221
2023-06-05,7.7,7.7,7.7,7.7,361
2023-06-06,7.7,7.7,7.7,7.7,1914
2023-06-07,7.7,7.7,7.7,7.7,330
2023-06-08,7.3,7.3,7.3,7.3,17702
2023-06-13,7.9,7.9,7.9,7.9,1021
2023-06-14,7.9,7.9,7.9,7.9,3725
2023-06-15,7.8,7.8,7.8,7.8,4009
2023-06-16,7.7,7.7,7.7,7.7,5192
2023-06-20,7.7,7.7,7.7,7.7,1066
2023-06-21,7.9,7.9,7.9,7.9,360
2023-06-22,7.8,7.8,7.8,7.8,1503
2023-06-23,7.7,7.7,7.7,7.7,1860
2023-06-26,7.7,7.7,7.7,7.7,3086
2023-06-27,7.8,7.8,7.8,7.8,1883
2023-06-28,7.8,7.8,7.8,7.8,9318
2023-06-29,7.9,7.9,7.9,7.9,174
2023-06-30,7.8,7.8,7.8,7.8,4973
2023-07-04,7.8,7.8,7.8,7.8,9298
2023-07-06,7.8,7.8,7.8,7.8,3209
2023-07-07,7.6,7.6,7.6,7.6,11339
2023-07-10,7.6,7.6,7.6,7.6,3330
2023-07-11,7.6,7.6,7.6,7.6,1269
2023-07-12,7.7,7.7,7.7,7.7,1495
2023-07-13,7.7,7.7,7.7,7.7,5531
2023-07-14,7.7,7.7,7.7,7.7,1968
2023-07-17,8.0,8.0,8.0,8.0,1250
2023-07-18,8.0,8.0,8.0,8.0,2798
2023-07-19,8.0,8.0,8.0,8.0,2685
2023-07-20,7.9,7.9,7.9,7.9,4875
2023-07-21,7.9,7.9,7.9,7.9,3449
2023-07-25,7.8,7.8,7.8,7.8,2083
2023-07-26,7.7,7.7,7.7,7.7,1262
2023-07-27,7.5,7.5,7.5,7.5,6835
2023-07-28,7.3,7.3,7.3,7.3,15983
2023-07-31,7.3,7.3,7.3,7.3,830
2023-08-01,7.3,7.3,7.3,7.3,79086
