Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,2.6,2.6,2.6,2.6,3750
2023-03-08,2.6,2.6,2.6,2.6,47
2023-03-09,2.5,2.5,2.5,2.5,258930
2023-03-10,2.5,2.5,2.5,2.5,150524
2023-03-13,2.5,2.5,2.5,2.5,4694
2023-03-14,2.3,2.3,2.3,2.3,265333
2023-03-15,2.8,2.8,2.8,2.8,32638
2023-03-16,2.8,2.8,2.8,2.8,2936
2023-03-17,2.6,2.6,2.6,2.6,2326
2023-03-20,2.5,2.5,2.5,2.5,405
2023-03-21,2.5,2.5,2.5,2.5,7120
2023-03-22,2.5,2.5,2.5,2.5,1914
2023-03-23,2.4,2.4,2.4,2.4,10023
2023-03-24,2.4,2.4,2.4,2.4,16745
2023-03-27,2.5,2.5,2.5,2.5,19701
2023-03-28,2.5,2.5,2.5,2.5,3700
2023-03-29,2.7,2.7,2.7,2.7,214745
2023-03-30,3.0,3.0,3.0,3.0,4399
2023-03-31,3.0,3.0,3.0,3.0,9927
2023-04-03,3.0,3.0,3.0,3.0,27972
2023-04-04,3.0,3.0,3.0,3.0,24136
2023-04-05,3.0,3.0,3.0,3.0,11814
2023-04-10,3.0,3.0,3.0,3.0,61715
2023-04-11,3.0,3.0,3.0,3.0,3597
2023-04-12,3.0,3.0,3.0,3.0,2125
2023-04-13,2.8,2.8,2.8,2.8,14310
2023-04-14,2.8,2.8,2.8,2.8,66179
2023-04-17,3.0,3.0,3.0,3.0,1610
2023-04-18,3.0,3.0,3.0,3.0,932
2023-04-20,2.9,2.9,2.9,2.9,68222
2023-04-21,2.9,2.9,2.9,2.9,11539
2023-04-24,2.9,2.9,2.9,2.9,51644
2023-04-25,2.9,2.9,2.9,2.9,540
2023-04-26,2.8,2.8,2.8,2.8,3400
2023-04-27,2.9,2.9,2.9,2.9,35924
2023-04-28,2.9,2.9,2.9,2.9,5043
2023-05-02,2.8,2.8,2.8,2.8,2737
2023-05-03,2.8,2.8,2.8,2.8,8372
2023-05-04,2.8,2.8,2.8,2.8,1835
2023-05-05,2.7,2.7,2.7,2.7,464167
2023-05-08,3.0,3.0,3.0,3.0,1635
2023-05-09,2.8,2.8,2.8,2.8,5480
2023-05-10,2.8,2.8,2.8,2.8,18692
2023-05-11,3.3,3.3,3.3,3.3,5
2023-05-12,3.2,3.2,3.2,3.2,10604
2023-05-15,3.0,3.0,3.0,3.0,12901
2023-05-16,3.0,3.0,3.0,3.0,8839
2023-05-17,2.9,2.9,2.9,2.9,4284
2023-05-18,2.8,2.8,2.8,2.8,10393
2023-05-19,2.8,2.8,2.8,2.8,970
2023-05-23,2.7,2.7,2.7,2.7,12842
2023-05-24,2.6,2.6,2.6,2.6,14971
2023-05-25,2.6,2.6,2.6,2.6,811
2023-05-26,2.5,2.5,2.5,2.5,213897
2023-05-29,2.4,2.4,2.4,2.4,9183
2023-05-30,2.4,2.4,2.4,2.4,26116
2023-05-31,2.4,2.4,2.4,2.4,6300
2023-06-01,2.7,2.7,2.7,2.7,4506
2023-06-02,2.5,2.5,2.5,2.5,640
2023-06-05,2.5,2.5,2.5,2.5,2279
2023-06-06,2.4,2.4,2.4,2.4,48259
2023-06-07,2.4,2.4,2.4,2.4,3442
2023-06-08,2.4,2.4,2.4,2.4,10794
2023-06-13,2.8,2.8,2.8,2.8,10660
2023-06-14,2.6,2.6,2.6,2.6,1084
2023-06-15,2.6,2.6,2.6,2.6,1782
2023-06-16,2.6,2.6,2.6,2.6,1910
2023-06-20,2.5,2.5,2.5,2.5,150
2023-06-21,2.5,2.5,2.5,2.5,280805
2023-06-22,2.5,2.5,2.5,2.5,20611
2023-06-23,2.4,2.4,2.4,2.4,6962
2023-06-26,2.2,2.2,2.2,2.2,13527
2023-06-27,2.2,2.2,2.2,2.2,928
2023-06-28,2.2,2.2,2.2,2.2,35972
2023-06-29,2.5,2.5,2.5,2.5,35660
2023-06-30,2.3,2.3,2.3,2.3,76024
2023-07-04,2.3,2.3,2.3,2.3,23055
2023-07-06,2.3,2.3,2.3,2.3,866
2023-07-07,2.2,2.2,2.2,2.2,50597
2023-07-10,2.3,2.3,2.3,2.3,151
2023-07-11,2.2,2.2,2.2,2.2,73379
2023-07-12,2.2,2.2,2.2,2.2,37288
2023-07-13,2.3,2.3,2.3,2.3,660
2023-07-14,2.3,2.3,2.3,2.3,3235
2023-07-17,2.7,2.7,2.7,2.7,2214
2023-07-18,2.6,2.6,2.6,2.6,13825
2023-07-19,2.6,2.6,2.6,2.6,2587
2023-07-20,2.3,2.3,2.3,2.3,2499
2023-07-21,2.3,2.3,2.3,2.3,8211
2023-07-25,2.3,2.3,2.3,2.3,17487
2023-07-26,2.3,2.3,2.3,2.3,116856
2023-07-27,2.3,2.3,2.3,2.3,114595
2023-07-28,2.3,2.3,2.3,2.3,245
2023-07-31,2.3,2.3,2.3,2.3,40100
2023-08-01,2.3,2.3,2.3,2.3,34007
2023-08-02,2.3,2.3,2.3,2.3,55397
2023-08-03,2.3,2.3,2.3,2.3,11521
2023-08-04,2.5,2.5,2.5,2.5,701
2023-08-07,2.6,2.6,2.6,2.6,22821
2023-08-08,2.6,2.6,2.6,2.6,46736
2023-08-09,2.6,2.6,2.6,2.6,14238
2023-08-10,2.8,2.8,2.8,2.8,40
2023-08-11,2.8,2.8,2.8,2.8,190
2023-08-15,2.8,2.8,2.8,2.8,3000
2023-08-16,2.8,2.8,2.8,2.8,1739
2023-08-17,3.0,3.0,3.0,3.0,285
2023-08-18,3.0,3.0,3.0,3.0,3980
2023-08-21,2.9,2.9,2.9,2.9,33963
2023-08-22,2.9,2.9,2.9,2.9,18639
2023-08-23,2.9,2.9,2.9,2.9,12825
2023-08-24,2.8,2.8,2.8,2.8,305
2023-08-25,2.7,2.7,2.7,2.7,645
2023-08-28,2.7,2.7,2.7,2.7,15609
2023-08-29,2.5,2.5,2.5,2.5,75000
2023-08-30,2.5,2.5,2.5,2.5,17335
2023-08-31,2.7,2.7,2.7,2.7,14148
2023-09-01,2.8,2.8,2.8,2.8,1646
2023-09-04,2.8,2.8,2.8,2.8,856
2023-09-05,2.8,2.8,2.8,2.8,18867
2023-09-06,2.8,2.8,2.8,2.8,7110
2023-09-07,2.7,2.7,2.7,2.7,1117372
2023-09-08,2.6,2.6,2.6,2.6,1361
2023-09-12,2.6,2.6,2.6,2.6,1196
2023-09-13,2.5,2.5,2.5,2.5,1683
2023-09-14,2.5,2.5,2.5,2.5,1530
2023-09-15,2.5,2.5,2.5,2.5,6814
2023-09-18,2.5,2.5,2.5,2.5,17366
2023-09-19,2.6,2.6,2.6,2.6,3004951
2023-09-20,2.9,2.9,2.9,2.9,550
2023-09-21,2.8,2.8,2.8,2.8,4412
2023-09-22,2.8,2.8,2.8,2.8,10227
2023-09-25,2.8,2.8,2.8,2.8,1300
2023-09-26,2.7,2.7,2.7,2.7,173
2023-09-27,2.7,2.7,2.7,2.7,56884
2023-09-28,2.6,2.6,2.6,2.6,5800
2023-09-29,2.8,2.8,2.8,2.8,60
2023-10-02,2.8,2.8,2.8,2.8,101
2023-10-03,2.8,2.8,2.8,2.8,2777
2023-10-04,2.8,2.8,2.8,2.8,2790
2023-10-05,2.7,2.7,2.7,2.7,8131
2023-10-06,2.7,2.7,2.7,2.7,2450
2023-10-09,2.7,2.7,2.7,2.7,15092
2023-10-10,2.3,2.3,2.3,2.3,32185
2023-10-11,2.6,2.6,2.6,2.6,31852
2023-10-13,2.6,2.6,2.6,2.6,11628
2023-10-16,2.6,2.6,2.6,2.6,9478
2023-10-17,2.6,2.6,2.6,2.6,535
2023-10-18,2.6,2.6,2.6,2.6,30924
2023-10-19,3.3,3.3,3.3,3.3,59900
2023-10-20,3.4,3.4,3.4,3.4,28754
2023-10-23,3.9,3.9,3.9,3.9,1519
2023-10-24,3.4,3.4,3.4,3.4,7298
2023-10-25,3.3,3.3,3.3,3.3,25312
2023-10-26,3.2,3.2,3.2,3.2,270113
2023-10-27,3.3,3.3,3.3,3.3,221752
2023-10-31,3.4,3.4,3.4,3.4,26899
2023-11-01,3.4,3.4,3.4,3.4,1082
2023-11-02,3.3,3.3,3.3,3.3,5650
2023-11-03,3.3,3.3,3.3,3.3,138
2023-11-07,3.3,3.3,3.3,3.3,0
2023-11-08,3.5,3.5,3.5,3.5,7291
2023-11-09,4.2,4.2,4.2,4.2,15769
2023-11-10,4.8,4.8,4.8,4.8,6396
2023-11-13,4.5,4.5,4.5,4.5,64964
2023-11-14,4.5,4.5,4.5,4.5,10563
2023-11-15,4.5,4.5,4.5,4.5,15625
2023-11-16,4.5,4.5,4.5,4.5,6554
2023-11-17,4.5,4.5,4.5,4.5,176260
2023-11-20,4.6,4.6,4.6,4.6,262
2023-11-21,4.6,4.6,4.6,4.6,0
2023-11-22,4.7,4.7,4.7,4.7,26042
2023-11-23,4.8,4.8,4.8,4.8,16434
2023-11-24,4.9,4.9,4.9,4.9,9639
2023-11-27,5.0,5.0,5.0,5.0,14309
2023-11-28,5.2,5.2,5.2,5.2,12104
2023-11-29,5.1,5.1,5.1,5.1,10240
2023-11-30,5.9,5.9,5.9,5.9,97718
2023-12-01,5.9,5.9,5.9,5.9,530
2023-12-04,6.1,6.1,6.1,6.1,238080
2023-12-05,6.5,6.5,6.5,6.5,47647
2023-12-06,6.5,6.5,6.5,6.5,6097
2023-12-07,6.5,6.5,6.5,6.5,520
2023-12-08,6.2,6.2,6.2,6.2,39144
2023-12-12,6.0,6.0,6.0,6.0,1366
2023-12-13,6.0,6.0,6.0,6.0,6542
2023-12-14,6.2,6.2,6.2,6.2,9962
2023-12-15,6.2,6.2,6.2,6.2,4246
2023-12-18,6.2,6.2,5.2,6.2,1681
2023-12-19,6.2,6.2,6.2,6.2,5001
2023-12-20,6.0,6.2,6.0,6.0,15
2023-12-21,6.0,6.1,6.0,6.0,25898
2023-12-22,6.0,6.1,6.0,6.0,5532
2023-12-26,6.0,6.1,6.1,6.1,1332
2023-12-27,6.1,6.5,6.1,6.1,79
2023-12-28,6.1,6.1,6.1,6.1,179894
2023-12-29,6.4,6.4,6.2,6.4,264
2024-01-02,6.4,6.4,6.0,6.0,255
2024-01-03,6.0,6.2,6.0,6.0,432
2024-01-04,6.0,6.2,6.2,6.2,420
2024-01-05,6.0,6.2,6.0,6.0,367
2024-01-08,6.0,6.0,6.0,6.0,4100
2024-01-09,6.0,6.0,6.0,6.0,20
2024-01-10,6.1,6.1,6.0,6.1,1148
2024-01-11,6.0,6.2,6.0,6.0,38000
2024-01-12,6.0,6.2,6.0,6.0,858
2024-01-15,6.0,6.2,6.0,6.0,3876
2024-01-16,6.2,6.2,6.0,6.2,17
2024-01-17,6.2,6.2,6.0,6.1,1879
2024-01-18,6.1,6.3,6.0,6.1,7571
2024-01-19,6.3,6.3,6.1,6.3,7000
2024-01-22,6.5,6.5,6.3,6.5,149
2024-01-23,6.6,6.6,6.4,6.6,42545
2024-01-24,6.6,6.6,6.5,6.5,5425
2024-01-25,6.5,6.5,6.5,6.5,5051
2024-01-26,6.5,6.6,6.5,6.5,308400
2024-01-29,6.5,6.6,6.5,6.5,11800
2024-01-30,6.5,6.5,6.5,6.5,0
2024-01-31,6.5,6.5,6.0,6.5,120000
2024-02-01,6.5,6.5,6.5,6.5,975
2024-02-02,6.5,6.5,6.5,6.5,7300
2024-02-05,6.5,6.6,6.4,6.4,2725
2024-02-06,6.4,6.4,6.4,6.4,445
2024-02-07,6.4,6.3,5.3,6.2,1174
2024-02-08,6.2,6.2,6.2,6.2,264
2024-02-09,6.2,6.4,5.3,6.2,19640
2024-02-14,6.2,6.2,6.2,6.2,635
2024-02-15,6.0,6.1,6.0,6.0,5000
2024-02-16,6.0,6.1,6.0,6.1,406
2024-02-19,6.1,6.1,6.0,6.0,1903
2024-02-20,6.0,6.0,6.0,6.0,12650
2024-02-21,5.8,6.0,5.8,5.8,26000
2024-02-22,5.5,6.0,5.5,5.5,5100
2024-02-23,5.5,5.5,5.0,5.5,1425
2024-02-26,6.0,6.0,6.0,6.0,410
2024-02-27,5.5,5.5,5.5,5.5,800
2024-02-28,5.2,6.0,5.2,5.2,35000
2024-02-29,5.2,5.9,5.1,5.2,158
2024-03-01,5.2,5.2,5.2,5.2,0
2024-03-04,5.2,5.9,5.1,5.1,10126
2024-03-05,5.2,5.5,5.2,5.2,6618
2024-03-06,5.2,5.2,5.0,5.2,15963
2024-03-07,5.2,5.8,5.0,5.5,14933
2024-03-08,5.5,5.5,5.5,5.5,32400
2024-03-11,5.5,5.9,5.8,5.8,172
2024-03-12,5.8,6.0,6.0,5.8,5577
2024-03-13,6.7,6.7,6.0,6.7,125898
2024-03-14,6.7,6.7,6.7,6.7,29
2024-03-15,6.6,6.7,6.6,6.6,30
2024-03-18,6.4,6.6,6.3,6.4,144
2024-03-20,6.4,6.5,6.2,6.4,125
2024-03-21,6.4,6.3,5.5,5.5,5780
2024-03-22,6.1,6.1,5.5,6.1,10000
2024-03-25,6.0,6.2,6.0,6.0,103900
2024-03-26,6.0,6.2,6.1,6.2,94000
2024-03-27,6.2,6.2,6.1,6.2,5289
2024-04-01,6.2,6.5,6.4,6.5,270
2024-04-02,6.5,6.5,6.4,6.5,17756
2024-04-03,6.5,6.5,6.5,6.5,336
2024-04-04,6.4,6.5,6.4,6.4,14351
2024-04-05,6.4,6.4,6.4,6.4,0
2024-04-09,6.0,6.4,6.0,6.0,40072
2024-04-10,6.0,6.0,5.0,6.0,3741
2024-04-11,6.0,6.0,6.0,6.0,2044
2024-04-12,8.0,8.0,7.1,8.0,158025
2024-04-15,8.5,9.0,8.0,8.5,725
