Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,3.2,3.2,3.2,3.2,485
2023-03-08,3.2,3.2,3.2,3.2,120
2023-03-09,3.1,3.1,3.1,3.1,47263
2023-03-10,3.2,3.2,3.2,3.2,5498
2023-03-13,3.2,3.2,3.2,3.2,5615
2023-03-14,3.2,3.2,3.2,3.2,11845
2023-03-15,3.3,3.3,3.3,3.3,3095
2023-03-16,3.2,3.2,3.2,3.2,541
2023-03-17,3.3,3.3,3.3,3.3,1274
2023-03-20,3.3,3.3,3.3,3.3,164
2023-03-21,3.2,3.2,3.2,3.2,519
2023-03-22,3.2,3.2,3.2,3.2,292
2023-03-23,3.2,3.2,3.2,3.2,423
2023-03-24,3.2,3.2,3.2,3.2,175
2023-03-27,3.2,3.2,3.2,3.2,289
2023-03-28,3.2,3.2,3.2,3.2,758
2023-03-29,3.1,3.1,3.1,3.1,727
2023-03-30,3.2,3.2,3.2,3.2,20
2023-03-31,3.2,3.2,3.2,3.2,610
2023-04-03,3.2,3.2,3.2,3.2,4678
2023-04-04,3.2,3.2,3.2,3.2,1615
2023-04-05,3.7,3.7,3.7,3.7,32
2023-04-10,3.7,3.7,3.7,3.7,0
2023-04-11,3.7,3.7,3.7,3.7,0
2023-04-12,3.7,3.7,3.7,3.7,1000
2023-04-13,3.6,3.6,3.6,3.6,1440
2023-04-14,3.0,3.0,3.0,3.0,110
2023-04-17,3.5,3.5,3.5,3.5,116
2023-04-18,3.3,3.3,3.3,3.3,654
2023-04-20,3.7,3.7,3.7,3.7,15
2023-04-21,3.7,3.7,3.7,3.7,0
2023-04-24,3.3,3.3,3.3,3.3,144
2023-04-25,3.7,3.7,3.7,3.7,297
2023-04-26,3.7,3.7,3.7,3.7,0
2023-04-27,3.7,3.7,3.7,3.7,0
2023-04-28,3.4,3.4,3.4,3.4,1157
2023-05-02,3.4,3.4,3.4,3.4,88
2023-05-03,3.7,3.7,3.7,3.7,6186
2023-05-04,3.7,3.7,3.7,3.7,117
