Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2025-11-04,79.0,79.0,60.0,79.0,12000
2025-11-05,79.0,75.0,65.5,75.0,8985
2025-11-06,75.0,70.0,65.0,69.0,5107
2025-11-07,69.0,65.0,55.2,63.0,2000
2025-11-10,63.0,70.0,50.5,60.0,5020
2025-11-11,60.0,60.0,48.0,52.9,2899
2025-11-12,52.9,55.0,43.0,43.0,425
2025-11-13,41.0,50.0,41.0,41.0,2500
2025-11-14,41.0,49.0,43.0,48.9,2886
2025-11-17,48.9,55.0,50.0,53.9,1120
2025-11-18,53.9,53.9,44.0,50.0,80
2025-11-19,48.0,54.5,40.0,48.0,204
2025-11-20,48.0,49.0,43.0,48.0,1007
2025-11-21,48.0,55.0,43.0,44.0,1085
2025-11-25,44.0,52.0,40.0,44.8,4446
2025-11-26,44.8,50.0,40.0,45.9,8405
2025-11-27,45.9,51.0,40.0,44.5,1000
2025-11-28,44.5,50.0,40.0,44.0,1117
2025-12-01,44.0,47.0,40.0,44.0,240
2025-12-02,44.0,46.5,35.2,42.0,9275
2025-12-03,42.0,47.0,34.0,41.0,5000
2025-12-04,41.0,43.0,32.8,40.0,603
2025-12-05,40.0,40.2,38.0,40.0,603
2025-12-09,40.0,40.0,33.0,39.0,50000
2025-12-10,39.0,39.0,33.5,35.0,3750
2025-12-11,35.0,43.0,36.0,39.0,2487
2025-12-12,39.0,41.0,38.9,39.9,2985
2025-12-15,39.9,42.0,33.0,39.0,1324
2025-12-16,39.0,39.8,36.0,39.0,1487
2025-12-17,39.0,39.0,38.0,38.4,2407
2025-12-18,38.4,38.4,38.0,38.4,1068
2025-12-19,38.4,38.4,36.0,38.3,2378
2025-12-22,38.3,38.4,38.0,38.3,2163
2025-12-23,38.3,45.0,38.3,39.0,500
2025-12-26,42.0,46.8,37.0,42.0,368
2025-12-29,42.0,49.0,41.0,49.0,2920
2025-12-30,49.0,55.2,49.0,49.0,1714
2026-01-02,49.0,55.0,50.0,55.0,936
2026-01-05,55.0,65.0,60.0,65.0,50
2026-01-06,65.0,77.9,56.0,77.9,6585
2026-01-07,77.9,90.0,65.0,77.0,1911
2026-01-08,77.0,80.0,80.0,77.0,182.0
2026-01-09,77.0,91.0,90.0,77.0,500.0
2026-01-13,77.0,78.0,76.0,76.5,2938.0
2026-01-14,76.5,77.0,76.0,76.5,1120.0
2026-01-15,76.5,76.5,76.5,76.5,940.0
2026-01-16,76.5,76.5,69.0,75.5,3397.0
2026-01-20,75.5,82.0,74.0,75.4,2280.0
2026-01-21,75.4,75.0,68.0,75.4,1597.0
2026-01-22,75.4,75.0,70.0,75.4,994.0
2026-01-23,75.4,80.0,68.0,75.4,4387.0
2026-01-26,75.4,79.0,68.0,75.4,2632.0
2026-01-27,75.4,75.4,68.0,72.0,2421.0
2026-01-28,72.0,73.0,65.0,72.0,1079.0
2026-01-29,72.0,70.0,67.0,69.0,2766.0
2026-01-30,69.0,69.0,62.1,66.5,6072.0
2026-02-02,66.5,73.0,62.0,73.0,2382.0
2026-02-03,73.0,79.0,73.0,77.0,2336.0
2026-02-04,77.0,84.0,70.0,80.0,16744.0
2026-02-05,80.0,87.1,84.0,85.0,2740.0
2026-02-06,85.0,93.5,85.0,85.0,1610.0
2026-02-09,85.0,102.0,85.0,93.5,5052.0
2026-02-10,93.5,102.0,93.5,100.5,1618.0
2026-02-11,100.5,120.0,102.0,103.0,6807.0
2026-02-12,103.0,120.0,119.0,103.0,120.0
2026-02-13,103.0,121.0,119.0,121.0,1317.0
2026-02-18,121.0,144.0,125.0,138.0,1813.0
2026-02-19,138.0,165.2,144.0,138.0,563.0
2026-02-20,138.0,195.0,165.2,138.0,783.0
2026-02-23,138.0,165.0,160.0,165.0,926.0
2026-02-24,165.0,196.3,170.0,165.0,244.0
2026-02-25,165.0,237.0,167.0,235.5,1045.0
2026-02-26,198.0,235.5,200.0,198.0,532.0
2026-02-27,198.0,235.0,231.0,235.0,1188.0
2026-03-02,235.0,280.0,235.0,279.5,720.0
2026-03-03,279.5,333.0,330.0,279.5,321.0
2026-03-04,279.5,370.0,335.0,335.0,4362.0
2026-03-05,335.0,480.0,347.0,352.0,1359.0
2026-03-06,352.0,480.0,410.0,447.0,547.0

