Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,4.6,4.6,4.6,4.6,0
2023-03-08,4.6,4.6,4.6,4.6,0
2023-03-09,4.6,4.6,4.6,4.6,220
2023-03-10,5.5,5.5,5.5,5.5,35
2023-03-13,5.5,5.5,5.5,5.5,0
2023-03-14,5.5,5.5,5.5,5.5,0
2023-03-15,5.5,5.5,5.5,5.5,13
2023-03-16,5.5,5.5,5.5,5.5,0
2023-03-17,5.5,5.5,5.5,5.5,0
2023-03-20,5.5,5.5,5.5,5.5,8
2023-03-21,5.5,5.5,5.5,5.5,103
2023-03-22,5.5,5.5,5.5,5.5,0
2023-03-23,5.5,5.5,5.5,5.5,0
2023-03-24,5.5,5.5,5.5,5.5,0
2023-03-27,5.5,5.5,5.5,5.5,5
2023-03-28,5.5,5.5,5.5,5.5,0
2023-03-29,5.5,5.5,5.5,5.5,0
2023-03-30,5.5,5.5,5.5,5.5,0
2023-03-31,5.5,5.5,5.5,5.5,0
2023-04-03,5.5,5.5,5.5,5.5,0
2023-04-04,5.5,5.5,5.5,5.5,0
2023-04-05,5.5,5.5,5.5,5.5,0
2023-04-10,5.5,5.5,5.5,5.5,0
2023-04-11,5.5,5.5,5.5,5.5,0
2023-04-12,5.5,5.5,5.5,5.5,0
2023-04-13,5.5,5.5,5.5,5.5,14
2023-04-14,5.5,5.5,5.5,5.5,0
2023-04-17,5.5,5.5,5.5,5.5,9
2023-04-18,5.0,5.0,5.0,5.0,16
2023-04-20,5.0,5.0,5.0,5.0,0
2023-04-21,5.0,5.0,5.0,5.0,0
2023-04-24,4.8,4.8,4.8,4.8,27
2023-04-25,4.8,4.8,4.8,4.8,16
2023-04-26,5.0,5.0,5.0,5.0,2
2023-04-27,5.0,5.0,5.0,5.0,5
2023-04-28,5.0,5.0,5.0,5.0,47
2023-05-02,5.0,5.0,5.0,5.0,0
2023-05-03,5.0,5.0,5.0,5.0,0
2023-05-04,5.0,5.0,5.0,5.0,0
2023-05-05,5.0,5.0,5.0,5.0,0
2023-05-08,5.0,5.0,5.0,5.0,0
2023-05-09,5.0,5.0,5.0,5.0,0
2023-05-10,5.0,5.0,5.0,5.0,0
2023-05-11,5.0,5.0,5.0,5.0,0
2023-05-12,5.0,5.0,5.0,5.0,0
2023-05-15,5.0,5.0,5.0,5.0,0
2023-05-16,5.0,5.0,5.0,5.0,0
2023-05-17,5.9,5.9,5.9,5.9,5
2023-05-18,5.9,5.9,5.9,5.9,10
2023-05-19,5.9,5.9,5.9,5.9,63
2023-05-23,5.9,5.9,5.9,5.9,0
2023-05-24,6.5,6.5,6.5,6.5,2
2023-05-25,6.5,6.5,6.5,6.5,0
2023-05-26,7.0,7.0,7.0,7.0,42
2023-05-29,7.0,7.0,7.0,7.0,0
2023-05-30,7.0,7.0,7.0,7.0,0
2023-05-31,7.0,7.0,7.0,7.0,2
2023-06-01,6.0,6.0,6.0,6.0,15
2023-06-02,7.0,7.0,7.0,7.0,10
2023-06-05,6.0,6.0,6.0,6.0,61
2023-06-06,6.0,6.0,6.0,6.0,0
2023-06-07,6.0,6.0,6.0,6.0,0
2023-06-08,6.0,6.0,6.0,6.0,0
2023-06-13,7.2,7.2,7.2,7.2,23
2023-06-14,7.0,7.0,7.0,7.0,12
2023-06-15,7.0,7.0,7.0,7.0,14
2023-06-16,7.0,7.0,7.0,7.0,0
2023-06-20,7.0,7.0,7.0,7.0,3
2023-06-21,7.0,7.0,7.0,7.0,0
2023-06-22,7.0,7.0,7.0,7.0,7
2023-06-23,7.1,7.1,7.1,7.1,10
2023-06-26,7.1,7.1,7.1,7.1,0
2023-06-27,7.1,7.1,7.1,7.1,0
2023-06-28,7.1,7.1,7.1,7.1,14
2023-06-29,7.1,7.1,7.1,7.1,0
2023-06-30,7.1,7.1,7.1,7.1,70
2023-07-04,7.1,7.1,7.1,7.1,0
2023-07-06,7.1,7.1,7.1,7.1,0
2023-07-07,7.1,7.1,7.1,7.1,0
2023-07-10,7.1,7.1,7.1,7.1,0
2023-07-11,7.1,7.1,7.1,7.1,0
2023-07-12,7.1,7.1,7.1,7.1,0
2023-07-13,7.1,7.1,7.1,7.1,0
2023-07-14,7.1,7.1,7.1,7.1,220
2023-07-17,7.1,7.1,7.1,7.1,7
2023-07-18,7.1,7.1,7.1,7.1,0
2023-07-19,7.0,7.0,7.0,7.0,16
2023-07-20,7.0,7.0,7.0,7.0,16
2023-07-21,7.0,7.0,7.0,7.0,15
2023-07-25,7.0,7.0,7.0,7.0,5
2023-07-26,7.0,7.0,7.0,7.0,0
2023-07-27,7.0,7.0,7.0,7.0,0
2023-07-28,7.0,7.0,7.0,7.0,0
2023-07-31,7.3,7.3,7.3,7.3,8
2023-08-01,7.0,7.0,7.0,7.0,1
2023-08-02,7.0,7.0,7.0,7.0,0
2023-08-03,7.0,7.0,7.0,7.0,0
2023-08-04,7.0,7.0,7.0,7.0,10
2023-08-07,7.0,7.0,7.0,7.0,10
2023-08-08,7.0,7.0,7.0,7.0,0
2023-08-09,7.0,7.0,7.0,7.0,0
2023-08-10,7.0,7.0,7.0,7.0,35
2023-08-11,7.0,7.0,7.0,7.0,0
2023-08-15,7.0,7.0,7.0,7.0,0
2023-08-16,7.0,7.0,7.0,7.0,0
2023-08-17,7.0,7.0,7.0,7.0,0
2023-08-18,7.0,7.0,7.0,7.0,0
2023-08-21,7.0,7.0,7.0,7.0,0
2023-08-22,7.0,7.0,7.0,7.0,0
2023-08-23,7.0,7.0,7.0,7.0,0
2023-08-24,7.0,7.0,7.0,7.0,0
2023-08-25,7.0,7.0,7.0,7.0,0
2023-08-28,7.0,7.0,7.0,7.0,700
2023-08-29,7.0,7.0,7.0,7.0,0
2023-08-30,7.0,7.0,7.0,7.0,0
2023-08-31,7.0,7.0,7.0,7.0,0
2023-09-01,7.0,7.0,7.0,7.0,0
2023-09-04,7.5,7.5,7.5,7.5,22
2023-09-05,7.0,7.0,7.0,7.0,52
2023-09-06,7.0,7.0,7.0,7.0,0
2023-09-07,7.0,7.0,7.0,7.0,0
2023-09-08,7.0,7.0,7.0,7.0,0
2023-09-12,7.0,7.0,7.0,7.0,0
2023-09-13,7.0,7.0,7.0,7.0,1
2023-09-14,7.0,7.0,7.0,7.0,0
2023-09-15,7.0,7.0,7.0,7.0,0
2023-09-18,7.0,7.0,7.0,7.0,51
2023-09-19,7.0,7.0,7.0,7.0,9
2023-09-20,7.0,7.0,7.0,7.0,10
2023-09-21,7.0,7.0,7.0,7.0,1
2023-09-22,7.0,7.0,7.0,7.0,10
2023-09-25,7.0,7.0,7.0,7.0,0
2023-09-26,7.0,7.0,7.0,7.0,0
2023-09-27,7.0,7.0,7.0,7.0,0
2023-09-28,6.9,6.9,6.9,6.9,5
2023-09-29,6.9,6.9,6.9,6.9,6
2023-10-02,6.9,6.9,6.9,6.9,0
2023-10-03,6.9,6.9,6.9,6.9,0
2023-10-04,6.9,6.9,6.9,6.9,0
2023-10-05,6.9,6.9,6.9,6.9,0
2023-10-06,6.9,6.9,6.9,6.9,0
2023-10-09,6.9,6.9,6.9,6.9,0
2023-10-10,6.9,6.9,6.9,6.9,0
2023-10-11,6.9,6.9,6.9,6.9,0
2023-10-13,7.0,7.0,7.0,7.0,410
2023-10-16,7.0,7.0,7.0,7.0,0
2023-10-17,7.0,7.0,7.0,7.0,0
2023-10-18,8.0,8.0,8.0,8.0,29
2023-10-19,8.0,8.0,8.0,8.0,0
2023-10-20,8.0,8.0,8.0,8.0,0
2023-10-23,8.0,8.0,8.0,8.0,0
2023-10-24,8.4,8.4,8.4,8.4,30
2023-10-25,8.4,8.4,8.4,8.4,0
2023-10-26,7.0,7.0,7.0,7.0,220
2023-10-27,7.0,7.0,7.0,7.0,12
2023-10-31,7.0,7.0,7.0,7.0,0
2023-11-01,7.0,7.0,7.0,7.0,0
2023-11-02,7.0,7.0,7.0,7.0,0
2023-11-03,6.0,6.0,6.0,6.0,5000
2023-11-07,6.0,6.0,6.0,6.0,0
2023-11-08,6.0,6.0,6.0,6.0,334
2023-11-09,6.0,6.0,6.0,6.0,216
2023-11-10,6.0,6.0,6.0,6.0,208
2023-11-13,6.0,6.0,6.0,6.0,0
2023-11-14,6.0,6.0,6.0,6.0,0
2023-11-15,6.0,6.0,6.0,6.0,128
2023-11-16,7.2,7.2,7.2,7.2,10
2023-11-17,6.0,6.0,6.0,6.0,34
2023-11-20,6.0,6.0,6.0,6.0,629
2023-11-21,6.0,6.0,6.0,6.0,0
2023-11-22,6.0,6.0,6.0,6.0,50
2023-11-23,6.0,6.0,6.0,6.0,0
2023-11-24,7.2,7.2,7.2,7.2,2
2023-11-27,7.2,7.2,7.2,7.2,0
2023-11-28,5.8,5.8,5.8,5.8,358
2023-11-29,5.8,5.8,5.8,5.8,93
2023-11-30,5.8,5.8,5.8,5.8,0
2023-12-01,5.8,5.8,5.8,5.8,95
2023-12-04,6.9,6.9,6.9,6.9,14
2023-12-05,5.8,5.8,5.8,5.8,15
2023-12-06,5.8,5.8,5.8,5.8,540
2023-12-07,6.0,6.0,6.0,6.0,5
2023-12-08,5.8,5.8,5.8,5.8,165
2023-12-12,5.8,5.8,5.8,5.8,0
2023-12-13,5.8,5.8,5.8,5.8,0
2023-12-14,5.8,5.8,5.8,5.8,100
2023-12-15,5.8,5.8,5.8,5.8,11
2023-12-18,5.8,5.8,5.8,5.8,0
2023-12-19,5.8,5.8,5.8,5.8,0
2023-12-20,5.8,5.8,5.8,5.8,0
2023-12-21,5.8,5.8,5.8,5.8,100
2023-12-22,5.8,6.9,6.9,5.8,5
2023-12-26,5.8,6.9,6.9,5.8,10
2023-12-27,5.8,5.8,5.8,5.8,0
2023-12-28,5.8,5.8,5.8,5.8,0
2023-12-29,5.8,6.9,6.9,6.9,178
2024-01-02,6.9,6.9,6.9,6.9,0
2024-01-03,6.9,6.9,6.9,6.9,0
2024-01-04,6.9,6.9,6.9,6.9,0
2024-01-05,6.9,6.9,6.9,6.9,0
2024-01-08,6.9,6.9,6.9,6.9,0
2024-01-09,6.9,6.9,6.9,6.9,0
2024-01-10,6.9,6.9,6.9,6.9,0
2024-01-11,6.9,6.9,6.9,6.9,0
2024-01-12,6.9,8.2,8.2,6.9,1
2024-01-15,6.9,6.9,6.9,6.9,0
2024-01-16,6.9,6.9,6.9,6.9,0
2024-01-17,6.9,8.2,8.2,6.9,10
2024-01-18,6.9,8.2,8.2,6.9,10
2024-01-19,6.9,6.9,6.9,6.9,0
2024-01-22,6.9,6.9,6.9,6.9,0
2024-01-23,6.9,8.2,8.2,6.9,40
2024-01-24,6.9,6.9,6.9,6.9,0
2024-01-25,6.9,6.0,6.0,6.9,40
2024-01-26,6.9,6.9,6.9,6.9,220
2024-01-29,6.9,6.9,6.9,6.9,0
2024-01-30,6.9,6.9,6.9,6.9,0
2024-01-31,6.9,8.2,8.2,8.2,50
2024-02-01,8.2,8.2,8.2,8.2,24
2024-02-02,8.2,8.2,8.2,8.2,0
2024-02-05,8.2,8.2,8.2,8.2,0
2024-02-06,8.2,8.0,8.0,8.0,260
2024-02-07,8.0,8.0,8.0,8.0,0
2024-02-08,8.0,8.0,8.0,8.0,0
2024-02-09,8.0,8.0,8.0,8.0,120
2024-02-14,8.0,8.0,8.0,8.0,69
2024-02-15,8.0,8.0,8.0,8.0,0
2024-02-16,8.0,8.0,8.0,8.0,0
2024-02-19,8.0,7.0,7.0,8.0,13
2024-02-20,8.0,8.0,8.0,8.0,0
2024-02-21,8.0,8.2,8.2,8.0,17
2024-02-22,8.0,8.0,8.0,8.0,0
2024-02-23,8.0,7.0,6.4,8.0,16
2024-02-26,8.0,8.0,8.0,8.0,0
2024-02-27,8.0,7.9,6.9,7.9,73
2024-02-28,7.9,7.9,7.9,7.9,0
2024-02-29,7.9,7.9,7.9,7.9,532
2024-03-01,7.9,7.9,7.9,7.9,0
2024-03-04,7.9,9.4,7.0,7.9,15
2024-03-05,7.9,7.9,7.9,7.9,0
2024-03-06,7.9,7.9,7.9,7.9,0
2024-03-07,7.9,7.9,7.9,7.9,0
2024-03-08,7.9,7.9,7.9,7.9,0
2024-03-11,7.9,7.9,7.9,7.9,0
2024-03-12,7.9,7.9,7.9,7.9,0
2024-03-13,7.9,7.9,7.9,7.9,0
2024-03-14,7.9,7.9,7.9,7.9,0
2024-03-15,7.9,9.4,9.4,7.9,2
2024-03-18,7.9,7.9,7.9,7.9,0
2024-03-20,7.9,7.9,7.9,7.9,0
2024-03-21,7.9,9.4,9.4,7.9,2
2024-03-22,7.9,9.4,9.4,9.4,94
2024-03-25,9.4,9.4,9.4,9.4,0
2024-03-26,9.4,9.4,9.4,9.4,0
2024-03-27,9.4,9.4,9.4,9.4,0
2024-04-01,9.4,9.4,9.4,9.4,0
2024-04-02,9.4,9.4,9.4,9.4,0
2024-04-03,9.4,9.4,9.4,9.4,0
2024-04-04,9.4,11.0,11.0,9.4,7
2024-04-05,9.4,9.4,9.4,9.4,0
2024-04-09,9.4,9.4,9.4,9.4,0
2024-04-10,9.4,9.4,9.4,9.4,0
2024-04-11,9.4,9.4,9.4,9.4,0
2024-04-12,9.4,9.4,9.4,9.4,0
2024-04-15,9.4,9.4,9.4,9.4,0
2024-04-16,9.4,9.4,9.4,9.4,0
2024-04-17,9.4,11.2,11.2,9.4,10
2024-04-18,9.4,9.4,9.4,9.4,0
2024-04-22,9.4,9.4,9.4,9.4,0
2024-04-23,9.4,9.4,9.4,9.4,0
2024-04-24,9.4,11.2,11.2,9.4,5
2024-04-25,9.4,9.4,9.4,9.4,0
2024-04-26,9.4,11.2,11.2,11.2,130
