Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,2.4,2.4,2.4,2.4,804
2023-03-08,2.4,2.4,2.4,2.4,780
2023-03-09,2.6,2.6,2.6,2.6,1395
2023-03-10,2.6,2.6,2.6,2.6,3580
2023-03-13,3.1,3.1,3.1,3.1,84
2023-03-14,2.7,2.7,2.7,2.7,1835
2023-03-15,2.8,2.8,2.8,2.8,930
2023-03-16,3.2,3.2,3.2,3.2,85
2023-03-17,11.1,11.1,11.1,11.1,301
2023-03-20,13.1,13.1,13.1,13.1,36
2023-03-21,13.1,13.1,13.1,13.1,0
2023-03-22,13.1,13.1,13.1,13.1,0
2023-03-23,13.1,13.1,13.1,13.1,0
2023-03-24,13.1,13.1,13.1,13.1,0
2023-03-27,3.2,3.2,3.2,3.2,20
2023-03-28,3.0,3.0,3.0,3.0,1191
2023-03-29,3.0,3.0,3.0,3.0,461
2023-03-30,3.0,3.0,3.0,3.0,124
2023-03-31,3.0,3.0,3.0,3.0,0
2023-04-03,2.9,2.9,2.9,2.9,15
2023-04-04,3.0,3.0,3.0,3.0,363
2023-04-05,2.9,2.9,2.9,2.9,1256
2023-04-10,2.9,2.9,2.9,2.9,0
2023-04-11,2.9,2.9,2.9,2.9,22
2023-04-12,2.9,2.9,2.9,2.9,0
2023-04-13,2.6,2.6,2.6,2.6,4
2023-04-14,2.9,2.9,2.9,2.9,8
2023-04-17,2.9,2.9,2.9,2.9,0
2023-04-18,2.9,2.9,2.9,2.9,62
2023-04-20,3.1,3.1,3.1,3.1,58
2023-04-21,3.0,3.0,3.0,3.0,1810
2023-04-24,3.0,3.0,3.0,3.0,92
2023-04-25,3.0,3.0,3.0,3.0,0
2023-04-26,3.0,3.0,3.0,3.0,0
2023-04-27,3.0,3.0,3.0,3.0,0
2023-04-28,2.9,2.9,2.9,2.9,423
2023-05-02,2.9,2.9,2.9,2.9,0
2023-05-03,2.9,2.9,2.9,2.9,0
2023-05-04,2.9,2.9,2.9,2.9,0
2023-05-05,2.9,2.9,2.9,2.9,220
2023-05-08,2.9,2.9,2.9,2.9,330
2023-05-09,3.1,3.1,3.1,3.1,415
2023-05-10,3.1,3.1,3.1,3.1,238
2023-05-11,3.1,3.1,3.1,3.1,18
2023-05-12,3.1,3.1,3.1,3.1,0
2023-05-15,3.1,3.1,3.1,3.1,0
2023-05-16,2.7,2.7,2.7,2.7,604
2023-05-17,2.8,2.8,2.8,2.8,2675
2023-05-18,2.9,2.9,2.9,2.9,550
2023-05-19,2.9,2.9,2.9,2.9,46
2023-05-23,2.9,2.9,2.9,2.9,0
2023-05-24,2.9,2.9,2.9,2.9,5
2023-05-25,2.9,2.9,2.9,2.9,260
2023-05-26,3.0,3.0,3.0,3.0,463
2023-05-29,3.0,3.0,3.0,3.0,159
2023-05-30,3.3,3.3,3.3,3.3,5
2023-05-31,3.2,3.2,3.2,3.2,161
2023-06-01,3.0,3.0,3.0,3.0,820
