Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2026-01-08,379.0,450.0,384.0,384.0,1177.0
2026-01-09,384.0,460.8,417.0,450.0,4167.0
2026-01-13,450.0,480.0,450.0,480.0,1034.0
2026-01-14,480.0,520.0,480.0,480.0,406.0
2026-01-15,480.0,480.0,470.0,480.0,157.0
2026-01-16,480.0,460.0,440.0,440.0,511.0
2026-01-20,440.0,430.0,400.0,440.0,118.0
2026-01-21,440.0,425.0,400.0,440.0,229.0
2026-01-22,440.0,423.0,396.0,400.0,458.0
2026-01-23,400.0,400.0,389.0,400.0,220.0
2026-01-26,400.0,439.0,365.0,400.0,17650.0
2026-01-27,400.0,425.0,365.0,400.0,325.0
2026-01-28,400.0,400.0,361.0,385.0,6963.0
2026-01-29,385.0,400.0,370.0,399.0,412.0
2026-01-30,399.0,425.0,399.0,425.0,17533.0
2026-02-02,425.0,441.0,425.0,439.0,11761.0
2026-02-03,439.0,480.5,440.0,480.0,10233.0
2026-02-04,480.0,527.5,480.0,527.0,16776.0
2026-02-05,527.0,578.0,530.0,560.0,15966.0
2026-02-06,560.0,615.0,600.0,610.0,7762.0
2026-02-09,610.0,640.0,618.0,639.0,517.0
2026-02-10,639.0,639.0,580.0,620.0,382.0
2026-02-11,620.0,639.0,624.0,625.0,2389.0
2026-02-12,625.0,624.0,619.0,625.0,181.0
2026-02-13,625.0,620.0,505.0,618.0,504.0
2026-02-18,618.0,622.0,505.0,615.0,913.0
2026-02-19,615.0,620.0,512.0,610.0,1358.0
2026-02-20,610.0,620.0,505.0,619.0,560.0
2026-02-23,619.0,619.0,530.0,615.0,9281.0
2026-02-24,615.0,620.0,540.0,560.0,10188.0
2026-02-25,560.0,620.0,505.0,580.0,1206.0
2026-02-26,580.0,610.0,580.0,580.0,255.0
2026-02-27,580.0,605.0,580.0,580.0,150.0
2026-03-02,580.0,650.0,580.0,590.0,6128.0
2026-03-03,590.0,620.0,580.0,590.0,3469.0
2026-03-04,590.0,700.0,590.0,621.0,5226.0
2026-03-05,621.0,705.0,695.0,700.0,5558.0
2026-03-06,700.0,705.0,610.0,699.0,1064.0
2026-03-09,699.0,835.0,699.0,780.0
2026-03-10,780.0,780.0,775.0,780.0
2026-03-11,780.0,780.0,720.0,750.0
2026-03-12,750.0,775.0,720.0,750.0
2026-03-13,750.0,780.0,720.0,750.0
2026-03-16,750.0,799.99,680.0,720.0
2026-03-17,720.0,760.0,699.0,719.98
2026-03-18,719.98,720.0,650.0,719.98
2026-03-20,719.98,760.0,700.0,705.0
2026-03-23,705.0,840.0,720.0,722.0
2026-03-24,722.0,830.0,680.0,829.0
2026-03-25,829.0,829.95,720.0,720.0
2026-03-26,720.0,828.95,620.0,720.0
2026-03-27,720.0,825.0,620.0,720.0
2026-03-30,720.0,823.95,720.0,720.0
2026-03-31,720.0,819.95,580.0,819.5
