Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,6.4,6.4,6.4,6.4,1344
2023-03-08,6.4,6.4,6.4,6.4,1360
2023-03-09,6.4,6.4,6.4,6.4,0
2023-03-10,6.4,6.4,6.4,6.4,3
2023-03-13,6.4,6.4,6.4,6.4,1290
2023-03-14,6.4,6.4,6.4,6.4,31
2023-03-15,6.2,6.2,6.2,6.2,1931
2023-03-16,6.2,6.2,6.2,6.2,0
2023-03-17,6.2,6.2,6.2,6.2,0
2023-03-20,6.2,6.2,6.2,6.2,163
2023-03-21,6.2,6.2,6.2,6.2,470
2023-03-22,6.0,6.0,6.0,6.0,250
2023-03-23,6.4,6.4,6.4,6.4,1213
2023-03-24,6.5,6.5,6.5,6.5,10
2023-03-27,6.5,6.5,6.5,6.5,15
2023-03-28,6.5,6.5,6.5,6.5,166
2023-03-29,6.5,6.5,6.5,6.5,11
2023-03-30,6.5,6.5,6.5,6.5,151
2023-03-31,6.5,6.5,6.5,6.5,752
2023-04-03,6.5,6.5,6.5,6.5,0
2023-04-04,6.5,6.5,6.5,6.5,397
2023-04-05,6.6,6.6,6.6,6.6,250
2023-04-10,6.5,6.5,6.5,6.5,15
2023-04-11,6.5,6.5,6.5,6.5,113
2023-04-12,6.6,6.6,6.6,6.6,4
2023-04-13,6.6,6.6,6.6,6.6,418
2023-04-14,6.6,6.6,6.6,6.6,0
2023-04-17,6.5,6.5,6.5,6.5,533
2023-04-18,6.5,6.5,6.5,6.5,54
2023-04-20,6.5,6.5,6.5,6.5,140
2023-04-21,6.5,6.5,6.5,6.5,17633
2023-04-24,6.8,6.8,6.8,6.8,2528
2023-04-25,6.9,6.9,6.9,6.9,736
2023-04-26,7.0,7.0,7.0,7.0,15208
2023-04-27,7.0,7.0,7.0,7.0,808
2023-04-28,7.0,7.0,7.0,7.0,490
2023-05-02,7.0,7.0,7.0,7.0,28
2023-05-03,7.0,7.0,7.0,7.0,700
2023-05-04,7.1,7.1,7.1,7.1,2225
2023-05-05,7.1,7.1,7.1,7.1,291
2023-05-08,7.4,7.4,7.4,7.4,2653
2023-05-09,7.4,7.4,7.4,7.4,2852
2023-05-10,7.6,7.6,7.6,7.6,3410
2023-05-11,7.6,7.6,7.6,7.6,289
2023-05-12,7.7,7.7,7.7,7.7,701
2023-05-15,7.6,7.6,7.6,7.6,8
2023-05-16,7.6,7.6,7.6,7.6,793
2023-05-17,7.6,7.6,7.6,7.6,1632
2023-05-18,7.6,7.6,7.6,7.6,1521
2023-05-19,7.6,7.6,7.6,7.6,6271
2023-05-23,7.9,7.9,7.9,7.9,30
2023-05-24,7.9,7.9,7.9,7.9,27
2023-05-25,7.7,7.7,7.7,7.7,5760
2023-05-26,7.7,7.7,7.7,7.7,130
2023-05-29,7.9,7.9,7.9,7.9,2253
2023-05-30,7.8,7.8,7.8,7.8,4115
2023-05-31,7.8,7.8,7.8,7.8,0
2023-06-01,7.9,7.9,7.9,7.9,3020
2023-06-02,7.9,7.9,7.9,7.9,199
2023-06-05,7.8,7.8,7.8,7.8,100
2023-06-06,7.8,7.8,7.8,7.8,2265
2023-06-07,7.7,7.7,7.7,7.7,3730
2023-06-08,7.9,7.9,7.9,7.9,12
2023-06-13,7.6,7.6,7.6,7.6,5329
2023-06-14,8.0,8.0,8.0,8.0,49
2023-06-15,8.0,8.0,8.0,8.0,100
2023-06-16,8.1,8.1,8.1,8.1,133
2023-06-20,8.3,8.3,8.3,8.3,518
2023-06-21,8.4,8.4,8.4,8.4,135
2023-06-22,8.5,8.5,8.5,8.5,263
2023-06-23,8.5,8.5,8.5,8.5,88
2023-06-26,8.6,8.6,8.6,8.6,52
2023-06-27,8.5,8.5,8.5,8.5,195
2023-06-28,8.5,8.5,8.5,8.5,1
2023-06-29,8.6,8.6,8.6,8.6,250
2023-06-30,8.3,8.3,8.3,8.3,868
2023-07-04,8.3,8.3,8.3,8.3,130
2023-07-06,8.6,8.6,8.6,8.6,1
2023-07-07,8.4,8.4,8.4,8.4,118
2023-07-10,8.5,8.5,8.5,8.5,25
2023-07-11,8.5,8.5,8.5,8.5,166
2023-07-12,8.5,8.5,8.5,8.5,506
2023-07-13,8.3,8.3,8.3,8.3,64
2023-07-14,8.0,8.0,8.0,8.0,15065
2023-07-17,8.5,8.5,8.5,8.5,1510
2023-07-18,8.5,8.5,8.5,8.5,66417
2023-07-19,8.5,8.5,8.5,8.5,0
2023-07-20,8.5,8.5,8.5,8.5,1271
2023-07-21,8.5,8.5,8.5,8.5,210
2023-07-25,8.5,8.5,8.5,8.5,160
2023-07-26,8.5,8.5,8.5,8.5,97
2023-07-27,8.6,8.6,8.6,8.6,1827
2023-07-28,8.8,8.8,8.8,8.8,529
2023-07-31,8.9,8.9,8.9,8.9,1607
2023-08-01,9.1,9.1,9.1,9.1,639
2023-08-02,9.2,9.2,9.2,9.2,587
2023-08-03,9.4,9.4,9.4,9.4,36554
2023-08-04,9.4,9.4,9.4,9.4,51
2023-08-07,9.6,9.6,9.6,9.6,750
2023-08-08,9.5,9.5,9.5,9.5,2650
2023-08-09,10.0,10.0,10.0,10.0,17
2023-08-10,9.7,9.7,9.7,9.7,2420
2023-08-11,10.0,10.0,10.0,10.0,232
2023-08-15,10.2,10.2,10.2,10.2,827
2023-08-16,11.0,11.0,11.0,11.0,10444
2023-08-17,11.2,11.2,11.2,11.2,619
2023-08-18,11.3,11.3,11.3,11.3,9511
2023-08-21,11.5,11.5,11.5,11.5,1079
2023-08-22,12.0,12.0,12.0,12.0,2724
2023-08-23,12.0,12.0,12.0,12.0,26
2023-08-24,12.4,12.4,12.4,12.4,542
2023-08-25,12.4,12.4,12.4,12.4,2027
2023-08-28,12.7,12.7,12.7,12.7,651
2023-08-29,12.7,12.7,12.7,12.7,538
2023-08-30,12.7,12.7,12.7,12.7,200
2023-08-31,13.0,13.0,13.0,13.0,941
2023-09-01,13.8,13.8,13.8,13.8,1819
2023-09-04,13.0,13.0,13.0,13.0,120
2023-09-05,13.8,13.8,13.8,13.8,278
2023-09-06,13.8,13.8,13.8,13.8,0
2023-09-07,13.7,13.7,13.7,13.7,23
2023-09-08,13.7,13.7,13.7,13.7,2651
2023-09-12,13.8,13.8,13.8,13.8,149
2023-09-13,13.8,13.8,13.8,13.8,4836
2023-09-14,13.8,13.8,13.8,13.8,96
2023-09-15,13.4,13.4,13.4,13.4,4235
2023-09-18,13.4,13.4,13.4,13.4,0
2023-09-19,13.9,13.9,13.9,13.9,60
2023-09-20,13.8,13.8,13.8,13.8,24
2023-09-21,13.8,13.8,13.8,13.8,119
2023-09-22,13.8,13.8,13.8,13.8,373
2023-09-25,13.8,13.8,13.8,13.8,59
2023-09-26,13.8,13.8,13.8,13.8,52
2023-09-27,13.2,13.2,13.2,13.2,242
2023-09-28,14.3,14.3,14.3,14.3,208
2023-09-29,14.5,14.5,14.5,14.5,1589
2023-10-02,15.0,15.0,15.0,15.0,50103
2023-10-03,15.0,15.0,15.0,15.0,120185
2023-10-04,16.2,16.2,16.2,16.2,123
2023-10-05,16.0,16.0,16.0,16.0,844
2023-10-06,16.5,16.5,16.5,16.5,1102
2023-10-09,16.5,16.5,16.5,16.5,0
2023-10-10,16.8,16.8,16.8,16.8,653
2023-10-11,16.8,16.8,16.8,16.8,110
2023-10-13,16.8,16.8,16.8,16.8,0
2023-10-16,20.7,20.7,20.7,20.7,146
2023-10-17,20.9,20.9,20.9,20.9,193
2023-10-18,20.9,20.9,20.9,20.9,265
2023-10-19,20.9,20.9,20.9,20.9,39
2023-10-20,20.9,20.9,20.9,20.9,1639
2023-10-23,25.1,25.1,25.1,25.1,106
2023-10-24,24.9,24.9,24.9,24.9,1
2023-10-25,24.7,24.7,24.7,24.7,41
2023-10-26,19.9,19.9,19.9,19.9,30
2023-10-27,23.8,23.8,23.8,23.8,3441
2023-10-31,23.8,23.8,23.8,23.8,2078
2023-11-01,23.4,23.4,23.4,23.4,201
2023-11-02,23.4,23.4,23.4,23.4,1126
2023-11-03,22.9,22.9,22.9,22.9,1216
2023-11-07,22.9,22.9,22.9,22.9,0
2023-11-08,21.9,21.9,21.9,21.9,297
2023-11-09,21.9,21.9,21.9,21.9,688
2023-11-10,21.4,21.4,21.4,21.4,100100
2023-11-13,20.8,20.8,20.8,20.8,249
2023-11-14,20.8,20.8,20.8,20.8,11
2023-11-15,19.9,19.9,19.9,19.9,382
2023-11-16,19.7,19.7,19.7,19.7,769
2023-11-17,17.0,17.0,17.0,17.0,479
2023-11-20,17.0,17.0,17.0,17.0,100
2023-11-21,17.8,17.8,17.8,17.8,1080
2023-11-22,19.4,19.4,19.4,19.4,2364
2023-11-23,19.5,19.5,19.5,19.5,1000
2023-11-24,18.5,18.5,18.5,18.5,3209
2023-11-27,19.2,19.2,19.2,19.2,290
2023-11-28,18.5,18.5,18.5,18.5,107
2023-11-29,18.5,18.5,18.5,18.5,49
2023-11-30,19.0,19.0,19.0,19.0,2
2023-12-01,18.4,18.4,18.4,18.4,153
2023-12-04,18.4,18.4,18.4,18.4,310
2023-12-05,18.4,18.4,18.4,18.4,82
2023-12-06,18.4,18.4,18.4,18.4,0
2023-12-07,18.4,18.4,18.4,18.4,4652
2023-12-08,18.5,18.5,18.5,18.5,172
2023-12-12,19.0,19.0,19.0,19.0,316
2023-12-13,18.5,18.5,18.5,18.5,1194
2023-12-14,18.5,18.5,18.5,18.5,1093
2023-12-15,18.5,18.5,18.5,18.5,5
2023-12-18,18.5,18.5,18.5,18.5,20
2023-12-19,18.5,19.0,18.5,19.0,858
2023-12-20,19.0,19.0,18.5,18.5,860
2023-12-21,18.5,18.5,18.5,18.5,391
2023-12-22,18.5,19.0,19.0,19.0,116
2023-12-26,19.0,19.0,19.0,19.0,369
2023-12-27,19.0,19.0,19.0,19.0,221
2023-12-28,19.0,19.0,19.0,19.0,6180
2023-12-29,19.0,19.0,19.0,19.0,0
2024-01-02,19.0,18.9,18.9,18.9,37
2024-01-03,18.9,18.9,18.0,18.9,657
2024-01-04,18.9,18.9,18.2,18.9,17
2024-01-05,18.9,18.0,18.0,18.0,161
2024-01-08,18.0,18.0,18.0,18.0,48
2024-01-09,18.0,18.0,18.0,18.0,106
2024-01-10,18.0,18.6,18.0,18.6,100
2024-01-11,18.6,18.7,18.0,18.7,2283
2024-01-12,18.7,18.7,18.7,18.7,28
2024-01-15,18.7,18.7,18.7,18.7,62
2024-01-16,18.7,18.7,18.7,18.7,10
2024-01-17,18.7,18.7,18.7,18.7,0
2024-01-18,18.7,18.7,18.0,18.0,2587
2024-01-19,18.0,18.6,18.0,18.6,903
2024-01-22,18.6,18.6,18.6,18.6,0
2024-01-23,18.6,18.6,18.6,18.6,294
2024-01-24,18.6,18.6,18.0,18.6,282
2024-01-25,18.6,18.6,18.5,18.5,1577
2024-01-26,18.0,18.6,17.9,18.0,1000
2024-01-29,18.0,18.4,18.4,18.4,22
2024-01-30,18.4,18.4,18.4,18.4,0
2024-01-31,18.4,17.9,17.7,17.7,409
2024-02-01,17.7,17.9,17.8,17.8,750
2024-02-02,17.8,17.8,17.7,17.7,169
2024-02-05,17.7,17.6,17.0,17.1,381
2024-02-06,17.1,17.0,16.9,16.9,159
2024-02-07,15.5,15.5,15.5,15.5,100100
2024-02-08,15.5,17.5,17.0,17.0,186
2024-02-09,17.0,17.1,17.1,17.0,770
2024-02-14,17.0,17.4,17.0,17.0,110
2024-02-15,17.0,16.9,16.9,16.9,52
2024-02-16,16.9,16.9,16.9,16.9,65
2024-02-19,16.9,16.9,16.7,16.7,1018
2024-02-20,16.7,16.7,16.7,16.7,35
2024-02-21,16.7,16.7,16.7,16.7,5000
2024-02-22,16.7,16.7,16.7,16.7,108
2024-02-23,16.0,16.0,16.0,16.0,552
2024-02-26,16.0,16.0,16.0,16.0,925
2024-02-27,16.0,16.0,16.0,16.0,0
2024-02-28,16.0,16.0,16.0,16.0,0
2024-02-29,15.7,15.7,15.7,15.7,36
2024-03-01,15.5,15.5,15.5,15.5,4740
2024-03-04,15.5,15.0,13.5,14.9,305
2024-03-05,14.9,14.8,14.8,14.9,893
2024-03-06,14.9,14.8,14.8,14.8,190
2024-03-07,14.8,14.8,14.0,14.7,514
2024-03-08,14.7,14.7,14.7,14.7,100
2024-03-11,14.7,14.7,14.6,14.6,896
2024-03-12,14.6,14.6,14.6,14.6,50
2024-03-13,14.6,14.5,14.4,14.4,290
2024-03-14,14.4,14.3,14.3,14.3,1797
2024-03-15,14.3,13.8,13.8,13.8,900
2024-03-18,13.8,14.4,11.5,14.4,843
2024-03-20,14.4,14.4,14.0,14.0,2477
2024-03-21,14.0,14.5,14.0,14.0,602
2024-03-22,14.0,14.0,14.0,14.0,135
2024-03-25,14.0,14.0,14.0,14.0,1496
2024-03-26,14.0,15.0,15.0,15.0,404
2024-03-27,15.0,15.5,15.5,15.0,1023
2024-04-01,15.0,15.5,15.5,15.5,109
2024-04-02,15.5,15.5,14.0,15.3,588
2024-04-03,15.3,15.5,15.0,15.0,2000
2024-04-04,15.0,15.5,15.0,15.5,100
2024-04-05,15.5,15.5,15.5,15.5,0
2024-04-09,15.5,15.5,15.5,15.5,1188
2024-04-10,15.5,15.5,13.1,15.5,580
2024-04-11,15.5,15.5,15.4,15.4,349
2024-04-12,15.4,15.7,15.5,15.7,2366
2024-04-15,16.0,16.0,15.9,16.0,760
