Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,0.9,0.9,0.9,0.9,20
2023-03-08,0.9,0.9,0.9,0.9,150
2023-03-09,0.7,0.7,0.7,0.7,520
2023-03-10,0.8,0.8,0.8,0.8,20
2023-03-13,0.8,0.8,0.8,0.8,950
2023-03-14,0.9,0.9,0.9,0.9,210
2023-03-15,0.9,0.9,0.9,0.9,100
2023-03-16,0.9,0.9,0.9,0.9,0
2023-03-17,0.8,0.8,0.8,0.8,80
2023-03-20,0.9,0.9,0.9,0.9,50
2023-03-21,0.8,0.8,0.8,0.8,210
2023-03-22,0.8,0.8,0.8,0.8,20
2023-03-23,0.8,0.8,0.8,0.8,0
2023-03-24,0.8,0.8,0.8,0.8,300
2023-03-27,0.8,0.8,0.8,0.8,120
2023-03-28,0.8,0.8,0.8,0.8,150
2023-03-29,0.8,0.8,0.8,0.8,1850
2023-03-30,0.8,0.8,0.8,0.8,0
2023-03-31,1.0,1.0,1.0,1.0,50
2023-04-03,1.0,1.0,1.0,1.0,100
2023-04-04,1.0,1.0,1.0,1.0,40
2023-04-05,1.0,1.0,1.0,1.0,250
2023-04-10,1.0,1.0,1.0,1.0,0
2023-04-11,1.0,1.0,1.0,1.0,0
2023-04-12,1.1,1.1,1.1,1.1,110
2023-04-13,1.1,1.1,1.1,1.1,0
2023-04-14,1.1,1.1,1.1,1.1,8000
2023-04-17,1.1,1.1,1.1,1.1,230
2023-04-18,1.1,1.1,1.1,1.1,1310
2023-04-20,1.1,1.1,1.1,1.1,40
2023-04-21,1.1,1.1,1.1,1.1,60
2023-04-24,1.1,1.1,1.1,1.1,140
2023-04-25,1.1,1.1,1.1,1.1,0
2023-04-26,1.3,1.3,1.3,1.3,5
2023-04-27,1.3,1.3,1.3,1.3,2
2023-04-28,1.1,1.1,1.1,1.1,2522
2023-05-02,1.1,1.1,1.1,1.1,903
2023-05-03,1.1,1.1,1.1,1.1,1000
2023-05-04,1.1,1.1,1.1,1.1,248
2023-05-05,1.0,1.0,1.0,1.0,1491
2023-05-08,1.0,1.0,1.0,1.0,2053
2023-05-09,1.2,1.2,1.2,1.2,105
2023-05-10,1.2,1.2,1.2,1.2,1442
2023-05-11,1.3,1.3,1.3,1.3,37
2023-05-12,1.2,1.2,1.2,1.2,22
2023-05-15,1.3,1.3,1.3,1.3,338
2023-05-16,1.2,1.2,1.2,1.2,635108
2023-05-17,1.4,1.4,1.4,1.4,684
2023-05-18,1.1,1.1,1.1,1.1,897
2023-05-19,1.4,1.4,1.4,1.4,140
2023-05-23,1.4,1.4,1.4,1.4,8
2023-05-24,1.6,1.6,1.6,1.6,5599
2023-05-25,1.6,1.6,1.6,1.6,130
2023-05-26,1.5,1.5,1.5,1.5,415
2023-05-29,1.6,1.6,1.6,1.6,710
2023-05-30,1.6,1.6,1.6,1.6,165
2023-05-31,1.3,1.3,1.3,1.3,5352
2023-06-01,1.5,1.5,1.5,1.5,561
2023-06-02,1.2,1.2,1.2,1.2,3123
2023-06-05,1.4,1.4,1.4,1.4,150
2023-06-06,1.4,1.4,1.4,1.4,563
