Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,10.4,10.4,10.4,10.4,5
2023-03-08,10.4,10.4,10.4,10.4,0
2023-03-09,10.4,10.4,10.4,10.4,3260
2023-03-10,10.4,10.4,10.4,10.4,10
2023-03-13,10.4,10.4,10.4,10.4,0
2023-03-14,10.4,10.4,10.4,10.4,0
2023-03-15,10.4,10.4,10.4,10.4,0
2023-03-16,10.4,10.4,10.4,10.4,0
2023-03-17,10.4,10.4,10.4,10.4,0
2023-03-20,10.4,10.4,10.4,10.4,16
2023-03-21,10.4,10.4,10.4,10.4,0
2023-03-22,10.3,10.3,10.3,10.3,73
2023-03-23,10.3,10.3,10.3,10.3,0
2023-03-24,10.3,10.3,10.3,10.3,0
2023-03-27,10.3,10.3,10.3,10.3,0
2023-03-28,10.3,10.3,10.3,10.3,0
2023-03-29,10.3,10.3,10.3,10.3,0
2023-03-30,10.3,10.3,10.3,10.3,0
2023-03-31,10.3,10.3,10.3,10.3,0
2023-04-03,10.3,10.3,10.3,10.3,0
2023-04-04,10.3,10.3,10.3,10.3,2460
2023-04-05,10.3,10.3,10.3,10.3,5
2023-04-10,10.3,10.3,10.3,10.3,0
2023-04-11,10.3,10.3,10.3,10.3,0
2023-04-12,10.3,10.3,10.3,10.3,0
2023-04-13,10.3,10.3,10.3,10.3,14
2023-04-14,10.3,10.3,10.3,10.3,0
2023-04-17,10.3,10.3,10.3,10.3,0
2023-04-18,10.3,10.3,10.3,10.3,0
2023-04-20,10.3,10.3,10.3,10.3,10
2023-04-21,10.3,10.3,10.3,10.3,0
2023-04-24,10.3,10.3,10.3,10.3,0
2023-04-25,10.3,10.3,10.3,10.3,0
2023-04-26,10.3,10.3,10.3,10.3,0
2023-04-27,10.3,10.3,10.3,10.3,0
2023-04-28,10.0,10.0,10.0,10.0,19
2023-05-02,10.0,10.0,10.0,10.0,0
2023-05-03,10.0,10.0,10.0,10.0,0
2023-05-04,10.0,10.0,10.0,10.0,0
2023-05-05,10.0,10.0,10.0,10.0,0
2023-05-08,10.0,10.0,10.0,10.0,0
2023-05-09,10.0,10.0,10.0,10.0,0
2023-05-10,10.0,10.0,10.0,10.0,0
2023-05-11,10.0,10.0,10.0,10.0,0
2023-05-12,10.0,10.0,10.0,10.0,0
2023-05-15,10.0,10.0,10.0,10.0,0
2023-05-16,10.0,10.0,10.0,10.0,0
2023-05-17,10.0,10.0,10.0,10.0,0
2023-05-18,10.0,10.0,10.0,10.0,0
2023-05-19,10.0,10.0,10.0,10.0,0
2023-05-23,10.0,10.0,10.0,10.0,0
2023-05-24,11.0,11.0,11.0,11.0,2
2023-05-25,11.0,11.0,11.0,11.0,20
2023-05-26,11.0,11.0,11.0,11.0,58
2023-05-29,11.0,11.0,11.0,11.0,0
2023-05-30,11.0,11.0,11.0,11.0,2
2023-05-31,11.0,11.0,11.0,11.0,0
2023-06-01,11.0,11.0,11.0,11.0,0
2023-06-02,11.0,11.0,11.0,11.0,5
2023-06-05,11.0,11.0,11.0,11.0,0
2023-06-06,11.0,11.0,11.0,11.0,0
2023-06-07,11.0,11.0,11.0,11.0,0
2023-06-08,11.0,11.0,11.0,11.0,0
2023-06-09,11.0,11.0,11.0,11.0,0
2023-06-13,11.0,11.0,11.0,11.0,0
2023-06-14,11.0,11.0,11.0,11.0,0
2023-06-15,11.0,11.0,11.0,11.0,0
2023-06-16,11.0,11.0,11.0,11.0,0
2023-06-20,11.0,11.0,11.0,11.0,0
2023-06-21,11.0,11.0,11.0,11.0,5200
2023-06-22,11.0,11.0,11.0,11.0,0
2023-06-23,11.0,11.0,11.0,11.0,0
2023-06-26,11.0,11.0,11.0,11.0,0
2023-06-27,11.0,11.0,11.0,11.0,0
2023-06-28,11.0,11.0,11.0,11.0,0
2023-06-29,11.0,11.0,11.0,11.0,0
2023-06-30,11.0,11.0,11.0,11.0,0
2023-07-04,12.0,12.0,12.0,12.0,1
2023-07-06,12.0,12.0,12.0,12.0,1
2023-07-07,12.0,12.0,12.0,12.0,13
2023-07-10,12.0,12.0,12.0,12.0,0
2023-07-11,12.0,12.0,12.0,12.0,0
2023-07-12,12.0,12.0,12.0,12.0,0
2023-07-13,12.0,12.0,12.0,12.0,1
2023-07-14,12.0,12.0,12.0,12.0,3261
2023-07-17,12.0,12.0,12.0,12.0,0
2023-07-18,12.0,12.0,12.0,12.0,0
2023-07-19,12.0,12.0,12.0,12.0,0
2023-07-20,12.0,12.0,12.0,12.0,0
2023-07-21,12.0,12.0,12.0,12.0,0
2023-07-25,12.0,12.0,12.0,12.0,0
2023-07-26,14.0,14.0,14.0,14.0,4
2023-07-27,14.0,14.0,14.0,14.0,0
2023-07-28,14.0,14.0,14.0,14.0,0
2023-07-31,14.0,14.0,14.0,14.0,0
2023-08-01,15.0,15.0,15.0,15.0,11
2023-08-02,15.0,15.0,15.0,15.0,0
2023-08-03,15.0,15.0,15.0,15.0,0
2023-08-04,15.0,15.0,15.0,15.0,0
2023-08-07,15.0,15.0,15.0,15.0,25
2023-08-08,15.0,15.0,15.0,15.0,12
2023-08-09,15.0,15.0,15.0,15.0,0
2023-08-10,15.0,15.0,15.0,15.0,58
2023-08-11,15.0,15.0,15.0,15.0,0
2023-08-15,15.0,15.0,15.0,15.0,0
2023-08-16,15.0,15.0,15.0,15.0,0
2023-08-17,15.0,15.0,15.0,15.0,4
2023-08-18,15.0,15.0,15.0,15.0,0
2023-08-21,15.0,15.0,15.0,15.0,0
2023-08-22,15.0,15.0,15.0,15.0,0
2023-08-23,15.0,15.0,15.0,15.0,0
2023-08-24,15.0,15.0,15.0,15.0,21
2023-08-25,15.0,15.0,15.0,15.0,0
2023-08-28,15.0,15.0,15.0,15.0,0
2023-08-29,15.0,15.0,15.0,15.0,0
2023-08-30,15.0,15.0,15.0,15.0,0
2023-08-31,15.0,15.0,15.0,15.0,0
2023-09-01,15.0,15.0,15.0,15.0,0
2023-09-04,15.0,15.0,15.0,15.0,0
2023-09-05,15.0,15.0,15.0,15.0,13
2023-09-06,15.0,15.0,15.0,15.0,10
2023-09-07,14.0,14.0,14.0,14.0,50
2023-09-08,14.0,14.0,14.0,14.0,0
2023-09-12,14.0,14.0,14.0,14.0,0
2023-09-13,14.0,14.0,14.0,14.0,0
2023-09-14,14.0,14.0,14.0,14.0,0
2023-09-15,14.0,14.0,14.0,14.0,0
2023-09-18,14.0,14.0,14.0,14.0,0
2023-09-19,14.0,14.0,14.0,14.0,0
2023-09-20,14.0,14.0,14.0,14.0,0
2023-09-21,14.0,14.0,14.0,14.0,0
2023-09-22,14.0,14.0,14.0,14.0,0
2023-09-25,14.0,14.0,14.0,14.0,0
2023-09-26,14.0,14.0,14.0,14.0,0
2023-09-27,14.0,14.0,14.0,14.0,130
2023-09-28,14.9,14.9,14.9,14.9,5
2023-09-29,14.9,14.9,14.9,14.9,0
2023-10-02,14.9,14.9,14.9,14.9,0
2023-10-03,14.9,14.9,14.9,14.9,0
2023-10-04,14.9,14.9,14.9,14.9,0
2023-10-05,14.9,14.9,14.9,14.9,0
2023-10-06,14.9,14.9,14.9,14.9,0
2023-10-09,11.2,11.2,11.2,11.2,20
2023-10-10,11.2,11.2,11.2,11.2,0
2023-10-11,14.0,14.0,14.0,14.0,10
2023-10-13,14.0,14.0,14.0,14.0,0
2023-10-16,14.0,14.0,14.0,14.0,35
2023-10-17,14.0,14.0,14.0,14.0,0
2023-10-18,14.0,14.0,14.0,14.0,0
2023-10-19,14.0,14.0,14.0,14.0,0
2023-10-20,14.0,14.0,14.0,14.0,0
2023-10-23,14.3,14.3,14.3,14.3,38
2023-10-24,14.3,14.3,14.3,14.3,0
2023-10-25,14.3,14.3,14.3,14.3,0
2023-10-26,14.0,14.0,14.0,14.0,3614
2023-10-27,14.0,14.0,14.0,14.0,0
2023-10-31,14.0,14.0,14.0,14.0,0
2023-11-01,14.0,14.0,14.0,14.0,0
2023-11-02,14.0,14.0,14.0,14.0,0
2023-11-03,14.0,14.0,14.0,14.0,0
2023-11-07,14.0,14.0,14.0,14.0,0
2023-11-08,14.0,14.0,14.0,14.0,0
2023-11-09,14.0,14.0,14.0,14.0,0
2023-11-10,14.0,14.0,14.0,14.0,20
2023-11-13,14.0,14.0,14.0,14.0,0
2023-11-14,14.0,14.0,14.0,14.0,0
2023-11-15,14.3,14.3,14.3,14.3,35
2023-11-16,14.3,14.3,14.3,14.3,0
2023-11-17,14.3,14.3,14.3,14.3,0
2023-11-20,14.3,14.3,14.3,14.3,0
2023-11-21,14.3,14.3,14.3,14.3,0
2023-11-22,14.3,14.3,14.3,14.3,0
2023-11-23,14.3,14.3,14.3,14.3,0
2023-11-24,14.3,14.3,14.3,14.3,0
2023-11-27,14.3,14.3,14.3,14.3,57
2023-11-28,14.3,14.3,14.3,14.3,0
2023-11-29,14.3,14.3,14.3,14.3,0
2023-11-30,14.3,14.3,14.3,14.3,0
2023-12-01,14.3,14.3,14.3,14.3,0
2023-12-04,14.3,14.3,14.3,14.3,0
2023-12-05,14.3,14.3,14.3,14.3,0
2023-12-06,14.3,14.3,14.3,14.3,0
2023-12-07,14.3,14.3,14.3,14.3,0
2023-12-08,14.3,14.3,14.3,14.3,0
2023-12-12,14.3,14.3,14.3,14.3,0
2023-12-13,14.3,14.3,14.3,14.3,0
2023-12-14,14.3,14.3,14.3,14.3,0
2023-12-15,14.0,14.0,14.0,14.0,30
2023-12-18,14.0,14.0,14.0,14.0,0
2023-12-19,14.0,14.0,14.0,14.0,0
2023-12-20,14.0,14.0,14.0,14.0,0
2023-12-21,14.0,14.0,14.0,14.0,0
2023-12-22,14.0,14.0,14.0,14.0,0
2023-12-26,14.0,14.0,14.0,14.0,0
2023-12-27,14.0,14.0,14.0,14.0,0
2023-12-28,14.0,14.0,14.0,14.0,0
2023-12-29,14.0,14.0,14.0,14.0,0
2024-01-02,14.0,14.0,14.0,14.0,0
2024-01-03,14.0,14.0,14.0,14.0,0
2024-01-04,14.0,14.0,14.0,14.0,0
2024-01-05,14.0,14.0,14.0,14.0,0
2024-01-08,14.0,14.0,14.0,14.0,0
2024-01-09,14.0,14.2,14.2,14.0,10
2024-01-10,14.0,14.0,14.0,14.0,0
2024-01-11,14.0,14.2,14.2,14.0,1
2024-01-12,14.0,14.2,14.2,14.2,202
2024-01-15,14.2,14.2,14.2,14.2,1
2024-01-16,14.2,14.2,14.2,14.2,0
2024-01-17,14.2,14.2,14.2,14.2,2
2024-01-18,14.2,14.2,14.2,14.2,25
2024-01-19,14.2,14.2,14.2,14.2,0
2024-01-22,14.2,14.2,14.2,14.2,0
2024-01-23,14.2,14.2,14.2,14.2,15
2024-01-24,14.2,14.2,14.2,14.2,0
2024-01-25,14.2,14.2,14.2,14.2,0
2024-01-26,14.2,14.2,14.2,14.2,3260
2024-01-29,14.2,14.2,14.2,14.2,0
2024-01-30,14.2,14.2,14.2,14.2,0
2024-01-31,14.2,14.2,14.2,14.2,0
2024-02-01,14.2,14.2,14.2,14.2,20
2024-02-02,14.2,14.2,14.2,14.2,0
2024-02-05,14.2,14.2,14.2,14.2,0
2024-02-06,14.2,14.2,14.2,14.2,0
2024-02-07,14.2,14.2,14.2,14.2,34
2024-02-08,14.2,14.2,14.2,14.2,0
2024-02-09,14.2,14.2,14.2,14.2,5
2024-02-14,14.2,14.2,14.2,14.2,0
2024-02-15,14.2,14.2,14.2,14.2,0
2024-02-16,14.2,14.1,14.1,14.2,8
2024-02-19,14.2,12.0,12.0,12.0,50
2024-02-20,12.0,12.0,12.0,12.0,150
2024-02-21,12.0,14.0,14.0,12.0,2
2024-02-22,12.0,12.0,12.0,12.0,0
