Date,Precio_Inicio,Alto,Bajo,Precio_Cierre
2026-03-16,0.01,70.6,70.6,70.6
2026-03-17,70.6,100.72,80.02,100.72
2026-03-18,70.6,175.0,84.72,175.0
2026-03-20,175.0,359.85,210.0,359.85
2026-03-23,359.85,460.0,428.0,460.0
2026-03-24,460.0,540.0,435.0,435.0
2026-03-25,435.0,460.0,372.6,390.0
2026-03-26,390.0,433.99,379.0,390.0
2026-03-27,390.0,429.0,316.0,316.0
2026-03-30,316.0,370.0,316.0,350.0
2026-03-31,350.0,390.0,300.0,349.99
2026-04-01,349.99,399.99,348.99,350.0
2026-04-06,350.0,400.0,350.0,360.0
2026-04-07,360.0,399.0,350.0,360.0
2026-04-08,360.0,398.99,291.0,360.0
2026-04-09,360.0,328.0,290.0,290.0
2026-04-10,290.0,285.0,240.0,259.99
2026-04-14,259.99,309.0,210.0,210.0
