Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,14.8,14.8,14.8,14.8,0
2023-03-08,14.8,14.8,14.8,14.8,0
2023-03-09,14.8,14.8,14.8,14.8,62438
2023-03-10,14.8,14.8,14.8,14.8,12
2023-03-13,14.8,14.8,14.8,14.8,2
2023-03-14,14.8,14.8,14.8,14.8,0
2023-03-15,14.8,14.8,14.8,14.8,8
2023-03-16,14.8,14.8,14.8,14.8,0
2023-03-17,14.8,14.8,14.8,14.8,0
2023-03-20,14.8,14.8,14.8,14.8,0
2023-03-21,14.8,14.8,14.8,14.8,0
2023-03-22,14.8,14.8,14.8,14.8,0
2023-03-23,14.8,14.8,14.8,14.8,0
2023-03-24,14.8,14.8,14.8,14.8,0
2023-03-27,13.9,13.9,13.9,13.9,100
2023-03-28,13.9,13.9,13.9,13.9,0
2023-03-29,13.9,13.9,13.9,13.9,8
2023-03-30,14.6,14.6,14.6,14.6,10359
2023-03-31,14.6,14.6,14.6,14.6,3451
2023-04-03,14.6,14.6,14.6,14.6,0
2023-04-04,14.6,14.6,14.6,14.6,0
2023-04-05,14.6,14.6,14.6,14.6,0
2023-04-10,14.6,14.6,14.6,14.6,0
2023-04-11,14.6,14.6,14.6,14.6,0
2023-04-12,14.6,14.6,14.6,14.6,0
2023-04-13,14.6,14.6,14.6,14.6,0
2023-04-14,14.6,14.6,14.6,14.6,0
2023-04-17,14.6,14.6,14.6,14.6,0
2023-04-18,14.6,14.6,14.6,14.6,0
2023-04-20,14.6,14.6,14.6,14.6,0
2023-04-21,14.6,14.6,14.6,14.6,0
2023-04-24,14.6,14.6,14.6,14.6,0
2023-04-25,14.6,14.6,14.6,14.6,0
2023-04-26,14.6,14.6,14.6,14.6,0
2023-04-27,15.4,15.4,15.4,15.4,44843
2023-04-28,15.4,15.4,15.4,15.4,13557
2023-05-02,15.4,15.4,15.4,15.4,10
2023-05-03,14.6,14.6,14.6,14.6,3
2023-05-04,14.6,14.6,14.6,14.6,0
2023-05-05,14.6,14.6,14.6,14.6,62438
2023-05-08,14.6,14.6,14.6,14.6,0
2023-05-09,14.6,14.6,14.6,14.6,0
2023-05-10,14.6,14.6,14.6,14.6,16
2023-05-11,14.6,14.6,14.6,14.6,0
2023-05-12,14.6,14.6,14.6,14.6,0
2023-05-15,14.6,14.6,14.6,14.6,0
2023-05-16,14.0,14.0,14.0,14.0,2
2023-05-17,14.0,14.0,14.0,14.0,2
2023-05-18,14.0,14.0,14.0,14.0,32
2023-05-19,14.0,14.0,14.0,14.0,0
2023-05-23,14.0,14.0,14.0,14.0,0
2023-05-24,14.0,14.0,14.0,14.0,0
2023-05-25,14.0,14.0,14.0,14.0,1
2023-05-26,14.0,14.0,14.0,14.0,151
2023-05-29,14.0,14.0,14.0,14.0,0
2023-05-30,14.0,14.0,14.0,14.0,25001
2023-05-31,14.0,14.0,14.0,14.0,0
2023-06-01,14.0,14.0,14.0,14.0,218
2023-06-02,14.0,14.0,14.0,14.0,0
2023-06-05,14.0,14.0,14.0,14.0,0
2023-06-06,14.0,14.0,14.0,14.0,0
2023-06-07,14.0,14.0,14.0,14.0,0
2023-06-08,14.0,14.0,14.0,14.0,0
2023-06-09,14.0,14.0,14.0,14.0,0
2023-06-13,14.0,14.0,14.0,14.0,0
2023-06-14,11.2,11.2,11.2,11.2,184
2023-06-15,12.0,12.0,12.0,12.0,224
2023-06-16,12.0,12.0,12.0,12.0,0
2023-06-20,12.0,12.0,12.0,12.0,0
2023-06-21,12.0,12.0,12.0,12.0,130
2023-06-22,12.0,12.0,12.0,12.0,0
2023-06-23,14.4,14.4,14.4,14.4,104
2023-06-26,11.5,11.5,11.5,11.5,90
2023-06-27,13.8,13.8,13.8,13.8,200
2023-06-28,15.0,15.0,15.0,15.0,150
2023-06-29,17.8,17.8,17.8,17.8,15065
2023-06-30,17.8,17.8,17.8,17.8,30
2023-07-04,17.8,17.8,17.8,17.8,21
2023-07-06,17.8,17.8,17.8,17.8,0
2023-07-07,17.0,17.0,17.0,17.0,8
2023-07-10,17.5,17.5,17.5,17.5,16
2023-07-11,17.5,17.5,17.5,17.5,0
2023-07-12,17.5,17.5,17.5,17.5,0
2023-07-13,17.0,17.0,17.0,17.0,10
2023-07-14,17.0,17.0,17.0,17.0,62438
2023-07-17,17.0,17.0,17.0,17.0,40
2023-07-18,17.0,17.0,17.0,17.0,10
2023-07-19,17.0,17.0,17.0,17.0,11
2023-07-20,16.8,16.8,16.8,16.8,1
2023-07-21,16.8,16.8,16.8,16.8,1
2023-07-25,16.8,16.8,16.8,16.8,0
2023-07-26,16.8,16.8,16.8,16.8,0
2023-07-27,16.8,16.8,16.8,16.8,4706
2023-07-28,16.8,16.8,16.8,16.8,0
2023-07-31,16.8,16.8,16.8,16.8,5
2023-08-01,16.8,16.8,16.8,16.8,140
2023-08-02,16.8,16.8,16.8,16.8,0
2023-08-03,16.8,16.8,16.8,16.8,0
2023-08-04,17.0,17.0,17.0,17.0,47
2023-08-07,17.0,17.0,17.0,17.0,0
2023-08-08,17.0,17.0,17.0,17.0,0
2023-08-09,17.0,17.0,17.0,17.0,10
2023-08-10,17.0,17.0,17.0,17.0,140
2023-08-11,17.0,17.0,17.0,17.0,0
2023-08-15,17.0,17.0,17.0,17.0,0
2023-08-16,20.3,20.3,20.3,20.3,7
2023-08-17,20.0,20.0,20.0,20.0,1
2023-08-18,20.0,20.0,20.0,20.0,7
2023-08-21,20.0,20.0,20.0,20.0,63
2023-08-22,22.0,22.0,22.0,22.0,8
2023-08-23,22.0,22.0,22.0,22.0,5
2023-08-24,22.0,22.0,22.0,22.0,7
2023-08-25,22.0,22.0,22.0,22.0,0
2023-08-28,22.0,22.0,22.0,22.0,10
2023-08-29,22.0,22.0,22.0,22.0,0
2023-08-30,22.0,22.0,22.0,22.0,0
2023-08-31,22.0,22.0,22.0,22.0,0
2023-09-01,22.0,22.0,22.0,22.0,0
2023-09-04,22.0,22.0,22.0,22.0,37
2023-09-05,21.8,21.8,21.8,21.8,15
2023-09-06,21.8,21.8,21.8,21.8,0
2023-09-07,21.8,21.8,21.8,21.8,0
2023-09-08,21.8,21.8,21.8,21.8,0
2023-09-12,21.8,21.8,21.8,21.8,0
2023-09-13,21.8,21.8,21.8,21.8,0
2023-09-14,21.8,21.8,21.8,21.8,0
2023-09-15,21.8,21.8,21.8,21.8,3
2023-09-18,21.8,21.8,21.8,21.8,0
2023-09-19,21.8,21.8,21.8,21.8,120
2023-09-20,21.8,21.8,21.8,21.8,2
2023-09-21,21.8,21.8,21.8,21.8,0
2023-09-22,21.8,21.8,21.8,21.8,0
2023-09-25,21.8,21.8,21.8,21.8,0
2023-09-26,21.8,21.8,21.8,21.8,0
2023-09-27,21.8,21.8,21.8,21.8,1294
2023-09-28,21.8,21.8,21.8,21.8,4810
2023-09-29,21.8,21.8,21.8,21.8,1000
2023-10-02,21.8,21.8,21.8,21.8,418
2023-10-03,21.8,21.8,21.8,21.8,4007
2023-10-04,21.8,21.8,21.8,21.8,63
2023-10-05,21.8,21.8,21.8,21.8,18
2023-10-06,21.8,21.8,21.8,21.8,687
2023-10-09,21.8,21.8,21.8,21.8,0
2023-10-10,21.8,21.8,21.8,21.8,0
2023-10-11,14.1,14.1,14.1,14.1,35
2023-10-13,14.1,14.1,14.1,14.1,0
2023-10-16,16.9,16.9,16.9,16.9,45
2023-10-17,16.9,16.9,16.9,16.9,0
2023-10-18,20.0,20.0,20.0,20.0,23
2023-10-19,22.0,22.0,22.0,22.0,126
2023-10-20,25.0,25.0,25.0,25.0,7
2023-10-23,26.4,26.4,26.4,26.4,47
2023-10-24,27.0,27.0,27.0,27.0,20
2023-10-25,27.0,27.0,27.0,27.0,96
2023-10-26,27.0,27.0,27.0,27.0,62450
2023-10-27,27.0,27.0,27.0,27.0,0
2023-10-31,27.0,27.0,27.0,27.0,5000
2023-11-01,27.0,27.0,27.0,27.0,0
2023-11-02,27.0,27.0,27.0,27.0,0
2023-11-03,27.0,27.0,27.0,27.0,0
2023-11-07,27.0,27.0,27.0,27.0,0
2023-11-08,27.0,27.0,27.0,27.0,0
2023-11-09,27.0,27.0,27.0,27.0,0
2023-11-10,27.0,27.0,27.0,27.0,0
2023-11-13,32.0,32.0,32.0,32.0,1
2023-11-14,32.0,32.0,32.0,32.0,0
2023-11-15,32.0,32.0,32.0,32.0,0
2023-11-16,30.0,30.0,30.0,30.0,97
2023-11-17,29.9,29.9,29.9,29.9,12
2023-11-20,29.9,29.9,29.9,29.9,0
2023-11-21,29.9,29.9,29.9,29.9,0
2023-11-22,29.9,29.9,29.9,29.9,0
2023-11-23,29.9,29.9,29.9,29.9,0
2023-11-24,29.9,29.9,29.9,29.9,0
2023-11-27,30.0,30.0,30.0,30.0,1500
2023-11-28,30.0,30.0,30.0,30.0,0
2023-11-29,28.9,28.9,28.9,28.9,30
2023-11-30,28.9,28.9,28.9,28.9,0
2023-12-01,28.9,28.9,28.9,28.9,0
2023-12-04,28.9,28.9,28.9,28.9,0
2023-12-05,34.5,34.5,34.5,34.5,1
2023-12-06,29.0,29.0,29.0,29.0,182000
2023-12-07,29.0,29.0,29.0,29.0,20
2023-12-08,29.0,29.0,29.0,29.0,0
2023-12-12,29.0,29.0,29.0,29.0,0
2023-12-13,29.0,29.0,29.0,29.0,0
2023-12-14,29.0,29.0,29.0,29.0,0
2023-12-15,34.5,34.5,34.5,34.5,10
2023-12-18,29.0,29.0,29.0,29.0,18
2023-12-19,29.0,29.0,29.0,29.0,94
2023-12-20,29.0,29.0,29.0,29.0,0
2023-12-21,29.0,29.0,29.0,29.0,0
2023-12-22,29.0,29.0,29.0,29.0,16
2023-12-26,29.0,29.0,29.0,29.0,0
2023-12-27,29.0,29.0,29.0,29.0,20
2023-12-28,29.0,29.0,29.0,29.0,0
2023-12-29,29.0,29.0,29.0,29.0,1808
2024-01-02,29.0,29.0,29.0,29.0,0
2024-01-03,29.0,29.0,29.0,29.0,10
2024-01-04,29.0,29.0,29.0,29.0,0
2024-01-05,29.0,29.0,28.0,28.0,30
2024-01-08,28.0,28.0,28.0,28.0,0
2024-01-09,28.0,28.0,28.0,28.0,0
2024-01-10,28.0,28.0,28.0,28.0,2
2024-01-11,28.0,28.0,28.0,28.0,37
2024-01-12,28.0,28.0,28.0,28.0,100
2024-01-15,28.0,28.0,28.0,28.0,1
2024-01-16,28.0,28.0,28.0,28.0,0
2024-01-17,28.0,28.0,28.0,28.0,0
2024-01-18,28.0,28.0,28.0,28.0,0
2024-01-19,28.0,28.0,28.0,28.0,0
2024-01-22,28.0,28.0,28.0,28.0,0
2024-01-23,28.0,28.0,28.0,28.0,0
2024-01-24,28.0,28.0,28.0,28.0,3
2024-01-25,28.0,28.0,28.0,28.0,0
2024-01-26,28.0,28.0,28.0,28.0,62438
2024-01-29,28.0,28.0,28.0,28.0,0
2024-01-30,28.0,28.0,28.0,28.0,0
2024-01-31,28.0,28.0,28.0,28.0,0
2024-02-01,28.0,27.7,27.7,28.0,2
2024-02-02,28.0,27.7,27.7,28.0,10
2024-02-05,28.0,27.6,27.6,27.6,60
2024-02-06,27.6,27.6,27.6,27.6,0
2024-02-07,27.6,27.0,27.0,27.0,18
2024-02-08,27.0,27.0,27.0,27.0,40
2024-02-09,27.0,27.0,27.0,27.0,100
2024-02-14,27.0,27.0,27.0,27.0,0
2024-02-15,27.0,27.0,27.0,27.0,3
2024-02-16,27.0,26.9,26.9,26.9,50
2024-02-19,26.9,26.9,26.9,26.9,0
2024-02-20,26.9,25.0,25.0,25.0,30
2024-02-21,25.0,25.0,25.0,25.0,222
2024-02-22,25.0,25.0,24.0,25.0,40
2024-02-23,25.0,24.9,24.0,24.0,42
2024-02-26,24.0,24.9,21.0,24.0,542
2024-02-27,24.0,24.0,24.0,24.0,0
2024-02-28,24.0,24.9,24.9,24.0,2
2024-02-29,24.0,24.0,24.0,24.0,0
2024-03-01,24.0,24.0,24.0,24.0,0
2024-03-04,24.0,19.2,19.2,19.2,90
2024-03-05,19.2,21.0,21.0,19.2,5
2024-03-06,19.2,23.0,21.0,21.0,153
2024-03-07,21.0,25.0,25.0,21.0,11
2024-03-08,21.0,24.0,21.0,24.0,211
2024-03-11,24.0,24.0,24.0,24.0,0
2024-03-12,24.0,23.0,23.0,23.0,80
2024-03-13,23.0,23.0,23.0,23.0,3500
2024-03-14,23.0,23.2,23.2,23.2,69
2024-03-15,23.2,23.2,23.2,23.2,6300
2024-03-18,23.2,23.2,23.2,23.2,0
2024-03-20,23.2,23.2,23.2,23.2,0
2024-03-21,23.2,24.0,24.0,23.2,14
2024-03-22,23.2,23.2,23.2,23.2,3100
2024-03-25,23.2,24.0,19.5,23.2,11
2024-03-26,23.2,23.2,23.2,23.2,2621
2024-03-27,23.2,21.5,21.5,23.2,2632
2024-04-01,23.2,27.5,27.0,27.0,70
2024-04-02,27.0,27.0,27.0,27.0,0
2024-04-03,27.0,27.0,27.0,27.0,0
2024-04-04,27.0,26.0,26.0,26.0,18
2024-04-05,26.0,26.0,26.0,26.0,0
2024-04-09,26.0,26.0,26.0,26.0,0
2024-04-10,26.0,29.5,29.5,29.5,79
2024-04-11,29.5,29.0,29.0,29.5,79
2024-04-12,29.5,29.5,29.5,29.5,2847
2024-04-15,29.5,29.5,29.5,29.5,0
2024-04-16,29.5,29.5,29.5,29.5,23
2024-04-17,29.5,29.5,29.5,29.5,0
2024-04-18,29.5,29.5,29.5,29.5,2487
2024-04-22,29.5,29.5,29.5,29.5,0
2024-04-23,29.5,29.5,29.5,29.5,0
2024-04-24,29.5,28.9,24.0,24.0,730
2024-04-25,24.0,24.0,24.0,24.0,0
2024-04-26,24.0,28.8,28.8,28.8,50
2024-04-29,28.8,28.8,28.8,28.8,2530
2024-04-30,28.8,28.8,28.0,28.8,147
2024-05-02,28.8,28.8,28.5,28.5,71
2024-05-03,28.5,31.5,28.5,31.5,35
2024-05-06,31.5,31.5,31.5,31.5,7
2024-05-07,31.5,31.5,31.5,31.5,0
2024-05-08,31.5,29.9,29.9,31.5,3
2024-05-09,31.5,25.2,25.2,25.2,117
2024-05-10,25.2,25.2,25.2,25.2,0
2024-05-14,25.2,20.2,20.2,25.2,5
2024-05-15,25.2,28.5,28.5,25.2,10
2024-05-16,25.2,25.2,25.2,25.2,0
2024-05-17,25.2,28.5,22.0,22.0,62438
2024-05-20,22.0,22.0,22.0,22.0,0
2024-05-21,22.0,26.4,26.4,26.4,27
2024-05-22,26.4,23.0,23.0,23.0,30
2024-05-23,23.0,24.0,24.0,23.0,5
2024-05-24,23.0,26.4,26.4,26.4,42
2024-05-27,26.4,25.9,25.9,25.9,203
2024-05-28,25.9,25.9,25.9,25.9,0
2024-05-29,25.9,26.0,26.0,25.9,5
2024-05-30,25.9,26.0,26.0,25.9,11
2024-05-31,25.9,25.9,25.9,25.9,0
2024-06-04,25.9,25.9,25.9,25.9,50
2024-06-05,25.9,25.9,25.9,25.9,0
2024-06-06,25.9,25.9,25.9,25.9,0
2024-06-07,25.9,25.9,24.0,24.0,147
2024-06-10,24.0,28.6,25.0,28.6,74
2024-06-11,28.6,28.6,28.6,28.6,83
2024-06-12,28.6,28.6,28.6,28.6,0
2024-06-13,28.6,28.6,28.6,28.6,0
2024-06-14,28.6,28.6,28.6,28.6,83
2024-06-18,28.6,28.5,28.5,28.5,111
2024-06-19,28.5,28.5,28.5,28.5,0
2024-06-20,28.5,28.5,28.5,28.5,0
2024-06-21,28.5,28.5,28.5,28.5,0
2024-06-25,28.5,28.5,28.5,28.5,0
2024-06-26,28.5,27.0,27.0,27.0,30
2024-06-27,27.0,27.0,27.0,27.0,0
2024-06-28,27.0,27.0,27.0,27.0,10
2024-07-01,27.0,29.5,29.5,27.0,1
2024-07-02,27.0,27.0,27.0,27.0,0
2024-07-03,27.0,27.0,27.0,27.0,0
2024-07-04,27.0,27.0,27.0,27.0,53038
2024-07-08,27.0,28.0,27.2,27.2,411
2024-07-09,27.2,29.5,29.5,29.5,16
2024-07-10,29.5,29.5,29.5,29.5,289
2024-07-11,29.5,29.0,28.5,28.5,26
2024-07-12,28.5,28.0,28.0,28.5,1
2024-07-15,28.5,29.5,23.0,29.5,590
2024-07-16,29.5,29.5,29.5,29.5,0
2024-07-17,29.5,28.0,28.0,28.0,20
2024-07-18,28.0,28.0,28.0,28.0,0
2024-07-19,28.0,28.0,24.0,24.0,3150
2024-07-22,24.0,24.0,24.0,24.0,0
2024-07-23,24.0,24.0,24.0,24.0,0
2024-07-25,24.0,28.8,20.0,20.0,50
2024-07-26,20.0,24.0,21.0,24.0,2798
2024-07-29,24.0,24.0,24.0,24.0,0
2024-07-30,24.0,24.0,24.0,24.0,0
2024-07-31,24.0,28.7,27.0,27.0,148
2024-08-01,27.0,28.7,28.7,27.0,7
2024-08-02,27.0,27.0,27.0,27.0,132
2024-08-05,27.0,27.0,27.0,27.0,0
2024-08-06,27.0,32.0,28.0,28.0,151
2024-08-07,28.0,28.0,28.0,28.0,0
2024-08-08,28.0,25.0,25.0,25.0,380
2024-08-09,25.0,28.8,28.8,25.0,8
2024-08-12,25.0,25.0,25.0,25.0,0
2024-08-13,25.0,25.0,25.0,25.0,82
2024-08-14,25.0,25.0,25.0,25.0,39
2024-08-15,25.0,25.0,25.0,25.0,0
2024-08-16,25.0,25.0,25.0,25.0,0
2024-08-20,25.0,25.0,25.0,25.0,272
2024-08-21,25.0,25.0,25.0,25.0,0
2024-08-22,25.0,25.0,25.0,25.0,0
2024-08-23,25.0,25.0,25.0,25.0,0
2024-08-26,25.0,30.0,25.0,25.0,130
2024-08-27,25.0,25.0,25.0,25.0,0
2024-08-28,25.0,25.0,25.0,25.0,0
2024-08-29,25.0,25.0,25.0,25.0,0
2024-08-30,25.0,25.0,25.0,25.0,0
2024-09-02,25.0,25.0,25.0,25.0,0
2024-09-03,25.0,25.0,25.0,25.0,0
2024-09-04,25.0,26.0,26.0,26.0,88
2024-09-05,26.0,26.0,26.0,26.0,26
2024-09-06,26.0,26.0,26.0,26.0,0
2024-09-09,26.0,26.0,26.0,26.0,0
2024-09-10,26.0,26.0,26.0,26.0,26
2024-09-11,26.0,26.0,26.0,26.0,0
2024-09-12,26.0,26.0,26.0,26.0,0
2024-09-13,26.0,26.0,26.0,26.0,6
2024-09-17,26.0,26.0,26.0,26.0,5
2024-09-18,26.0,25.0,25.0,26.0,2
2024-09-19,26.0,26.0,26.0,26.0,0
2024-09-20,26.0,24.0,24.0,26.0,10
2024-09-23,26.0,25.0,25.0,26.0,3
2024-09-24,26.0,26.0,26.0,26.0,0
2024-09-25,26.0,25.0,25.0,25.0,38
2024-09-26,25.0,25.0,25.0,25.0,0
2024-09-27,25.0,25.0,25.0,25.0,0
2024-09-30,25.0,23.0,23.0,23.0,81
2024-10-01,23.0,23.0,23.0,23.0,30
2024-10-02,23.0,23.0,23.0,23.0,0
2024-10-03,23.0,22.9,22.9,23.0,41
2024-10-04,23.0,22.9,22.5,22.5,217
2024-10-07,22.5,22.5,22.5,22.5,0
2024-10-08,22.5,22.5,22.5,22.5,20
2024-10-09,22.5,22.5,22.5,22.5,46
2024-10-10,22.5,22.5,22.5,22.5,0
2024-10-11,22.5,21.0,21.0,21.0,200
2024-10-14,21.0,21.0,21.0,21.0,100
2024-10-15,21.0,21.0,21.0,21.0,1800
2024-10-16,21.0,21.0,21.0,21.0,168
2024-10-17,21.0,21.0,21.0,21.0,219
2024-10-18,21.0,21.0,21.0,21.0,47
2024-10-21,21.0,25.0,22.0,22.0,223
2024-10-22,22.0,23.0,23.0,22.0,44
2024-10-23,22.0,22.0,22.0,22.0,0
2024-10-24,22.0,22.0,22.0,22.0,0
2024-10-25,22.0,20.0,20.0,20.0,681
2024-10-28,20.0,20.0,20.0,20.0,170
2024-10-29,20.0,20.0,20.0,20.0,11
2024-10-30,20.0,19.0,19.0,20.0,5
2024-10-31,20.0,19.0,16.1,19.0,1176
2024-11-01,19.0,19.0,19.0,19.0,34
2024-11-05,19.0,20.0,20.0,19.0,38
2024-11-06,19.0,20.0,20.0,19.0,50
2024-11-07,19.0,19.0,19.0,19.0,20
2024-11-08,19.0,19.0,19.0,19.0,26
2024-11-11,19.0,19.9,19.9,19.0,10
2024-11-12,19.0,19.9,19.9,19.9,3625
2024-11-13,19.9,19.9,19.9,19.9,5
2024-11-14,19.9,19.9,19.6,19.6,120
2024-11-15,19.6,19.8,19.7,19.7,521
2024-11-19,19.7,19.5,19.5,19.7,22
2024-11-20,19.7,19.5,19.5,19.5,92
2024-11-21,19.5,19.5,19.5,19.5,56
2024-11-22,19.5,19.5,19.5,19.5,30
2024-11-25,19.5,19.5,19.5,19.5,103
2024-11-26,19.5,21.0,21.0,19.5,10830
