Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2022-12-29,0.7,0.7,0.7,0.7,0
2022-12-30,0.9,0.9,0.9,0.9,97
2023-01-02,0.9,0.9,0.9,0.9,0
2023-01-03,0.9,0.9,0.9,0.9,0
2023-01-04,0.9,0.9,0.9,0.9,0
2023-01-05,0.9,0.9,0.9,0.9,0
2023-01-06,0.9,0.9,0.9,0.9,0
2023-01-10,0.9,0.9,0.9,0.9,0
2023-01-11,0.9,0.9,0.9,0.9,0
2023-01-12,0.9,0.9,0.9,0.9,0
2023-01-13,0.9,0.9,0.9,0.9,0
2023-01-16,0.9,0.9,0.9,0.9,0
2023-01-17,0.9,0.9,0.9,0.9,0
2023-01-18,1.0,1.0,1.0,1.0,12
2023-01-19,1.0,1.0,1.0,1.0,0
2023-01-20,1.0,1.0,1.0,1.0,121
2023-01-23,1.2,1.2,1.2,1.2,218
2023-01-24,1.2,1.2,1.2,1.2,0
2023-01-25,1.2,1.2,1.2,1.2,0
2023-01-26,1.2,1.2,1.2,1.2,0
2023-01-27,1.2,1.2,1.2,1.2,49
2023-01-30,1.2,1.2,1.2,1.2,0
2023-01-31,1.2,1.2,1.2,1.2,59
2023-02-01,1.2,1.2,1.2,1.2,0
2023-02-02,1.2,1.2,1.2,1.2,0
2023-02-03,1.2,1.2,1.2,1.2,0
2023-02-06,1.3,1.3,1.3,1.3,7
2023-02-07,1.3,1.3,1.3,1.3,0
2023-02-08,1.3,1.3,1.3,1.3,0
2023-02-09,1.3,1.3,1.3,1.3,0
2023-02-10,1.3,1.3,1.3,1.3,9
2023-02-13,1.3,1.3,1.3,1.3,0
2023-02-14,1.6,1.6,1.6,1.6,23
2023-02-15,1.9,1.9,1.9,1.9,19
2023-02-16,1.9,1.9,1.9,1.9,0
2023-02-17,1.9,1.9,1.9,1.9,0
2023-02-22,1.9,1.9,1.9,1.9,0
2023-02-23,1.9,1.9,1.9,1.9,0
2023-02-24,1.9,1.9,1.9,1.9,0
2023-02-27,1.9,1.9,1.9,1.9,0
2023-02-28,1.9,1.9,1.9,1.9,0
2023-03-01,1.9,1.9,1.9,1.9,0
2023-03-02,1.9,1.9,1.9,1.9,0
2023-03-03,2.2,2.2,2.2,2.2,49
2023-03-06,2.2,2.2,2.2,2.2,0
2023-03-07,2.2,2.2,2.2,2.2,0
2023-03-08,2.2,2.2,2.2,2.2,0
2023-03-09,2.2,2.2,2.2,2.2,514
2023-03-10,2.2,2.2,2.2,2.2,0
2023-03-13,2.4,2.4,2.4,2.4,97
2023-03-14,2.5,2.5,2.5,2.5,57
2023-03-15,2.4,2.4,2.4,2.4,43
2023-03-16,2.4,2.4,2.4,2.4,0
2023-03-17,2.9,2.9,2.9,2.9,18
2023-03-20,3.3,3.3,3.3,3.3,60
2023-03-21,3.3,3.3,3.3,3.3,0
2023-03-22,3.3,3.3,3.3,3.3,0
2023-03-23,3.3,3.3,3.3,3.3,0
2023-03-24,3.3,3.3,3.3,3.3,0
2023-03-27,3.8,3.8,3.8,3.8,15
2023-03-28,3.8,3.8,3.8,3.8,0
2023-03-29,3.8,3.8,3.8,3.8,0
2023-03-30,3.8,3.8,3.8,3.8,291
2023-03-31,3.8,3.8,3.8,3.8,0
