Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2025-04-29,39.3,41.9,39.6,39.6,28844
2025-04-30,39.6,41.9,41.9,41.9,794
2025-05-02,41.8,41.9,41.8,41.8,112
2025-05-05,41.8,41.9,41.9,41.8,1175
2025-05-06,41.7,41.8,40.2,41.7,59
2025-05-07,41.7,41.2,41.2,41.2,8797922
2025-05-08,41.2,41.2,38.8,41.2,125
2025-05-09,41.2,38.8,38.8,38.8,100
2025-05-12,38.8,40.0,38.8,38.8,750
2025-05-13,38.8,39.2,38.8,38.8,335
2025-05-14,40.2,40.2,40.2,40.2,3940
2025-05-15,40.2,40.2,37.3,40.2,27761
2025-05-16,40.2,44.1,40.2,44.1,449
2025-05-19,44.1,52.5,52.5,44.1,8
2025-05-20,44.3,52.5,44.1,44.3,2976
2025-05-21,44.3,52.5,48.1,48.1,122
2025-05-22,48.1,56.9,55.9,48.1,15
2025-05-23,55.9,55.9,48.1,55.9,55
2025-05-26,56.9,58.9,55.9,56.9,56
2025-05-27,56.9,56.9,56.9,56.9,23
2025-05-28,56.9,56.9,54.4,54.4,195
2025-05-29,54.4,54.4,53.5,54.4,279
2025-05-30,54.9,54.9,53.9,54.9,120
2025-06-03,54.9,54.9,54.9,54.9,27163
2025-06-04,54.9,54.9,53.0,53.9,4300
2025-06-05,53.9,56.9,56.9,56.9,150
2025-06-06,56.9,58.9,56.9,56.9,1083780
2025-06-09,56.9,56.9,46.1,56.9,40004
2025-06-10,56.9,58.7,50.5,50.5,749
2025-06-11,50.5,54.9,54.9,54.9,168
2025-06-12,54.9,54.9,51.0,54.6,10515
2025-06-13,54.6,54.4,53.8,53.8,12518
2025-06-17,53.8,53.7,49.1,53.7,2500
2025-06-18,53.0,53.0,53.0,53.0,34246
2025-06-19,53.0,53.0,51.0,53.0,1456
2025-06-20,53.0,53.8,53.8,53.8,425
2025-06-25,52.0,58.9,51.3,52.0,2128
2025-06-26,50.5,52.5,50.5,50.5,1363
2025-06-27,56.9,56.9,56.9,56.9,128784
2025-06-30,56.9,56.4,56.4,56.4,5000
2025-07-01,56.4,56.4,56.3,56.3,157
2025-07-02,56.3,55.3,49.3,49.6,62
2025-07-03,49.6,53.0,49.5,49.5,208
2025-07-04,49.5,56.9,53.0,53.0,5
2025-07-07,53.0,53.5,53.5,53.0,33
2025-07-08,53.0,53.0,52.0,52.0,1074
2025-07-09,52.0,54.9,50.0,50.0,1280
