Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2026-01-08,600.0,720.0,720.0,720.0,3.0
2026-01-09,720.0,863.0,863.0,863.0,250.0
2026-01-13,863.0,863.0,863.0,863.0,220.0
2026-01-14,863.0,860.0,860.0,863.0,5.0
2026-01-15,863.0,863.0,863.0,863.0,24.0
2026-01-16,863.0,860.0,777.0,863.0,25.0
2026-01-20,863.0,815.0,800.0,863.0,23.0
2026-01-21,863.0,805.0,780.0,863.0,11.0
2026-01-22,863.0,860.0,780.0,863.0,75.0
2026-01-23,863.0,863.0,800.0,863.0,36.0
2026-01-27,863.0,800.0,780.0,863.0,188.0
2026-01-28,863.0,800.0,800.0,863.0,35.0
2026-01-29,863.0,800.0,798.0,863.0,23.0
2026-01-30,863.0,798.0,777.0,863.0,141.0
2026-02-02,863.0,798.0,798.0,863.0,159.0
2026-02-03,863.0,940.0,940.0,940.0,509.0
2026-02-04,940.0,1030.0,940.0,940.0,122.0
2026-02-05,940.0,1030.0,1025.0,940.0,169.0
2026-02-06,940.0,1031.0,950.0,1030.0,608.0
2026-02-09,1030.0,1120.0,845.0,1030.0,47.0
2026-02-10,1030.0,1150.0,826.0,1030.0,55.0
2026-02-11,1030.0,1200.0,1030.0,1030.0,35.0
2026-02-12,1030.0,1100.0,825.0,1030.0,129.0
2026-02-13,1030.0,1100.0,1080.0,1030.0,116.0
2026-02-18,1030.0,1099.0,825.0,1030.0,68.0
2026-02-19,1030.0,1030.0,1030.0,1030.0,23.0
2026-02-20,1030.0,1030.0,825.0,1029.0,177.0
2026-02-23,1029.0,1010.0,826.0,1029.0,117.0
2026-02-24,1029.0,1010.0,900.0,1029.0,114.0
2026-02-25,1029.0,995.0,990.0,1029.0,42.0
2026-02-26,1029.0,985.0,826.0,1029.0,32.0
2026-02-27,1029.0,979.0,826.0,1029.0,93.0
2026-03-02,1029.0,976.0,972.0,973.0,228.0
2026-03-03,973.0,975.0,900.0,900.0,762.0
2026-03-04,900.0,975.0,900.0,900.0,331.0
2026-03-05,900.0,970.0,900.0,900.0,110.0
2026-03-06,900.0,970.0,910.0,900.0,95.0
