Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2025-04-29,87.3,88.7,86.3,87.3,5
2025-04-30,87.3,86.0,79.4,85.2,143
2025-05-02,85.2,86.3,79.4,79.4,74
2025-05-05,79.4,88.7,84.3,79.4,72
2025-05-06,79.4,84.3,84.3,79.4,5
2025-05-07,79.4,84.3,79.4,79.4,120
2025-05-08,79.4,75.4,75.4,79.4,29
2025-05-09,79.4,75.4,75.4,75.4,219
2025-05-12,75.4,89.3,74.4,79.4,559
2025-05-13,79.4,79.4,79.4,79.4,18
2025-05-14,79.4,79.4,79.4,79.4,0
2025-05-15,79.4,79.4,74.6,79.4,123
2025-05-16,79.4,79.4,78.4,79.4,279
2025-05-19,79.4,79.4,79.4,79.4,234
2025-05-20,79.4,83.3,83.3,83.3,57
2025-05-21,83.3,84.2,79.4,79.4,1278
2025-05-22,79.4,79.4,79.4,79.4,0
2025-05-23,79.4,84.2,84.2,84.2,28
2025-05-26,84.2,83.8,76.4,84.2,28
2025-05-27,84.2,84.2,84.2,84.2,0
2025-05-28,84.2,84.2,84.2,84.2,20
2025-05-29,84.2,84.2,84.2,84.2,0
2025-05-30,84.2,84.3,84.2,84.3,116
2025-06-03,84.3,84.8,84.8,84.8,43
2025-06-04,84.8,84.8,79.4,79.4,161
2025-06-05,79.4,88.3,84.8,87.3,65
2025-06-06,87.3,87.3,87.3,87.3,12
2025-06-09,87.3,89.2,84.3,89.2,45
2025-06-10,89.2,89.0,88.8,89.2,159
2025-06-11,89.2,89.2,88.8,89.2,90
2025-06-12,89.2,89.2,74.4,89.2,29
2025-06-13,89.2,89.2,89.2,89.2,10
2025-06-17,89.2,89.2,74.4,74.4,75
2025-06-18,88.3,89.3,79.5,88.3,2090
2025-06-19,88.3,98.2,74.4,79.4,3378
2025-06-20,79.4,89.2,89.2,79.4,100
2025-06-25,79.4,79.4,79.4,79.4,374
2025-06-26,79.4,86.2,77.9,77.9,1201
2025-06-27,77.9,84.3,78.4,84.3,34
2025-06-30,84.3,84.3,77.5,84.3,177
2025-07-01,84.3,84.3,84.3,84.3,75
2025-07-02,84.3,84.3,84.3,84.3,25
2025-07-03,84.3,89.2,89.2,84.3,6
2025-07-04,84.3,84.3,79.4,84.3,94
2025-07-07,84.3,93.3,89.3,84.3,13
2025-07-08,84.3,84.3,84.3,84.3,375
2025-07-09,84.3,84.3,84.3,84.3,750
2025-07-10,84.3,84.3,84.3,84.3,800
2025-07-11,84.3,84.3,84.3,84.3,1823
2025-07-14,84.3,77.4,77.4,84.3,1
2025-07-15,84.3,94.3,93.0,94.3,25
2025-07-16,94.3,89.2,84.3,94.3,200
2025-07-17,94.3,94.3,89.2,94.3,495
2025-07-18,94.3,99.2,89.3,89.3,710
2025-07-21,89.3,99.2,89.3,89.3,200
2025-07-22,89.3,94.3,85.3,94.3,57
2025-07-23,94.3,98.2,98.2,98.2,98
2025-07-25,98.2,108.1,108.1,108.1,40
2025-07-28,108.1,129.0,109.1,109.1,154
2025-07-29,109.1,129.0,129.0,109.1,36
2025-07-30,109.1,116.1,116.0,116.0,157
2025-07-31,116.0,116.0,116.0,116.0,0
2025-08-01,116.0,124.0,116.1,124.0,181
2025-08-04,124.0,133.8,132.9,124.0,26
2025-08-05,124.0,133.9,124.0,124.0,146
2025-08-06,124.0,133.9,133.4,133.4,305
2025-08-07,133.4,133.9,133.9,133.9,232
2025-08-08,133.9,158.7,133.9,133.9,104
2025-08-11,133.9,153.8,153.8,153.8,44
2025-08-12,173.6,183.5,140.9,173.6,80
2025-08-13,173.6,173.6,173.6,173.6,20
2025-08-14,173.6,198.4,176.6,173.6,17
2025-08-15,173.6,198.4,178.6,178.6,340
2025-08-19,178.6,198.4,196.3,198.4,31
2025-08-20,198.4,222.2,222.2,198.4,5
2025-08-21,198.4,233.2,233.2,233.2,34
2025-08-22,233.2,237.1,237.1,237.1,30
2025-08-25,237.1,271.8,271.8,271.8,28
2025-08-26,271.8,272.8,266.9,266.9,101
2025-08-27,266.9,272.8,220.3,272.8,31
2025-08-28,272.8,272.8,272.8,272.8,105
2025-08-29,272.8,272.8,272.8,272.8,10
2025-09-01,272.8,297.6,272.8,272.8,6
2025-09-02,272.8,327.4,297.6,317.5,504
2025-09-03,317.5,327.3,315.5,327.3,216
2025-09-04,327.3,327.4,327.4,327.4,340
2025-09-05,327.4,382.0,327.4,382.0,74
2025-09-08,382.0,382.0,377.0,377.0,361
2025-09-09,377.0,386.9,376.8,380.0,366
2025-09-10,380.0,380.0,380.0,380.0,4151
2025-09-11,380.0,372.0,371.9,372.0,185
2025-09-12,372.0,367.0,328.4,372.0,10
2025-09-16,372.0,391.9,305.1,372.0,37
2025-09-17,372.0,389.9,384.0,372.0,35
2025-09-18,372.0,361.1,357.2,357.2,74
2025-09-19,357.2,361.0,357.2,357.2,8
2025-09-22,357.2,426.6,426.6,357.2,5
2025-09-23,357.2,424.6,357.2,357.2,171
2025-09-24,357.2,396.9,396.9,357.2,10
2025-09-25,357.2,396.9,394.9,357.2,8
2025-09-26,357.2,394.9,394.9,357.2,10
2025-09-29,357.2,391.9,386.9,357.2,7
2025-09-30,272.8,297.6,272.8,272.8,6
2025-10-01,357.2,396.9,342.3,342.3,225
2025-10-02,342.3,342.3,342.3,342.3,4
2025-10-03,342.3,343.3,343.3,342.3,17
2025-10-06,342.3,396.9,396.9,342.3,15
2025-10-07,342.3,342.3,336.3,342.3,15
2025-10-08,342.3,382.0,382.0,342.3,3
2025-10-09,342.3,406.8,342.3,342.3,134
2025-10-10,342.3,342.3,342.3,342.3,83
2025-10-13,342.3,342.3,297.6,342.3,14
2025-10-14,342.3,406.8,342.3,377.0,111
2025-10-15,377.0,391.9,302.6,357.2,65
2025-10-16,357.2,386.9,357.2,357.2,29
2025-10-17,357.2,303.6,303.6,357.2,3751
2025-10-21,357.2,358.2,347.2,347.2,322
2025-10-22,347.2,367.1,367.1,347.2,8
2025-10-23,347.2,347.2,347.2,347.2,16
2025-10-24,347.2,391.9,367.1,347.2,1
2025-10-27,347.2,347.2,347.2,347.2,18
2025-10-28,347.2,382.0,327.4,347.2,39
2025-10-29,347.2,347.2,347.2,347.2,0
2025-10-30,347.2,377.0,347.2,347.2,33
2025-10-31,347.2,377.0,361.1,362.1,96
2025-11-03,362.1,396.9,357.2,357.2,66
2025-11-04,357.2,396.9,285.7,357.2,30
2025-11-05,357.2,396.9,386.9,386.9,5
2025-11-06,386.9,386.9,352.2,361.1,63
2025-11-07,361.1,386.9,347.2,347.2,119
2025-11-10,347.2,372.1,298.6,346.3,282
2025-11-11,346.3,386.9,347.2,346.3,12
2025-11-12,346.3,386.9,347.2,347.2,835
2025-11-13,347.2,386.9,347.2,347.2,41
2025-11-14,347.2,386.9,377.0,377.0,154
2025-11-17,377.0,377.0,377.0,377.0,59
2025-11-18,377.0,471.3,452.4,466.3,68
2025-11-19,466.3,471.3,377.0,461.3,103
2025-11-20,461.3,471.3,466.3,461.3,4
2025-11-21,461.3,461.3,369.1,440.5,43
2025-11-25,440.5,440.5,432.6,436.5,39
2025-11-26,436.5,436.5,425.6,436.5,29
2025-11-27,436.5,436.5,436.5,436.5,0
2025-11-28,436.5,416.7,416.7,436.5,30
2025-12-01,436.5,425.6,349.2,349.2,89
2025-12-02,349.2,396.9,282.8,349.2,46
2025-12-03,349.2,395.9,297.6,349.2,50
2025-12-04,349.2,396.9,347.2,347.2,76
2025-12-05,347.2,396.8,395.9,347.2,11
2025-12-09,347.2,347.2,302.6,347.2,16
2025-12-10,350.0,345.0,306.0,350.0,25
2025-12-11,350.0,340.0,306.0,350.0,24
2025-12-12,347.2,399.0,340.0,399.0,164
2025-12-15,399.0,399.0,320.0,320.0,97
2025-12-16,320.0,382.0,380.0,382.0,93
2025-12-17,382.0,374.0,326.0,382.0,31
