Date,Precio_Inicio,Alto,Bajo,Precio_Cierre
2026-03-09,530.0,524.9,510.0,530.0
2026-03-10,530.0,524.45,465.0,510.0
2026-03-11,510.0,524.45,485.02,510.0
2026-03-12,510.0,524.45,486.0,500.0
2026-03-13,500.0,522.95,500.0,500.0
2026-03-16,500.0,500.0,490.0,490.0
2026-03-17,490.0,515.0,490.0,495.0
2026-03-18,495.0,508.55,436.0,495.0
2026-03-20,495.0,490.0,489.99,490.0
2026-03-23,490.0,560.0,430.0,490.0
2026-03-24,490.0,559.9,519.95,490.0
2026-03-25,490.0,548.95,435.0,490.0
2026-03-26,490.0,489.99,435.0,490.0
2026-03-27,490.0,489.99,440.0,490.0
