Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,1.3,1.3,1.3,1.3,2120
2023-03-08,1.4,1.4,1.4,1.4,436
2023-03-09,1.4,1.4,1.4,1.4,0
2023-03-10,1.4,1.4,1.4,1.4,1682
2023-03-13,1.4,1.4,1.4,1.4,2283
2023-03-14,1.2,1.2,1.2,1.2,2808
2023-03-15,1.2,1.2,1.2,1.2,0
2023-03-16,1.3,1.3,1.3,1.3,106
2023-03-17,1.3,1.3,1.3,1.3,0
2023-03-20,1.4,1.4,1.4,1.4,1884
2023-03-21,1.4,1.4,1.4,1.4,35
2023-03-22,1.4,1.4,1.4,1.4,53
2023-03-23,1.4,1.4,1.4,1.4,0
2023-03-24,1.4,1.4,1.4,1.4,10
2023-03-27,1.4,1.4,1.4,1.4,468
2023-03-28,1.4,1.4,1.4,1.4,10
2023-03-29,1.3,1.3,1.3,1.3,551
2023-03-30,1.3,1.3,1.3,1.3,24
2023-03-31,1.2,1.2,1.2,1.2,1106
2023-04-03,1.3,1.3,1.3,1.3,1661
2023-04-04,1.3,1.3,1.3,1.3,417
2023-04-05,1.4,1.4,1.4,1.4,203
2023-04-10,1.4,1.4,1.4,1.4,263
2023-04-11,1.4,1.4,1.4,1.4,1794
2023-04-12,1.4,1.4,1.4,1.4,60
2023-04-13,1.3,1.3,1.3,1.3,520
2023-04-14,1.3,1.3,1.3,1.3,828
2023-04-17,1.3,1.3,1.3,1.3,11000835
2023-04-18,1.2,1.2,1.2,1.2,4226
2023-04-20,1.3,1.3,1.3,1.3,402
2023-04-21,1.3,1.3,1.3,1.3,27984
2023-04-24,1.3,1.3,1.3,1.3,9105
2023-04-25,1.3,1.3,1.3,1.3,35486
2023-04-26,1.3,1.3,1.3,1.3,89327
2023-04-27,1.3,1.3,1.3,1.3,5
2023-04-28,1.3,1.3,1.3,1.3,150
2023-05-02,1.3,1.3,1.3,1.3,0
2023-05-03,1.3,1.3,1.3,1.3,1205
2023-05-04,1.4,1.4,1.4,1.4,95
2023-05-05,1.4,1.4,1.4,1.4,0
2023-05-08,1.4,1.4,1.4,1.4,7301
2023-05-09,1.4,1.4,1.4,1.4,68
2023-05-10,1.4,1.4,1.4,1.4,10000
2023-05-11,1.5,1.5,1.5,1.5,270
2023-05-12,1.5,1.5,1.5,1.5,5100
2023-05-15,1.5,1.5,1.5,1.5,240
2023-05-16,1.5,1.5,1.5,1.5,4569
2023-05-17,1.4,1.4,1.4,1.4,275
2023-05-18,1.4,1.4,1.4,1.4,174
2023-05-19,1.4,1.4,1.4,1.4,930
2023-05-23,1.4,1.4,1.4,1.4,488
2023-05-24,1.2,1.2,1.2,1.2,2500
2023-05-25,1.3,1.3,1.3,1.3,680
2023-05-26,1.3,1.3,1.3,1.3,970
2023-05-29,1.4,1.4,1.4,1.4,10
2023-05-30,1.4,1.4,1.4,1.4,205
2023-05-31,1.4,1.4,1.4,1.4,78
2023-06-01,1.4,1.4,1.4,1.4,100
2023-06-02,1.4,1.4,1.4,1.4,246
2023-06-05,1.4,1.4,1.4,1.4,281
2023-06-06,1.4,1.4,1.4,1.4,110
2023-06-07,1.3,1.3,1.3,1.3,1700
2023-06-08,1.4,1.4,1.4,1.4,5294
2023-06-13,1.4,1.4,1.4,1.4,25
2023-06-14,1.4,1.4,1.4,1.4,15
2023-06-15,1.4,1.4,1.4,1.4,120
2023-06-16,1.4,1.4,1.4,1.4,110
2023-06-20,1.4,1.4,1.4,1.4,26286
2023-06-21,1.4,1.4,1.4,1.4,45
2023-06-22,1.4,1.4,1.4,1.4,0
2023-06-23,1.4,1.4,1.4,1.4,15730
2023-06-26,1.3,1.3,1.3,1.3,15603
2023-06-27,1.3,1.3,1.3,1.3,17420
2023-06-28,1.3,1.3,1.3,1.3,48043
2023-06-29,1.4,1.4,1.4,1.4,15
2023-06-30,1.4,1.4,1.4,1.4,1908
2023-07-04,1.4,1.4,1.4,1.4,94
2023-07-06,1.4,1.4,1.4,1.4,143
2023-07-07,1.4,1.4,1.4,1.4,0
2023-07-10,1.4,1.4,1.4,1.4,500
2023-07-11,1.4,1.4,1.4,1.4,13
2023-07-12,1.4,1.4,1.4,1.4,0
2023-07-13,1.4,1.4,1.4,1.4,403
2023-07-14,1.4,1.4,1.4,1.4,0
2023-07-17,1.4,1.4,1.4,1.4,0
2023-07-18,1.4,1.4,1.4,1.4,0
2023-07-19,1.4,1.4,1.4,1.4,10
2023-07-20,1.4,1.4,1.4,1.4,0
2023-07-21,1.4,1.4,1.4,1.4,10
2023-07-25,1.4,1.4,1.4,1.4,0
2023-07-26,1.4,1.4,1.4,1.4,50
