Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2026-01-08,4000.0,4750.0,4379.0,4379.0,104.0
2026-01-09,4379.0,0.0,0.0,4379.0,105.0
2026-01-13,4379.0,4800.0,4500.0,4798.0,370.0
2026-01-14,4798.0,5277.0,4550.0,5000.0,248.0
2026-01-15,5000.0,5000.0,4550.0,4850.0,53.0
2026-01-16,4850.0,4900.0,4400.0,4500.0,88.0
2026-01-20,4500.0,4690.0,4200.0,4250.0,672.0
2026-01-21,4250.0,4590.0,3870.0,4250.0,118.0
2026-01-22,4250.0,4250.0,3870.0,3900.0,1611.0
2026-01-23,3900.0,4200.0,3850.0,3850.0,3443.0
2026-01-26,3850.0,4000.0,3900.0,4000.0,275.0
2026-01-27,4000.0,3998.0,3680.5,3998.0,2224.0
2026-01-28,3998.0,4000.0,3600.0,4000.0,2148.0
2026-01-29,4000.0,4300.0,4000.0,4300.0,82.0
2026-01-30,4300.0,4500.0,4000.0,4300.0,128.0
2026-02-02,4300.0,4300.0,4300.0,4300.0,108.0
2026-02-03,4300.0,4729.0,3950.0,4700.0,139.0
2026-02-04,4700.0,5100.0,4900.0,5000.0,1635.0
2026-02-05,5000.0,5400.0,5000.0,5400.0,1152.0
2026-02-06,5400.0,5900.0,5000.0,5900.0,247.0
2026-02-09,5900.0,6500.0,5900.0,6324.0,103.0
2026-02-10,6324.0,6200.0,5490.0,5600.0,754.0
2026-02-11,5600.0,6324.0,5060.0,5600.0,5657.0
2026-02-12,5600.0,6000.0,5620.0,5950.0,343.0
2026-02-13,5950.0,6500.0,6000.0,6450.0,190.0
2026-02-18,6450.0,7499.0,6500.0,7000.0,197.0
2026-02-19,7000.0,7500.0,6790.0,6790.0,408.0
2026-02-20,6790.0,7500.0,6790.0,6996.0,405.0
2026-02-23,6996.0,7500.0,6000.0,6300.0,1068.0
2026-02-24,6300.0,7497.0,6300.0,7350.0,395.0
2026-02-25,7350.0,8500.0,7000.0,7299.0,460.0
2026-02-26,7299.0,8499.0,7100.0,7200.0,1416.0
2026-02-27,7200.0,7299.0,7100.0,7200.0,133.0
2026-03-02,7200.0,8500.0,7250.0,7500.0,59.0
2026-03-03,7500.0,8900.0,6001.0,7500.0,804.0
2026-03-04,7500.0,8500.0,7300.0,7300.0,214.0
2026-03-05,7300.0,8000.0,7000.0,7000.0,363.0
2026-03-06,7000.0,7400.0,6550.0,7400.0,139.0
2026-03-09,7400.0,8000.0,7400.0,7500.0
2026-03-10,7500.0,7988.0,7200.0,7400.0
2026-03-11,7400.0,8800.0,6500.0,7500.0
2026-03-12,7500.0,8000.0,7500.0,7800.0
2026-03-13,7800.0,9000.0,7800.0,7800.0
2026-03-16,7800.0,9359.0,7800.0,8450.0
2026-03-17,8450.0,8700.0,6800.0,8700.0
2026-03-18,8700.0,9900.0,8200.0,9500.0
2026-03-20,9500.0,11399.0,9100.0,9100.0
2026-03-23,9100.0,9100.0,7439.0,9049.0
2026-03-24,9049.0,9200.0,8600.0,8600.0
2026-03-25,8600.0,9044.99,7100.0,8700.0
2026-03-26,8700.0,8900.0,8000.0,8550.0
2026-03-27,8550.0,8500.0,7900.0,8400.0
2026-03-30,8400.0,8998.99,8000.0,8400.0
2026-03-31,8400.0,8400.0,8199.99,8200.0
2026-04-01,8200.0,8198.0,7500.0,7600.0
2026-04-06,7600.0,7999.0,6500.0,6500.0
2026-04-07,6500.0,7500.0,6500.0,6850.0
2026-04-08,6850.0,6900.0,6750.0,6800.0
