Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,37.9,37.9,37.9,37.9,73
2023-03-08,37.9,37.9,37.9,37.9,220
2023-03-09,37.9,37.9,37.9,37.9,3600
2023-03-10,37.9,37.9,37.9,37.9,441
2023-03-13,39.9,39.9,39.9,39.9,12650
2023-03-14,39.9,39.9,39.9,39.9,310
2023-03-15,37.9,37.9,37.9,37.9,1082
2023-03-16,38.9,38.9,38.9,38.9,2
2023-03-17,35.0,35.0,35.0,35.0,805
2023-03-20,39.9,39.9,39.9,39.9,105
2023-03-21,39.9,39.9,39.9,39.9,1080
2023-03-22,38.9,38.9,38.9,38.9,2
2023-03-23,38.9,38.9,38.9,38.9,10
2023-03-24,38.9,38.9,38.9,38.9,2
2023-03-27,38.9,38.9,38.9,38.9,0
2023-03-28,38.9,38.9,38.9,38.9,45
2023-03-29,38.8,38.8,38.8,38.8,12
2023-03-30,38.8,38.8,38.8,38.8,0
2023-03-31,38.8,38.8,38.8,38.8,103
2023-04-03,38.3,38.3,38.3,38.3,210
2023-04-04,38.3,38.3,38.3,38.3,10
2023-04-05,41.9,41.9,41.9,41.9,3
2023-04-10,41.9,41.9,41.9,41.9,0
2023-04-11,41.9,41.9,41.9,41.9,3
2023-04-12,41.9,41.9,41.9,41.9,0
2023-04-13,41.9,41.9,41.9,41.9,123
2023-04-14,41.9,41.9,41.9,41.9,21
2023-04-17,38.8,38.8,38.8,38.8,65
2023-04-18,38.8,38.8,38.8,38.8,8032
2023-04-20,38.0,38.0,38.0,38.0,390
2023-04-21,41.0,41.0,41.0,41.0,500
2023-04-24,41.5,41.5,41.5,41.5,10
2023-04-25,42.0,42.0,42.0,42.0,240
2023-04-26,44.9,44.9,44.9,44.9,5
2023-04-27,44.9,44.9,44.9,44.9,112
2023-04-28,44.9,44.9,44.9,44.9,23
2023-05-02,44.9,44.9,44.9,44.9,112
2023-05-03,44.9,44.9,44.9,44.9,227
2023-05-04,44.9,44.9,44.9,44.9,0
2023-05-05,44.9,44.9,44.9,44.9,177
2023-05-08,49.9,49.9,49.9,49.9,179
2023-05-09,49.9,49.9,49.9,49.9,8
2023-05-10,49.9,49.9,49.9,49.9,575
2023-05-11,49.9,49.9,49.9,49.9,5
2023-05-12,48.9,48.9,48.9,48.9,111
2023-05-15,48.9,48.9,48.9,48.9,136
2023-05-16,47.9,47.9,47.9,47.9,6
2023-05-17,47.9,47.9,47.9,47.9,0
2023-05-18,46.9,46.9,46.9,46.9,247
2023-05-19,44.9,44.9,44.9,44.9,163
2023-05-23,47.4,47.4,47.4,47.4,65
2023-05-24,47.4,47.4,47.4,47.4,1037
2023-05-25,46.9,46.9,46.9,46.9,13
