Date,Precio_Inicio,Alto,Bajo,Precio_Cierre
2026-03-09,294.0,300.0,265.0,297.5
2026-03-10,297.5,297.5,270.0,270.0
2026-03-11,270.0,309.0,270.03,300.0
2026-03-12,300.0,350.0,300.0,344.0
2026-03-13,344.0,343.0,310.0,339.5
2026-03-16,339.5,385.0,315.0,339.5
2026-03-17,339.5,339.5,274.6,338.0
2026-03-18,338.0,337.0,335.0,335.8
2026-03-20,335.8,334.5,316.0,334.0
2026-03-23,334.0,385.0,333.97,340.0
2026-03-24,340.0,375.0,319.0,325.0
2026-03-25,325.0,350.0,261.0,275.0
2026-03-26,275.0,329.0,261.0,319.0
2026-03-27,319.0,314.5,260.0,299.8
2026-03-30,299.8,359.0,299.8,350.0
