Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,0.6,0.6,0.6,0.6,150
2023-03-08,0.6,0.6,0.6,0.6,0
2023-03-09,0.6,0.6,0.6,0.6,59980
2023-03-10,0.6,0.6,0.6,0.6,650
2023-03-13,0.6,0.6,0.6,0.6,20
2023-03-14,0.6,0.6,0.6,0.6,0
2023-03-15,0.6,0.6,0.6,0.6,640
2023-03-16,0.6,0.6,0.6,0.6,200
2023-03-17,0.6,0.6,0.6,0.6,10
2023-03-20,0.6,0.6,0.6,0.6,0
2023-03-21,0.6,0.6,0.6,0.6,0
2023-03-22,0.6,0.6,0.6,0.6,70
2023-03-23,0.6,0.6,0.6,0.6,80
2023-03-24,0.6,0.6,0.6,0.6,0
2023-03-27,0.6,0.6,0.6,0.6,3100
2023-03-28,0.6,0.6,0.6,0.6,140
2023-03-29,0.6,0.6,0.6,0.6,100
2023-03-30,0.6,0.6,0.6,0.6,430
2023-03-31,0.6,0.6,0.6,0.6,0
2023-04-03,0.6,0.6,0.6,0.6,320
2023-04-04,0.6,0.6,0.6,0.6,190
2023-04-05,0.6,0.6,0.6,0.6,240
2023-04-10,0.6,0.6,0.6,0.6,1000
2023-04-11,0.6,0.6,0.6,0.6,140
2023-04-12,0.6,0.6,0.6,0.6,0
2023-04-13,0.6,0.6,0.6,0.6,0
2023-04-14,0.6,0.6,0.6,0.6,0
2023-04-17,0.6,0.6,0.6,0.6,340
2023-04-18,0.5,0.5,0.5,0.5,1850
2023-04-20,0.5,0.5,0.5,0.5,1710
2023-04-21,0.5,0.5,0.5,0.5,0
2023-04-24,0.5,0.5,0.5,0.5,30
2023-04-25,0.5,0.5,0.5,0.5,4870
2023-04-26,0.5,0.5,0.5,0.5,9450
2023-04-27,0.5,0.5,0.5,0.5,8220
2023-04-28,0.5,0.5,0.5,0.5,400
2023-05-02,0.5,0.5,0.5,0.5,1000
2023-05-03,0.5,0.5,0.5,0.5,140
2023-05-04,0.5,0.5,0.5,0.5,880
2023-05-05,0.5,0.5,0.5,0.5,2370
2023-05-08,0.6,0.6,0.6,0.6,124560
2023-05-09,0.6,0.6,0.6,0.6,520680
2023-05-10,0.6,0.6,0.6,0.6,0
2023-05-11,0.6,0.6,0.6,0.6,2080
2023-05-12,0.6,0.6,0.6,0.6,430
2023-05-15,0.6,0.6,0.6,0.6,120
2023-05-16,0.6,0.6,0.6,0.6,360
2023-05-17,0.6,0.6,0.6,0.6,1240
2023-05-18,0.6,0.6,0.6,0.6,0
2023-05-19,0.6,0.6,0.6,0.6,140
2023-05-23,0.6,0.6,0.6,0.6,0
2023-05-24,0.5,0.5,0.5,0.5,5520
2023-05-25,0.5,0.5,0.5,0.5,11500
2023-05-26,0.5,0.5,0.5,0.5,9100
2023-05-29,0.6,0.6,0.6,0.6,270
2023-05-30,0.5,0.5,0.5,0.5,5660
2023-05-31,0.5,0.5,0.5,0.5,34470
2023-06-01,0.6,0.6,0.6,0.6,250
2023-06-02,0.6,0.6,0.6,0.6,4510
2023-06-05,0.6,0.6,0.6,0.6,100
2023-06-06,0.6,0.6,0.6,0.6,340
2023-06-07,0.6,0.6,0.6,0.6,12080
2023-06-08,0.6,0.6,0.6,0.6,0
2023-06-13,0.6,0.6,0.6,0.6,120
2023-06-14,0.6,0.6,0.6,0.6,270
2023-06-15,0.6,0.6,0.6,0.6,470
2023-06-16,0.6,0.6,0.6,0.6,580
2023-06-20,0.6,0.6,0.6,0.6,630
2023-06-21,0.6,0.6,0.6,0.6,290
2023-06-22,0.6,0.6,0.6,0.6,780
2023-06-23,0.6,0.6,0.6,0.6,0
2023-06-26,0.6,0.6,0.6,0.6,0
2023-06-27,0.6,0.6,0.6,0.6,1720
2023-06-28,0.6,0.6,0.6,0.6,20
2023-06-29,0.6,0.6,0.6,0.6,3100
2023-06-30,0.6,0.6,0.6,0.6,10
2023-07-04,0.6,0.6,0.6,0.6,10
2023-07-06,0.6,0.6,0.6,0.6,30
2023-07-07,0.6,0.6,0.6,0.6,1010
2023-07-10,0.6,0.6,0.6,0.6,0
2023-07-11,0.6,0.6,0.6,0.6,0
2023-07-12,0.6,0.6,0.6,0.6,0
2023-07-13,0.6,0.6,0.6,0.6,0
2023-07-14,0.6,0.6,0.6,0.6,59980
2023-07-17,0.6,0.6,0.6,0.6,20
2023-07-18,0.6,0.6,0.6,0.6,1250
2023-07-19,0.6,0.6,0.6,0.6,300
2023-07-20,0.6,0.6,0.6,0.6,8520
2023-07-21,0.6,0.6,0.6,0.6,2600
