Date,Precio_Inicio,Alto,Bajo,Precio_Cierre
2026-03-09,45000.0,52750.0,45001.0,52499.0
2026-03-10,52499.0,51798.0,51797.0,51798.0
2026-03-11,51798.0,50800.0,50800.0,51798.0
2026-03-12,51798.0,0.0,0.0,51798.0
2026-03-16,51798.0,51500.0,51500.0,51500.0
2026-03-17,51500.0,51494.99,50000.0,50000.0
2026-03-18,50000.0,52000.0,50000.0,51999.97
2026-03-20,51999.97,54997.53,49451.0,54997.52
2026-03-24,54997.52,54997.0,54000.0,54000.0
2026-03-25,54000.0,53999.0,50000.0,53999.0
2026-03-26,53999.0,53999.0,53999.0,53999.0
2026-03-27,53999.0,53999.0,50000.0,53998.0
2026-03-31,53998.0,53000.0,53000.0,53000.0
2026-04-01,53000.0,50000.0,50000.0,50000.0
2026-04-06,50000.0,50000.0,50000.0,50000.0
2026-04-07,50000.0,50000.0,50000.0,50000.0
