Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,2.0,2.0,2.0,2.0,362
2023-03-08,2.0,2.0,2.0,2.0,0
2023-03-09,2.0,2.0,2.0,2.0,3260
2023-03-10,2.0,2.0,2.0,2.0,110
2023-03-13,2.0,2.0,2.0,2.0,100
2023-03-14,2.0,2.0,2.0,2.0,11
2023-03-15,2.0,2.0,2.0,2.0,110
2023-03-16,2.0,2.0,2.0,2.0,1190
2023-03-17,2.1,2.1,2.1,2.1,10
2023-03-20,2.1,2.1,2.1,2.1,0
2023-03-21,2.0,2.0,2.0,2.0,65
2023-03-22,2.0,2.0,2.0,2.0,885
2023-03-23,1.9,1.9,1.9,1.9,1237
2023-03-24,2.0,2.0,2.0,2.0,129
2023-03-27,2.0,2.0,2.0,2.0,424
2023-03-28,2.0,2.0,2.0,2.0,99
2023-03-29,1.9,1.9,1.9,1.9,200
2023-03-30,1.9,1.9,1.9,1.9,1337
2023-03-31,1.9,1.9,1.9,1.9,3
2023-04-03,2.0,2.0,2.0,2.0,50
2023-04-04,2.0,2.0,2.0,2.0,21213
2023-04-05,1.9,1.9,1.9,1.9,20460
2023-04-10,1.9,1.9,1.9,1.9,42
2023-04-11,1.9,1.9,1.9,1.9,27810
2023-04-12,1.9,1.9,1.9,1.9,8680
2023-04-13,1.8,1.8,1.8,1.8,35275
2023-04-14,1.6,1.6,1.6,1.6,35803
2023-04-17,1.6,1.6,1.6,1.6,487
2023-04-18,1.6,1.6,1.6,1.6,603
2023-04-20,1.7,1.7,1.7,1.7,786
2023-04-21,1.7,1.7,1.7,1.7,0
2023-04-24,1.9,1.9,1.9,1.9,1069
2023-04-25,1.9,1.9,1.9,1.9,0
2023-04-26,1.9,1.9,1.9,1.9,1231
2023-04-27,2.2,2.2,2.2,2.2,5
2023-04-28,2.0,2.0,2.0,2.0,500
2023-05-02,2.4,2.4,2.4,2.4,60
2023-05-03,2.4,2.4,2.4,2.4,33064
2023-05-04,2.2,2.2,2.2,2.2,2514
2023-05-05,2.1,2.1,2.1,2.1,57
2023-05-08,2.6,2.6,2.6,2.6,1859
2023-05-09,2.6,2.6,2.6,2.6,4
2023-05-10,2.6,2.6,2.6,2.6,0
2023-05-11,2.5,2.5,2.5,2.5,285
2023-05-12,2.4,2.4,2.4,2.4,272
2023-05-15,2.4,2.4,2.4,2.4,20239
2023-05-16,2.4,2.4,2.4,2.4,169
2023-05-17,2.4,2.4,2.4,2.4,40
2023-05-18,2.4,2.4,2.4,2.4,102
2023-05-19,2.3,2.3,2.3,2.3,2
2023-05-23,2.4,2.4,2.4,2.4,52
2023-05-24,2.3,2.3,2.3,2.3,84
2023-05-25,2.3,2.3,2.3,2.3,259
2023-05-26,2.4,2.4,2.4,2.4,60
2023-05-29,2.5,2.5,2.5,2.5,4
2023-05-30,2.3,2.3,2.3,2.3,36
2023-05-31,2.3,2.3,2.3,2.3,139
2023-06-01,2.3,2.3,2.3,2.3,460
2023-06-02,2.3,2.3,2.3,2.3,10
2023-06-05,2.3,2.3,2.3,2.3,194
2023-06-06,2.3,2.3,2.3,2.3,40
2023-06-07,2.3,2.3,2.3,2.3,98
2023-06-08,2.3,2.3,2.3,2.3,0
2023-06-13,2.2,2.2,2.2,2.2,55
2023-06-14,1.8,1.8,1.8,1.8,37
2023-06-15,1.8,1.8,1.8,1.8,0
2023-06-16,2.2,2.2,2.2,2.2,40
2023-06-20,2.2,2.2,2.2,2.2,5
2023-06-21,2.1,2.1,2.1,2.1,1023
2023-06-22,2.1,2.1,2.1,2.1,175
2023-06-23,2.2,2.2,2.2,2.2,10
2023-06-26,2.2,2.2,2.2,2.2,30
2023-06-27,2.2,2.2,2.2,2.2,267
2023-06-28,2.2,2.2,2.2,2.2,40
2023-06-29,2.2,2.2,2.2,2.2,0
2023-06-30,2.5,2.5,2.5,2.5,10
2023-07-04,2.5,2.5,2.5,2.5,41280
2023-07-06,2.4,2.4,2.4,2.4,45
2023-07-07,2.3,2.3,2.3,2.3,2046
2023-07-10,2.3,2.3,2.3,2.3,22864
2023-07-11,2.3,2.3,2.3,2.3,51431
2023-07-12,2.3,2.3,2.3,2.3,2790
2023-07-13,2.2,2.2,2.2,2.2,34990
2023-07-14,2.2,2.2,2.2,2.2,3410
2023-07-17,2.2,2.2,2.2,2.2,64
2023-07-18,2.2,2.2,2.2,2.2,13
2023-07-19,2.2,2.2,2.2,2.2,5
2023-07-20,2.2,2.2,2.2,2.2,0
2023-07-21,2.2,2.2,2.2,2.2,0
2023-07-25,2.2,2.2,2.2,2.2,250
2023-07-26,2.2,2.2,2.2,2.2,40
2023-07-27,2.3,2.3,2.3,2.3,415
2023-07-28,2.3,2.3,2.3,2.3,30
2023-07-31,2.3,2.3,2.3,2.3,0
2023-08-01,2.3,2.3,2.3,2.3,85
2023-08-02,2.3,2.3,2.3,2.3,53142
2023-08-03,2.3,2.3,2.3,2.3,0
2023-08-04,2.3,2.3,2.3,2.3,12
2023-08-07,2.3,2.3,2.3,2.3,0
2023-08-08,2.7,2.7,2.7,2.7,19
2023-08-09,2.7,2.7,2.7,2.7,0
2023-08-10,2.8,2.8,2.8,2.8,15
2023-08-11,2.8,2.8,2.8,2.8,520
2023-08-15,2.8,2.8,2.8,2.8,210
2023-08-16,3.2,3.2,3.2,3.2,3754
2023-08-17,3.8,3.8,3.8,3.8,2735
2023-08-18,4.8,4.8,4.8,4.8,1156
2023-08-21,6.5,6.5,6.5,6.5,522
2023-08-22,6.4,6.4,6.4,6.4,544
2023-08-23,6.2,6.2,6.2,6.2,391
2023-08-24,6.1,6.1,6.1,6.1,547
2023-08-25,6.0,6.0,6.0,6.0,230
2023-08-28,6.0,6.0,6.0,6.0,17
2023-08-29,5.8,5.8,5.8,5.8,87
2023-08-30,4.9,4.9,4.9,4.9,20611
2023-08-31,5.0,5.0,5.0,5.0,65
2023-09-01,4.9,4.9,4.9,4.9,1134
2023-09-04,4.9,4.9,4.9,4.9,1128
2023-09-05,5.0,5.0,5.0,5.0,166
2023-09-06,5.2,5.2,5.2,5.2,730
2023-09-07,5.2,5.2,5.2,5.2,229
2023-09-08,5.2,5.2,5.2,5.2,281
2023-09-12,5.2,5.2,5.2,5.2,753
2023-09-13,5.2,5.2,5.2,5.2,69
2023-09-14,5.2,5.2,5.2,5.2,268
2023-09-15,5.0,5.0,5.0,5.0,8
2023-09-18,5.2,5.2,5.2,5.2,155
2023-09-19,5.2,5.2,5.2,5.2,306
2023-09-20,5.2,5.2,5.2,5.2,110
2023-09-21,5.2,5.2,5.2,5.2,0
2023-09-22,4.8,4.8,4.8,4.8,250
2023-09-25,4.7,4.7,4.7,4.7,231
2023-09-26,4.7,4.7,4.7,4.7,134
2023-09-27,4.7,4.7,4.7,4.7,0
2023-09-28,4.6,4.6,4.6,4.6,805
2023-09-29,4.5,4.5,4.5,4.5,20956
2023-10-02,4.1,4.1,4.1,4.1,21896
2023-10-03,4.1,4.1,4.1,4.1,13
2023-10-04,4.1,4.1,4.1,4.1,187
2023-10-05,4.1,4.1,4.1,4.1,60220
2023-10-06,4.0,4.0,4.0,4.0,1054
2023-10-09,4.0,4.0,4.0,4.0,0
2023-10-10,4.0,4.0,4.0,4.0,4539
2023-10-11,4.0,4.0,4.0,4.0,3064
2023-10-13,4.3,4.3,4.3,4.3,40
2023-10-16,4.0,4.0,4.0,4.0,6334
2023-10-17,4.0,4.0,4.0,4.0,714
2023-10-18,4.0,4.0,4.0,4.0,411
2023-10-19,4.0,4.0,4.0,4.0,415
2023-10-20,3.9,3.9,3.9,3.9,14440
2023-10-23,4.2,4.2,4.2,4.2,1877
2023-10-24,4.0,4.0,4.0,4.0,7190
2023-10-25,3.8,3.8,3.8,3.8,82
2023-10-26,3.8,3.8,3.8,3.8,3324
2023-10-27,4.0,4.0,4.0,4.0,19357
2023-10-31,3.9,3.9,3.9,3.9,148
2023-11-01,3.8,3.8,3.8,3.8,626
2023-11-02,3.7,3.7,3.7,3.7,422
2023-11-03,3.7,3.7,3.7,3.7,243
2023-11-07,3.7,3.7,3.7,3.7,0
2023-11-08,3.7,3.7,3.7,3.7,3835
2023-11-09,4.0,4.0,4.0,4.0,1
2023-11-10,3.8,3.8,3.8,3.8,45
2023-11-13,4.0,4.0,4.0,4.0,188
2023-11-14,4.0,4.0,4.0,4.0,60
2023-11-15,3.2,3.2,3.2,3.2,150
2023-11-16,4.0,4.0,4.0,4.0,1016
2023-11-17,3.5,3.5,3.5,3.5,1549
2023-11-20,4.0,4.0,4.0,4.0,251
2023-11-21,3.8,3.8,3.8,3.8,2612
2023-11-22,3.8,3.8,3.8,3.8,0
2023-11-23,4.0,4.0,4.0,4.0,322
2023-11-24,3.9,3.9,3.9,3.9,150
2023-11-27,3.9,3.9,3.9,3.9,20
2023-11-28,3.9,3.9,3.9,3.9,1223
2023-11-29,3.9,3.9,3.9,3.9,0
2023-11-30,4.4,4.4,4.4,4.4,5
2023-12-01,4.0,4.0,4.0,4.0,5125
2023-12-04,4.0,4.0,4.0,4.0,4136
2023-12-05,4.0,4.0,4.0,4.0,1315
2023-12-06,3.9,3.9,3.9,3.9,472
2023-12-07,3.9,3.9,3.9,3.9,607
2023-12-08,3.5,3.5,3.5,3.5,11390
2023-12-12,3.9,3.9,3.9,3.9,1058
2023-12-13,3.6,3.6,3.6,3.6,355
2023-12-14,3.6,3.6,3.6,3.6,0
2023-12-15,3.6,3.6,3.6,3.6,472
2023-12-18,3.6,4.0,3.6,3.6,311
2023-12-19,3.6,3.9,3.9,3.9,658
2023-12-20,3.9,4.0,4.0,4.0,750
2023-12-21,4.0,4.0,4.0,4.0,14
2023-12-22,4.0,4.0,4.0,4.0,20
2023-12-26,4.0,4.0,4.0,4.0,144
2023-12-27,4.0,4.0,4.0,4.0,9188
2023-12-28,4.0,4.0,4.0,4.0,130
2023-12-29,4.0,4.0,3.9,3.9,189
2024-01-02,3.9,3.9,3.5,3.9,211
2024-01-03,3.9,3.9,3.9,3.9,10
2024-01-04,3.9,4.0,4.0,3.9,5
2024-01-05,3.9,4.0,3.9,4.0,400
2024-01-08,4.0,4.0,4.0,4.0,13
2024-01-09,4.0,4.0,4.0,4.0,15
2024-01-10,4.0,4.0,4.0,4.0,150
2024-01-11,4.0,4.0,4.0,4.0,110
2024-01-12,4.0,4.0,3.9,3.9,567
2024-01-15,3.9,3.8,3.8,3.8,112
2024-01-16,3.8,3.8,3.8,3.8,300
2024-01-17,3.8,3.7,3.6,3.7,1300
2024-01-18,3.7,3.7,3.6,3.6,382
2024-01-19,3.6,3.6,3.2,3.6,8200
