Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,3.0,3.0,3.0,3.0,472
2023-03-08,3.0,3.0,3.0,3.0,141
2023-03-09,3.0,3.0,3.0,3.0,526204
2023-03-10,3.0,3.0,3.0,3.0,16444
2023-03-13,2.9,2.9,2.9,2.9,2463
2023-03-14,2.8,2.8,2.8,2.8,704
2023-03-15,2.5,2.5,2.5,2.5,23502
2023-03-16,2.5,2.5,2.5,2.5,76859
2023-03-17,2.9,2.9,2.9,2.9,2095
2023-03-20,2.9,2.9,2.9,2.9,128
2023-03-21,2.8,2.8,2.8,2.8,125
2023-03-22,2.8,2.8,2.8,2.8,1781
2023-03-23,2.8,2.8,2.8,2.8,52
2023-03-24,2.8,2.8,2.8,2.8,12802
2023-03-27,2.8,2.8,2.8,2.8,8115
2023-03-28,2.8,2.8,2.8,2.8,2309
2023-03-29,2.8,2.8,2.8,2.8,685
2023-03-30,2.8,2.8,2.8,2.8,1841
2023-03-31,2.8,2.8,2.8,2.8,58
2023-04-03,2.8,2.8,2.8,2.8,3521
2023-04-04,2.8,2.8,2.8,2.8,714
2023-04-05,2.8,2.8,2.8,2.8,47
2023-04-10,2.8,2.8,2.8,2.8,40
2023-04-11,2.8,2.8,2.8,2.8,200
2023-04-12,2.8,2.8,2.8,2.8,12085
2023-04-13,2.8,2.8,2.8,2.8,1280
2023-04-14,2.7,2.7,2.7,2.7,1528
2023-04-17,2.6,2.6,2.6,2.6,2218
2023-04-18,3.1,3.1,3.1,3.1,7899
2023-04-20,3.0,3.0,3.0,3.0,879
2023-04-21,3.2,3.2,3.2,3.2,12303
2023-04-24,3.2,3.2,3.2,3.2,7
2023-04-25,3.2,3.2,3.2,3.2,40
2023-04-26,3.2,3.2,3.2,3.2,409
2023-04-27,3.3,3.3,3.3,3.3,1396
2023-04-28,3.2,3.2,3.2,3.2,1029
2023-05-02,3.2,3.2,3.2,3.2,333
2023-05-03,3.2,3.2,3.2,3.2,96
2023-05-04,3.2,3.2,3.2,3.2,1600
2023-05-05,3.5,3.5,3.5,3.5,525768
2023-05-08,3.5,3.5,3.5,3.5,2525
2023-05-09,3.7,3.7,3.7,3.7,23
2023-05-10,3.7,3.7,3.7,3.7,9060
2023-05-11,3.7,3.7,3.7,3.7,136
2023-05-12,3.7,3.7,3.7,3.7,128
2023-05-15,3.5,3.5,3.5,3.5,9408
2023-05-16,3.4,3.4,3.4,3.4,106
2023-05-17,3.1,3.1,3.1,3.1,2501
2023-05-18,3.1,3.1,3.1,3.1,6718
2023-05-19,3.2,3.2,3.2,3.2,1520
2023-05-23,3.1,3.1,3.1,3.1,6391
2023-05-24,3.0,3.0,3.0,3.0,309
2023-05-25,3.0,3.0,3.0,3.0,1230
2023-05-26,3.1,3.1,3.1,3.1,8491
2023-05-29,3.1,3.1,3.1,3.1,875
2023-05-30,3.1,3.1,3.1,3.1,5141
2023-05-31,3.0,3.0,3.0,3.0,178
2023-06-01,3.3,3.3,3.3,3.3,910
2023-06-02,3.3,3.3,3.3,3.3,48722
2023-06-05,3.3,3.3,3.3,3.3,272
2023-06-06,2.7,2.7,2.7,2.7,21
2023-06-07,2.8,2.8,2.8,2.8,9438
2023-06-08,3.0,3.0,3.0,3.0,59039
2023-06-13,3.0,3.0,3.0,3.0,15
2023-06-14,3.0,3.0,3.0,3.0,214
2023-06-15,3.0,3.0,3.0,3.0,100
2023-06-16,3.0,3.0,3.0,3.0,119
2023-06-20,3.0,3.0,3.0,3.0,96
2023-06-21,3.0,3.0,3.0,3.0,137467
2023-06-22,3.0,3.0,3.0,3.0,1112
2023-06-23,3.0,3.0,3.0,3.0,383
2023-06-26,2.9,2.9,2.9,2.9,392
2023-06-27,2.9,2.9,2.9,2.9,6051
2023-06-28,3.0,3.0,3.0,3.0,6
2023-06-29,3.0,3.0,3.0,3.0,1140
2023-06-30,3.1,3.1,3.1,3.1,24479
2023-07-04,3.0,3.0,3.0,3.0,12978
2023-07-06,3.0,3.0,3.0,3.0,0
2023-07-07,3.0,3.0,3.0,3.0,4417
2023-07-10,3.0,3.0,3.0,3.0,8086
2023-07-11,3.0,3.0,3.0,3.0,158
2023-07-12,3.0,3.0,3.0,3.0,2
2023-07-13,3.0,3.0,3.0,3.0,48435
2023-07-14,3.0,3.0,3.0,3.0,192
2023-07-17,3.4,3.4,3.4,3.4,509
2023-07-18,3.4,3.4,3.4,3.4,1550
2023-07-19,3.3,3.3,3.3,3.3,153
2023-07-20,3.2,3.2,3.2,3.2,4649
2023-07-21,3.2,3.2,3.2,3.2,47
2023-07-25,3.2,3.2,3.2,3.2,4964
2023-07-26,3.2,3.2,3.2,3.2,1317
2023-07-27,3.0,3.0,3.0,3.0,15517
2023-07-28,3.1,3.1,3.1,3.1,539
2023-07-31,3.1,3.1,3.1,3.1,15636
2023-08-01,3.1,3.1,3.1,3.1,149
2023-08-02,3.0,3.0,3.0,3.0,119
2023-08-03,3.0,3.0,3.0,3.0,1353
2023-08-04,3.0,3.0,3.0,3.0,1002
2023-08-07,3.0,3.0,3.0,3.0,1487
2023-08-08,2.9,2.9,2.9,2.9,1562
2023-08-09,2.8,2.8,2.8,2.8,290
2023-08-10,2.8,2.8,2.8,2.8,553
2023-08-11,2.8,2.8,2.8,2.8,922
2023-08-15,2.8,2.8,2.8,2.8,975
2023-08-16,2.8,2.8,2.8,2.8,3452
