Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,4.3,4.3,4.3,4.3,5066
2023-03-08,4.4,4.4,4.4,4.4,1175
2023-03-09,4.2,4.2,4.2,4.2,121714
2023-03-10,4.2,4.2,4.2,4.2,665
2023-03-13,4.2,4.2,4.2,4.2,11921
2023-03-14,4.2,4.2,4.2,4.2,24025
2023-03-15,4.2,4.2,4.2,4.2,285
2023-03-16,4.0,4.0,4.0,4.0,149
2023-03-17,4.2,4.2,4.2,4.2,1576
2023-03-20,4.1,4.1,4.1,4.1,212
2023-03-21,4.1,4.1,4.1,4.1,123
2023-03-22,4.1,4.1,4.1,4.1,1034
2023-03-23,4.0,4.0,4.0,4.0,1763
2023-03-24,4.0,4.0,4.0,4.0,12904
2023-03-27,4.0,4.0,4.0,4.0,13879
2023-03-28,4.3,4.3,4.3,4.3,9736
2023-03-29,4.3,4.3,4.3,4.3,2219
2023-03-30,4.3,4.3,4.3,4.3,89
2023-03-31,4.2,4.2,4.2,4.2,291
2023-04-03,4.2,4.2,4.2,4.2,20484
2023-04-04,4.2,4.2,4.2,4.2,1347
2023-04-05,4.2,4.2,4.2,4.2,12040
2023-04-10,4.2,4.2,4.2,4.2,1770
2023-04-11,4.1,4.1,4.1,4.1,1333
2023-04-12,4.1,4.1,4.1,4.1,9578
2023-04-13,4.0,4.0,4.0,4.0,4491
2023-04-14,4.0,4.0,4.0,4.0,4219
2023-04-17,4.0,4.0,4.0,4.0,5335
2023-04-18,4.0,4.0,4.0,4.0,5427
2023-04-20,4.0,4.0,4.0,4.0,3783
2023-04-21,4.5,4.5,4.5,4.5,20394
2023-04-24,4.5,4.5,4.5,4.5,201
2023-04-25,4.4,4.4,4.4,4.4,490
2023-04-26,4.5,4.5,4.5,4.5,261
2023-04-27,4.5,4.5,4.5,4.5,4915
2023-04-28,4.7,4.7,4.7,4.7,1601
2023-05-02,4.7,4.7,4.7,4.7,976
2023-05-03,4.9,4.9,4.9,4.9,535
2023-05-04,4.9,4.9,4.9,4.9,599
2023-05-05,5.5,5.5,5.5,5.5,116219
2023-05-08,5.5,5.5,5.5,5.5,3032
2023-05-09,5.4,5.4,5.4,5.4,55
2023-05-10,5.3,5.3,5.3,5.3,2596
2023-05-11,5.3,5.3,5.3,5.3,0
2023-05-12,5.3,5.3,5.3,5.3,95
2023-05-15,5.2,5.2,5.2,5.2,7312
2023-05-16,5.1,5.1,5.1,5.1,618
2023-05-17,4.8,4.8,4.8,4.8,1206
2023-05-18,4.6,4.6,4.6,4.6,1748
2023-05-19,4.6,4.6,4.6,4.6,1833
2023-05-23,4.8,4.8,4.8,4.8,420
2023-05-24,4.6,4.6,4.6,4.6,6396
2023-05-25,4.6,4.6,4.6,4.6,884
2023-05-26,5.5,5.5,5.5,5.5,3996
2023-05-29,5.5,5.5,5.5,5.5,75
2023-05-30,5.4,5.4,5.4,5.4,1130
2023-05-31,5.0,5.0,5.0,5.0,268
2023-06-01,5.0,5.0,5.0,5.0,894
2023-06-02,5.0,5.0,5.0,5.0,131
2023-06-05,4.5,4.5,4.5,4.5,2564
2023-06-06,4.3,4.3,4.3,4.3,162
2023-06-07,4.5,4.5,4.5,4.5,1466
2023-06-08,4.4,4.4,4.4,4.4,8838
2023-06-13,4.8,4.8,4.8,4.8,8149
2023-06-14,4.8,4.8,4.8,4.8,8473
2023-06-15,4.7,4.7,4.7,4.7,392
2023-06-16,4.7,4.7,4.7,4.7,384
2023-06-20,4.8,4.8,4.8,4.8,747
2023-06-21,4.5,4.5,4.5,4.5,57107
2023-06-22,4.5,4.5,4.5,4.5,1029
2023-06-23,4.4,4.4,4.4,4.4,330
2023-06-26,4.4,4.4,4.4,4.4,510
2023-06-27,4.4,4.4,4.4,4.4,335
2023-06-28,4.7,4.7,4.7,4.7,1115
2023-06-29,5.2,5.2,5.2,5.2,1037
2023-06-30,5.2,5.2,5.2,5.2,18226
2023-07-04,5.0,5.0,5.0,5.0,10535
2023-07-06,4.7,4.7,4.7,4.7,8623
2023-07-07,5.1,5.1,5.1,5.1,20
2023-07-10,4.8,4.8,4.8,4.8,8035
2023-07-11,4.2,4.2,4.2,4.2,2573
2023-07-12,4.6,4.6,4.6,4.6,35
2023-07-13,4.8,4.8,4.8,4.8,7485
2023-07-14,4.7,4.7,4.7,4.7,534
2023-07-17,4.7,4.7,4.7,4.7,3231
2023-07-18,4.7,4.7,4.7,4.7,839
2023-07-19,4.7,4.7,4.7,4.7,9583
2023-07-20,4.6,4.6,4.6,4.6,8366
2023-07-21,4.8,4.8,4.8,4.8,918
2023-07-25,4.9,4.9,4.9,4.9,9415
2023-07-26,4.9,4.9,4.9,4.9,455
2023-07-27,4.9,4.9,4.9,4.9,2307
2023-07-28,4.8,4.8,4.8,4.8,74421
2023-07-31,4.8,4.8,4.8,4.8,11449
2023-08-01,4.8,4.8,4.8,4.8,30364
2023-08-02,4.8,4.8,4.8,4.8,615
2023-08-03,4.8,4.8,4.8,4.8,873
2023-08-04,4.6,4.6,4.6,4.6,2128
2023-08-07,4.6,4.6,4.6,4.6,6223
2023-08-08,4.8,4.8,4.8,4.8,14484
2023-08-09,4.6,4.6,4.6,4.6,835
2023-08-10,4.7,4.7,4.7,4.7,10787
2023-08-11,4.5,4.5,4.5,4.5,12694
2023-08-15,4.6,4.6,4.6,4.6,8233
2023-08-16,4.8,4.8,4.8,4.8,32292
2023-08-17,5.1,5.1,5.1,5.1,2685
2023-08-18,5.0,5.0,5.0,5.0,3161
2023-08-21,5.2,5.2,5.2,5.2,199
2023-08-22,5.1,5.1,5.1,5.1,601
2023-08-23,5.1,5.1,5.1,5.1,404
2023-08-24,5.0,5.0,5.0,5.0,3554
2023-08-25,5.0,5.0,5.0,5.0,1471
2023-08-28,5.3,5.3,5.3,5.3,1432
2023-08-29,5.3,5.3,5.3,5.3,6008
2023-08-30,5.6,5.6,5.6,5.6,10302
2023-08-31,5.6,5.6,5.6,5.6,1209
2023-09-01,5.6,5.6,5.6,5.6,925
2023-09-04,5.6,5.6,5.6,5.6,127
2023-09-05,5.5,5.5,5.5,5.5,1491
2023-09-06,5.5,5.5,5.5,5.5,3684
