Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,2.3,2.3,2.3,2.3,7
2023-03-08,2.3,2.3,2.3,2.3,0
2023-03-09,2.3,2.3,2.3,2.3,6960
2023-03-10,2.3,2.3,2.3,2.3,5
2023-03-13,2.2,2.2,2.2,2.2,174
2023-03-14,2.2,2.2,2.2,2.2,0
2023-03-15,2.2,2.2,2.2,2.2,0
2023-03-16,2.2,2.2,2.2,2.2,7
2023-03-17,2.2,2.2,2.2,2.2,19
2023-03-20,2.2,2.2,2.2,2.2,23
2023-03-21,2.2,2.2,2.2,2.2,20
2023-03-22,1.9,1.9,1.9,1.9,1219
2023-03-23,1.9,1.9,1.9,1.9,0
2023-03-24,1.9,1.9,1.9,1.9,0
2023-03-27,2.2,2.2,2.2,2.2,18
2023-03-28,2.4,2.4,2.4,2.4,25
2023-03-29,2.4,2.4,2.4,2.4,0
2023-03-30,2.2,2.2,2.2,2.2,10
2023-03-31,1.9,1.9,1.9,1.9,1082
2023-04-03,2.1,2.1,2.1,2.1,21
2023-04-04,2.1,2.1,2.1,2.1,0
2023-04-05,2.1,2.1,2.1,2.1,7
2023-04-10,2.3,2.3,2.3,2.3,10
2023-04-11,2.3,2.3,2.3,2.3,100
2023-04-12,2.8,2.8,2.8,2.8,14
2023-04-13,2.8,2.8,2.8,2.8,0
2023-04-14,2.8,2.8,2.8,2.8,0
2023-04-17,2.8,2.8,2.8,2.8,0
2023-04-18,2.5,2.5,2.5,2.5,10
2023-04-20,2.5,2.5,2.5,2.5,91
2023-04-21,2.5,2.5,2.5,2.5,0
2023-04-24,2.4,2.4,2.4,2.4,83
2023-04-25,2.0,2.0,2.0,2.0,654
2023-04-26,2.0,2.0,2.0,2.0,88
2023-04-27,2.4,2.4,2.4,2.4,39
2023-04-28,2.4,2.4,2.4,2.4,378
2023-05-02,2.4,2.4,2.4,2.4,0
2023-05-03,2.2,2.2,2.2,2.2,5
2023-05-04,2.2,2.2,2.2,2.2,149
2023-05-05,2.1,2.1,2.1,2.1,80
2023-05-08,2.2,2.2,2.2,2.2,59
2023-05-09,2.1,2.1,2.1,2.1,229
2023-05-10,2.1,2.1,2.1,2.1,2500
2023-05-11,2.1,2.1,2.1,2.1,0
2023-05-12,2.1,2.1,2.1,2.1,0
