Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,3.6,3.6,3.6,3.6,556
2023-03-08,3.6,3.6,3.6,3.6,115
2023-03-09,3.6,3.6,3.6,3.6,20265
2023-03-10,3.6,3.6,3.6,3.6,280
2023-03-13,3.5,3.5,3.5,3.5,3065
2023-03-14,3.5,3.5,3.5,3.5,4595
2023-03-15,3.5,3.5,3.5,3.5,10090
2023-03-16,3.1,3.1,3.1,3.1,2930
2023-03-17,3.1,3.1,3.1,3.1,8232
2023-03-20,3.5,3.5,3.5,3.5,155
2023-03-21,3.5,3.5,3.5,3.5,8408
2023-03-22,3.3,3.3,3.3,3.3,236
2023-03-23,2.9,2.9,2.9,2.9,6630
2023-03-24,3.3,3.3,3.3,3.3,248
2023-03-27,3.0,3.0,3.0,3.0,1000
2023-03-28,3.2,3.2,3.2,3.2,1585
2023-03-29,3.2,3.2,3.2,3.2,2148
2023-03-30,3.4,3.4,3.4,3.4,40
2023-03-31,3.5,3.5,3.5,3.5,66
2023-04-03,3.2,3.2,3.2,3.2,644
2023-04-04,3.2,3.2,3.2,3.2,400
2023-04-05,3.2,3.2,3.2,3.2,158
2023-04-10,3.2,3.2,3.2,3.2,2424
2023-04-11,3.2,3.2,3.2,3.2,930
2023-04-12,3.3,3.3,3.3,3.3,1610
2023-04-13,3.3,3.3,3.3,3.3,1360
2023-04-14,3.3,3.3,3.3,3.3,624
2023-04-17,3.9,3.9,3.9,3.9,2237
2023-04-18,3.5,3.5,3.5,3.5,7357
2023-04-20,3.5,3.5,3.5,3.5,80
2023-04-21,3.5,3.5,3.5,3.5,418
2023-04-24,3.6,3.6,3.6,3.6,7443
2023-04-25,3.9,3.9,3.9,3.9,195
2023-04-26,3.6,3.6,3.6,3.6,240
2023-04-27,3.6,3.6,3.6,3.6,8199
2023-04-28,3.6,3.6,3.6,3.6,180
2023-05-02,4.1,4.1,4.1,4.1,10
2023-05-03,4.0,4.0,4.0,4.0,51
2023-05-04,4.1,4.1,4.1,4.1,253
2023-05-05,4.1,4.1,4.1,4.1,1303
2023-05-08,4.5,4.5,4.5,4.5,1070
2023-05-09,4.5,4.5,4.5,4.5,14
2023-05-10,4.6,4.6,4.6,4.6,1064
2023-05-11,4.6,4.6,4.6,4.6,113
2023-05-12,4.6,4.6,4.6,4.6,13
2023-05-15,4.6,4.6,4.6,4.6,790
2023-05-16,4.5,4.5,4.5,4.5,564
2023-05-17,4.4,4.4,4.4,4.4,2624
2023-05-18,4.2,4.2,4.2,4.2,673
2023-05-19,4.2,4.2,4.2,4.2,461
2023-05-23,4.2,4.2,4.2,4.2,3663
2023-05-24,4.2,4.2,4.2,4.2,1318
2023-05-25,4.2,4.2,4.2,4.2,282
2023-05-26,4.2,4.2,4.2,4.2,5585
2023-05-29,4.2,4.2,4.2,4.2,11149
2023-05-30,4.1,4.1,4.1,4.1,149
2023-05-31,3.9,3.9,3.9,3.9,153
2023-06-01,4.0,4.0,4.0,4.0,300
2023-06-02,4.0,4.0,4.0,4.0,432
2023-06-05,3.8,3.8,3.8,3.8,135
2023-06-06,4.0,4.0,4.0,4.0,105
2023-06-07,3.9,3.9,3.9,3.9,3224
2023-06-08,3.8,3.8,3.8,3.8,298
2023-06-13,3.8,3.8,3.8,3.8,2214
2023-06-14,3.8,3.8,3.8,3.8,265
2023-06-15,3.8,3.8,3.8,3.8,0
2023-06-16,3.8,3.8,3.8,3.8,1008
2023-06-20,3.8,3.8,3.8,3.8,10
2023-06-21,3.8,3.8,3.8,3.8,609
2023-06-22,3.8,3.8,3.8,3.8,18
2023-06-23,3.8,3.8,3.8,3.8,206
2023-06-26,3.8,3.8,3.8,3.8,4870
2023-06-27,3.2,3.2,3.2,3.2,6820
2023-06-28,3.7,3.7,3.7,3.7,3145
2023-06-29,3.8,3.8,3.8,3.8,133
2023-06-30,3.8,3.8,3.8,3.8,113
2023-07-04,3.7,3.7,3.7,3.7,5434
2023-07-06,3.2,3.2,3.2,3.2,1286
2023-07-07,3.6,3.6,3.6,3.6,991
2023-07-10,3.5,3.5,3.5,3.5,45
2023-07-11,3.0,3.0,3.0,3.0,157
2023-07-12,3.5,3.5,3.5,3.5,1064
2023-07-13,3.4,3.4,3.4,3.4,185
2023-07-14,3.6,3.6,3.6,3.6,48
2023-07-17,3.5,3.5,3.5,3.5,832
2023-07-18,3.5,3.5,3.5,3.5,8591
2023-07-19,3.5,3.5,3.5,3.5,123
2023-07-20,3.4,3.4,3.4,3.4,2207
2023-07-21,3.4,3.4,3.4,3.4,12
2023-07-25,3.3,3.3,3.3,3.3,3506
2023-07-26,3.3,3.3,3.3,3.3,1363
2023-07-27,3.3,3.3,3.3,3.3,11300
2023-07-28,3.3,3.3,3.3,3.3,362
2023-07-31,3.3,3.3,3.3,3.3,81
2023-08-01,3.3,3.3,3.3,3.3,335
2023-08-02,3.2,3.2,3.2,3.2,474
2023-08-03,3.1,3.1,3.1,3.1,58
2023-08-04,3.2,3.2,3.2,3.2,1130
2023-08-07,3.2,3.2,3.2,3.2,694
2023-08-08,3.2,3.2,3.2,3.2,700
2023-08-09,3.2,3.2,3.2,3.2,1430
2023-08-10,3.2,3.2,3.2,3.2,2672
2023-08-11,2.8,2.8,2.8,2.8,11524
2023-08-15,3.2,3.2,3.2,3.2,305
2023-08-16,3.2,3.2,3.2,3.2,343
2023-08-17,3.1,3.1,3.1,3.1,512
2023-08-18,3.1,3.1,3.1,3.1,2195
2023-08-21,3.1,3.1,3.1,3.1,833
2023-08-22,3.0,3.0,3.0,3.0,5334
2023-08-23,3.0,3.0,3.0,3.0,4037
2023-08-24,2.9,2.9,2.9,2.9,708
2023-08-25,3.0,3.0,3.0,3.0,19085
2023-08-28,3.0,3.0,3.0,3.0,6166
2023-08-29,3.0,3.0,3.0,3.0,49113
2023-08-30,3.0,3.0,3.0,3.0,31697
2023-08-31,3.0,3.0,3.0,3.0,31860
2023-09-01,3.0,3.0,3.0,3.0,20030
2023-09-04,3.0,3.0,3.0,3.0,12073
2023-09-05,3.0,3.0,3.0,3.0,37558
2023-09-06,2.9,2.9,2.9,2.9,13893
2023-09-07,2.9,2.9,2.9,2.9,189
2023-09-08,3.0,3.0,3.0,3.0,4469
2023-09-12,2.9,2.9,2.9,2.9,50
2023-09-13,2.9,2.9,2.9,2.9,149
2023-09-14,2.9,2.9,2.9,2.9,3014
2023-09-15,2.9,2.9,2.9,2.9,182
2023-09-18,2.7,2.7,2.7,2.7,802
2023-09-19,2.6,2.6,2.6,2.6,2929
2023-09-20,2.6,2.6,2.6,2.6,1235
2023-09-21,2.6,2.6,2.6,2.6,4466
2023-09-22,2.6,2.6,2.6,2.6,4023
2023-09-25,2.5,2.5,2.5,2.5,894
2023-09-26,2.5,2.5,2.5,2.5,2731
2023-09-27,2.5,2.5,2.5,2.5,1529
2023-09-28,2.5,2.5,2.5,2.5,178
2023-09-29,2.5,2.5,2.5,2.5,701
2023-10-02,2.5,2.5,2.5,2.5,877
2023-10-03,2.5,2.5,2.5,2.5,10260
2023-10-04,2.6,2.6,2.6,2.6,16698
2023-10-05,2.7,2.7,2.7,2.7,1633
2023-10-06,3.3,3.3,3.3,3.3,1823
2023-10-09,3.6,3.6,3.6,3.6,640
2023-10-10,3.3,3.3,3.3,3.3,2707
2023-10-11,3.2,3.2,3.2,3.2,1114
2023-10-13,3.3,3.3,3.3,3.3,38825
2023-10-16,3.5,3.5,3.5,3.5,734
2023-10-17,3.5,3.5,3.5,3.5,3299
2023-10-18,3.6,3.6,3.6,3.6,425
2023-10-19,4.1,4.1,4.1,4.1,2972
2023-10-20,4.2,4.2,4.2,4.2,10326
2023-10-23,5.0,5.0,5.0,5.0,49454
2023-10-24,4.9,4.9,4.9,4.9,2309
2023-10-25,4.5,4.5,4.5,4.5,232
2023-10-26,4.5,4.5,4.5,4.5,20218
2023-10-27,4.4,4.4,4.4,4.4,656
2023-10-31,4.1,4.1,4.1,4.1,30852
2023-11-01,3.8,3.8,3.8,3.8,281
2023-11-02,3.6,3.6,3.6,3.6,4682
2023-11-03,4.0,4.0,4.0,4.0,1240
2023-11-07,4.0,4.0,4.0,4.0,0
2023-11-08,4.4,4.4,4.4,4.4,623
2023-11-09,4.3,4.3,4.3,4.3,1369
2023-11-10,4.2,4.2,4.2,4.2,2039
2023-11-13,4.4,4.4,4.4,4.4,1224
2023-11-14,4.9,4.9,4.9,4.9,2822
2023-11-15,4.5,4.5,4.5,4.5,4992
