Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,0.1,0.1,0.1,0.1,133200
2023-03-08,0.1,0.1,0.1,0.1,0
2023-03-09,0.1,0.1,0.1,0.1,88200
2023-03-10,0.1,0.1,0.1,0.1,4400
2023-03-13,0.1,0.1,0.1,0.1,0
2023-03-14,0.1,0.1,0.1,0.1,4100
2023-03-15,0.1,0.1,0.1,0.1,0
2023-03-16,0.1,0.1,0.1,0.1,0
2023-03-17,0.1,0.1,0.1,0.1,1100
2023-03-20,0.1,0.1,0.1,0.1,800
2023-03-21,0.1,0.1,0.1,0.1,1600
2023-03-22,0.1,0.1,0.1,0.1,1000
2023-03-23,0.1,0.1,0.1,0.1,0
2023-03-24,0.1,0.1,0.1,0.1,300
2023-03-27,0.1,0.1,0.1,0.1,600
2023-03-28,0.1,0.1,0.1,0.1,0
2023-03-29,0.1,0.1,0.1,0.1,0
2023-03-30,0.1,0.1,0.1,0.1,1100
2023-03-31,0.1,0.1,0.1,0.1,0
2023-04-03,0.1,0.1,0.1,0.1,0
2023-04-04,0.1,0.1,0.1,0.1,0
2023-04-05,0.1,0.1,0.1,0.1,0
2023-04-10,0.1,0.1,0.1,0.1,400
2023-04-11,0.1,0.1,0.1,0.1,3000
2023-04-12,0.1,0.1,0.1,0.1,1800
2023-04-13,0.1,0.1,0.1,0.1,100
2023-04-14,0.1,0.1,0.1,0.1,0
2023-04-17,0.1,0.1,0.1,0.1,1900
2023-04-18,0.1,0.1,0.1,0.1,2600
2023-04-20,0.1,0.1,0.1,0.1,0
2023-04-21,0.1,0.1,0.1,0.1,0
2023-04-24,0.1,0.1,0.1,0.1,2500
2023-04-25,0.1,0.1,0.1,0.1,3100
2023-04-26,0.1,0.1,0.1,0.1,3000
2023-04-27,0.1,0.1,0.1,0.1,20000
2023-04-28,0.1,0.1,0.1,0.1,22600
2023-05-02,0.1,0.1,0.1,0.1,15000
2023-05-03,0.1,0.1,0.1,0.1,2200
2023-05-04,0.1,0.1,0.1,0.1,2000
2023-05-05,0.1,0.1,0.1,0.1,300
2023-05-08,0.1,0.1,0.1,0.1,25000
2023-05-09,0.2,0.2,0.2,0.2,400
2023-05-10,0.2,0.2,0.2,0.2,2400
2023-05-11,0.2,0.2,0.2,0.2,900
2023-05-12,0.2,0.2,0.2,0.2,0
2023-05-15,0.2,0.2,0.2,0.2,1100
2023-05-16,0.2,0.2,0.2,0.2,0
2023-05-17,0.2,0.2,0.2,0.2,0
2023-05-18,0.2,0.2,0.2,0.2,0
2023-05-19,0.2,0.2,0.2,0.2,0
2023-05-23,0.2,0.2,0.2,0.2,0
2023-05-24,0.2,0.2,0.2,0.2,0
2023-05-25,0.2,0.2,0.2,0.2,0
2023-05-26,0.2,0.2,0.2,0.2,0
2023-05-29,0.2,0.2,0.2,0.2,0
2023-05-30,0.2,0.2,0.2,0.2,1500
2023-05-31,0.2,0.2,0.2,0.2,1500
