Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2023-03-07,-167.2,-167.2,-167.2,-167.2,223600
2023-03-08,-167.2,-167.2,-167.2,-167.2,330200
2023-03-09,-164.5,-164.5,-164.5,-164.5,757000
2023-03-10,-169.3,-169.3,-169.3,-169.3,1653600
2023-03-13,-175.3,-175.3,-175.3,-175.3,1528500
2023-03-14,-176.0,-176.0,-176.0,-176.0,2540400
2023-03-15,-169.3,-169.3,-169.3,-169.3,1880000
2023-03-16,-170.6,-170.6,-170.6,-170.6,136700
2023-03-17,-165.2,-165.2,-165.2,-165.2,992
2023-03-20,-162.5,-162.5,-162.5,-162.5,287700
2023-03-21,-161.1,-161.1,-161.1,-161.1,1150900
2023-03-22,-161.1,-161.1,-161.1,-161.1,683379600
2023-03-23,-162.5,-162.5,-162.5,-162.5,2184200
2023-03-24,-163.2,-163.2,-163.2,-163.2,782900
2023-03-27,-163.2,-163.2,-163.2,-163.2,4577900
2023-03-28,-165.9,-165.9,-165.9,-165.9,1370500
2023-03-29,-165.2,-165.2,-165.2,-165.2,2135100
2023-03-30,-165.2,-165.2,-165.2,-165.2,3444000
2023-03-31,-165.9,-165.9,-165.9,-165.9,118563300
2023-04-03,-155.7,-155.7,-155.7,-155.7,6916000
2023-04-04,-161.8,-161.8,-161.8,-161.8,78100
2023-04-05,-155.7,-155.7,-155.7,-155.7,253500
2023-04-10,-155.7,-155.7,-155.7,-155.7,1117400
2023-04-11,-162.5,-162.5,-162.5,-162.5,5295400
2023-04-12,-156.4,-156.4,-156.4,-156.4,333500
2023-04-13,-159.1,-159.1,-159.1,-159.1,1311700
2023-04-14,-157.7,-157.7,-157.7,-157.7,1063000
2023-04-17,-153.0,-153.0,-153.0,-153.0,468900
2023-04-18,-158.4,-158.4,-158.4,-158.4,4787600
2023-04-20,-162.5,-162.5,-162.5,-162.5,10570200
2023-04-21,-168.6,-168.6,-168.6,-168.6,19625300
2023-04-24,-165.2,-165.2,-165.2,-165.2,6082000
2023-04-25,-162.5,-162.5,-162.5,-162.5,126600
2023-04-26,-161.8,-161.8,-161.8,-161.8,4678500
2023-04-27,-161.8,-161.8,-161.8,-161.8,14263900
2023-04-28,-161.8,-161.8,-161.8,-161.8,608000
2023-05-02,-169.3,-169.3,-169.3,-169.3,348400
2023-05-03,-169.3,-169.3,-169.3,-169.3,126800
2023-05-04,-172.6,-172.6,-172.6,-172.6,3032600
2023-05-05,-172.6,-172.6,-172.6,-172.6,10885000
2023-05-08,-182.8,-182.8,-182.8,-182.8,823300
2023-05-09,-188.2,-188.2,-188.2,-188.2,1058800
2023-05-10,-187.5,-187.5,-187.5,-187.5,1935022000
2023-05-11,-186.2,-186.2,-186.2,-186.2,4686100
2023-05-12,-169.3,-169.3,-169.3,-169.3,4659100
2023-05-15,-165.9,-165.9,-165.9,-165.9,1043600
2023-05-16,-165.2,-165.2,-165.2,-165.2,1077900
2023-05-17,-165.2,-165.2,-165.2,-165.2,108600
2023-05-18,-163.8,-163.8,-163.8,-163.8,3580900
2023-05-19,-163.8,-163.8,-163.8,-163.8,320200
2023-05-23,-160.5,-160.5,-160.5,-160.5,190900
2023-05-24,-161.8,-161.8,-161.8,-161.8,141300
2023-05-25,-161.8,-161.8,-161.8,-161.8,58278900
2023-05-26,-163.2,-163.2,-163.2,-163.2,2709300
2023-05-29,-179.4,-179.4,-179.4,-179.4,154300
2023-05-30,-162.5,-162.5,-162.5,-162.5,1301699600
2023-05-31,-172.6,-172.6,-172.6,-172.6,902900
2023-06-01,-174.7,-174.7,-174.7,-174.7,491500
2023-06-02,-177.4,-177.4,-177.4,-177.4,332300
2023-06-05,-174.7,-174.7,-174.7,-174.7,1172400
2023-06-06,-174.7,-174.7,-174.7,-174.7,188800
2023-06-07,-172.0,-172.0,-172.0,-172.0,5398700
2023-06-08,-173.3,-173.3,-173.3,-173.3,1169300
2023-06-13,-168.6,-168.6,-168.6,-168.6,2420100
2023-06-14,-167.9,-167.9,-167.9,-167.9,16143400
2023-06-15,-167.9,-167.9,-167.9,-167.9,1215300
2023-06-16,-172.6,-172.6,-172.6,-172.6,1389900
2023-06-20,-172.6,-172.6,-172.6,-172.6,7714800
2023-06-21,-168.6,-168.6,-168.6,-168.6,39793300
2023-06-22,-167.9,-167.9,-167.9,-167.9,115700
2023-06-23,-165.2,-165.2,-165.2,-165.2,16243500
2023-06-26,-165.9,-165.9,-165.9,-165.9,562500
2023-06-27,-163.2,-163.2,-163.2,-163.2,7309500
2023-06-28,-169.3,-169.3,-169.3,-169.3,549100
2023-06-29,-172.6,-172.6,-172.6,-172.6,56400
2023-06-30,-178.1,-178.1,-178.1,-178.1,141200
2023-07-04,-176.0,-176.0,-176.0,-176.0,3633300
2023-07-06,-162.5,-162.5,-162.5,-162.5,1020400
2023-07-07,-171.3,-171.3,-171.3,-171.3,93949600
2023-07-10,-178.7,-178.7,-178.7,-178.7,1247000
2023-07-11,-178.1,-178.1,-178.1,-178.1,3105700
2023-07-12,-169.9,-169.9,-169.9,-169.9,1357700
2023-07-13,-178.1,-178.1,-178.1,-178.1,508800
2023-07-14,-184.8,-184.8,-184.8,-184.8,2812900
