fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo,acciones
02-JAN-26,222.0,245.0,23.0,9.39,245.0,190.0,22,323,69934.0,48125000.0
30-DEC-25,195.0,222.0,27.0,12.16,222.0,222.0,12,319,70818.0,
29-DEC-25,169.85,195.0,25.15,12.9,195.0,149.0,18,10310,2002535.38,
26-DEC-25,169.88,169.85,-0.03,-0.02,169.88,150.0,15,373,62957.92,
23-DEC-25,169.9,169.88,-0.02,-0.01,169.88,160.0,8,249,41277.54,
22-DEC-25,170.0,169.9,-0.1,-0.06,170.0,161.0,10,331,56207.5,
19-DEC-25,150.0,170.0,20.0,11.76,179.0,147.0,14,1092,166041.0,
18-DEC-25,134.5,150.0,15.5,10.33,150.0,135.0,6,420,58050.0,
17-DEC-25,121.0,134.5,13.5,10.04,134.99,130.0,12,122,16365.75,
16-DEC-25,121.0,121.0,0.0,0.0,135.0,121.0,12,85,11320.39,
15-DEC-25,128.0,121.0,-7.0,-5.79,135.0,121.0,10,252,33056.24,
12-DEC-25,130.0,128.0,-2.0,-1.56,134.99,118.0,13,1951,249582.77,
11-DEC-25,137.99,130.0,-7.99,-6.15,137.95,112.6,10,615,83394.35,
10-DEC-25,139.0,137.99,-1.01,-0.73,138.99,112.55,13,359,49346.09,
09-DEC-25,139.99,139.0,-0.99,-0.71,139.99,112.05,17,632,87387.65,
05-DEC-25,140.0,139.99,-0.01,-0.01,139.99,139.99,9,160,22398.4,
04-DEC-25,140.0,140.0,0.0,0.0,143.0,132.0,9,211,29562.0,
03-DEC-25,142.0,140.0,-2.0,-1.43,144.5,132.0,12,186,26132.07,
02-DEC-25,145.0,142.0,-3.0,-2.11,143.0,125.0,15,229,31738.65,
01-DEC-25,140.0,145.0,5.0,3.45,145.0,140.0,14,166,23865.0,
2025-11-28 00:00:00,145.0,140.0,-5.0,-3.57,145.0,135.7,17,484,68082.0,
2025-11-27 00:00:00,141.0,145.0,4.0,2.76,145.0,143.0,10,226,32709.1,
2025-11-26 00:00:00,149.0,141.0,-8.0,-5.67,145.0,119.5,21,342,48767.5,
2025-11-25 00:00:00,129.99,149.0,19.01,12.76,154.98,129.99,18,247,34773.95,
2025-11-21 00:00:00,132.0,129.99,-2.01,-1.55,131.99,110.0,22,3434,449591.02,
2025-11-20 00:00:00,135.0,132.0,-3.0,-2.27,135.0,132.0,19,616,81321.0,
2025-11-19 00:00:00,139.99,135.0,-4.99,-3.7,139.99,120.0,18,595,81760.79,
2025-11-18 00:00:00,140.0,139.99,-0.01,-0.01,140.0,125.0,21,144,19851.4,
2025-11-17 00:00:00,145.0,140.0,-5.0,-3.57,145.0,130.0,17,796,111275.18,
2025-11-14 00:00:00,145.0,145.0,0.0,0.0,145.0,145.0,6,58,8410.0,
2025-11-13 00:00:00,144.0,145.0,1.0,0.69,145.0,135.0,8,699,95795.0,
2025-11-12 00:00:00,130.0,144.0,14.0,9.72,148.0,130.0,10,489,65517.0,
2025-11-11 00:00:00,129.45,130.0,0.55,0.42,133.0,121.05,11,239,31337.04,
2025-11-10 00:00:00,129.0,129.45,0.45,0.35,129.5,115.0,13,406,52224.9,
2025-11-07 00:00:00,129.0,129.0,0.0,0.0,134.99,129.0,21,868,112760.42,
2025-11-06 00:00:00,140.0,129.0,-11.0,-8.53,139.9,128.1,17,346,45868.92,
2025-11-05 00:00:00,140.0,140.0,0.0,0.0,140.0,139.9,13,126,17639.1,
2025-11-04 00:00:00,148.78,140.0,-8.78,-6.27,147.95,139.0,17,790,112188.6,
2025-11-03 00:00:00,149.9,148.78,-1.12,-0.75,149.9,129.0,12,400,59493.88,
2025-10-31 00:00:00,150.0,149.9,-0.1,-0.07,150.0,131.0,15,210,31460.66,
2025-10-30 00:00:00,155.0,150.0,-5.0,-3.33,154.99,138.5,20,761,115536.29,
2025-10-29 00:00:00,155.0,155.0,0.0,0.0,155.0,150.0,6,83,12598.8,
2025-10-28 00:00:00,160.0,155.0,-5.0,-3.23,155.0,128.1,14,277,42642.9,
2025-10-27 00:00:00,155.0,160.0,5.0,3.13,160.0,155.0,6,111,17590.0,
2025-10-24 00:00:00,164.0,155.0,-9.0,-5.81,165.0,155.0,16,395,63265.26,
2025-10-23 00:00:00,164.95,164.0,-0.95,-0.58,173.99,132.0,13,7479,1163257.77,
2025-10-22 00:00:00,164.95,164.95,0.0,0.0,174.0,170.0,9,82,14100.0,
2025-10-21 00:00:00,138.0,164.95,26.95,16.34,165.0,140.01,8,127,20828.28,
2025-10-17 00:00:00,113.98,138.0,24.02,17.41,139.94,113.98,14,1010,118657.65,
2025-10-16 00:00:00,114.0,113.98,-0.02,-0.02,114.0,113.98,16,450,51295.6,
2025-10-15 00:00:00,113.98,114.0,0.02,0.02,114.0,113.98,16,7656,872711.58,
2025-10-14 00:00:00,105.0,113.98,8.98,7.88,114.9,105.0,11,2392,272627.18,
2025-10-13 00:00:00,101.9,105.0,3.1,2.95,115.0,95.0,22,5249,551179.45,
2025-10-10 00:00:00,86.0,101.9,15.9,15.6,103.0,99.95,12,191,19448.05,
2025-10-09 00:00:00,89.5,86.0,-3.5,-4.07,102.0,86.0,11,665,61097.0,
2025-10-08 00:00:00,86.0,89.5,3.5,3.91,90.01,88.0,15,3435,304409.75,
2025-10-07 00:00:00,87.0,86.0,-1.0,-1.16,90.0,82.0,21,9197,767980.5,
2025-10-06 00:00:00,87.0,87.0,0.0,0.0,90.0,82.0,10,429,37338.0,
2025-10-03 00:00:00,88.0,87.0,-1.0,-1.15,89.0,82.0,13,594,52192.0,
2025-10-02 00:00:00,89.85,88.0,-1.85,-2.1,89.0,78.1,11,564,49297.3,
2025-10-01 00:00:00,90.0,89.85,-0.15,-0.17,89.85,88.5,16,443,39646.95,
2025-09-30 00:00:00,90.0,90.0,0.0,0.0,91.0,90.0,11,285,25716.0,
2025-09-29 00:00:00,91.0,90.0,-1.0,-1.11,92.5,82.0,15,387,34929.0,
2025-09-26 00:00:00,91.8,91.0,-0.8,-0.88,91.8,77.1,7,251,22843.3,
2025-09-25 00:00:00,91.7,91.8,0.1,0.11,92.5,91.7,22,616,56689.3,
2025-09-24 00:00:00,91.5,91.7,0.2,0.22,91.7,91.5,11,205,18786.7,
2025-09-23 00:00:00,91.0,91.5,0.5,0.55,91.5,91.0,7,290,26483.5,
2025-09-22 00:00:00,92.9,91.0,-1.9,-2.09,93.0,85.0,13,384,34898.0,
2025-09-19 00:00:00,93.8,92.9,-0.9,-0.97,93.0,92.9,12,481,44693.8,
2025-09-18 00:00:00,93.85,93.8,-0.05,-0.05,94.0,77.0,11,191,17252.55,
2025-09-17 00:00:00,94.0,93.85,-0.15,-0.16,94.9,93.0,17,276,25883.15,
2025-09-16 00:00:00,94.0,94.0,0.0,0.0,95.0,94.0,11,529,50129.6,
2025-09-12 00:00:00,94.0,94.0,0.0,0.0,95.0,93.99,9,128,12056.95,
2025-09-11 00:00:00,97.9,94.0,-3.9,-4.15,95.0,86.0,14,318,30038.5,
2025-09-10 00:00:00,97.6,97.9,0.3,0.31,97.99,93.99,8,63,6092.92,
2025-09-09 00:00:00,104.85,97.9,-6.95,-7.1,107.0,97.5,16,717,72239.6,
2025-09-08 00:00:00,100.0,104.85,4.85,4.63,108.0,101.0,10,384,40294.25,
2025-09-05 00:00:00,93.0,100.0,7.0,7.0,105.0,94.0,8,753,71575.45,
2025-09-04 00:00:00,86.0,93.0,7.0,7.53,98.0,85.5,16,4736,414352.1,
2025-09-03 00:00:00,86.0,86.0,0.0,0.0,86.0,80.0,9,21591,1821730.0,
2025-09-02 00:00:00,86.95,86.0,-0.95,-1.1,86.98,86.0,18,328,28117.36,
2025-09-01 00:00:00,84.0,86.95,2.95,3.39,88.0,84.0,18,527,46192.02,
29-AUG-25,88.9,84.0,-4.9,-5.83,89.9,84.0,17,3256,273519.72,
28-AUG-25,83.4,88.9,5.5,6.19,89.0,84.0,9,709,61973.89,
27-AUG-25,79.85,83.4,3.55,4.26,85.0,79.0,12,380,30516.4,
26-AUG-25,76.0,79.85,3.85,4.82,90.0,75.0,11,2323,181488.9,
25-AUG-25,75.99,76.0,0.01,0.01,79.95,76.0,8,110,8423.2,
22-AUG-25,70.0,75.99,5.99,7.88,76.0,75.99,15,1633,124107.12,
21-AUG-25,69.0,70.0,1.0,1.43,76.0,69.74,6,1343,93996.0,
20-AUG-25,69.0,69.0,0.0,0.0,69.74,67.0,16,5053,341259.22,
19-AUG-25,69.75,69.0,-0.75,-1.09,70.0,66.0,20,6881,464163.23,
15-AUG-25,70.0,69.75,-0.25,-0.36,70.0,69.75,19,1221,85306.95,
14-AUG-25,71.9,70.0,-1.9,-2.71,70.0,70.0,7,260,18200.0,
13-AUG-25,72.0,71.9,-0.1,-0.14,71.99,71.9,5,218,15675.55,
12-AUG-25,70.0,72.0,2.0,2.78,76.9,61.0,8,372,26859.2,
11-AUG-25,70.0,70.0,0.0,0.0,77.0,77.0,3,16,1232.0,
08-AUG-25,65.0,70.0,5.0,7.14,70.0,70.0,4,89,6230.0,
07-AUG-25,60.0,65.0,5.0,7.69,69.8,65.0,3,185,12073.0,
06-AUG-25,55.0,60.0,5.0,8.33,60.0,55.0,10,1916,108926.0,
05-AUG-25,54.75,55.0,0.25,0.45,55.0,54.75,16,885,48651.75,
04-AUG-25,54.75,54.75,0.0,0.0,54.75,54.75,1,21,1149.75,
01-AUG-25,54.75,54.75,0.0,0.0,56.4,56.4,1,5,282.0,
2025-07-31 00:00:00,54.75,54.75,0.0,0.0,54.75,54.5,4,62,3392.85,
2025-07-30 00:00:00,54.75,54.75,0.0,0.0,56.99,56.97,6,50,2848.54,
2025-07-29 00:00:00,54.75,54.75,0.0,0.0,57.0,57.0,1,5,285.0,
2025-07-28 00:00:00,54.0,54.75,0.75,1.37,55.9,54.0,10,6161,337205.24,
2025-07-25 00:00:00,54.0,54.0,0.0,0.0,54.0,52.0,13,221,11926.0,
2025-07-23 00:00:00,54.99,54.0,-0.99,-1.83,54.0,53.0,8,280,15109.0,
2025-07-22 00:00:00,50.0,54.99,4.99,9.07,54.99,54.0,7,244,13336.38,
2025-07-21 00:00:00,50.0,50.0,0.0,0.0,50.0,43.0,10,1242,62030.0,
2025-07-18 00:00:00,43.5,50.0,6.5,13.0,50.0,50.0,5,215,10750.0,
2025-07-17 00:00:00,43.5,43.5,0.0,0.0,48.0,41.0,12,2538,110913.5,
2025-07-16 00:00:00,43.5,43.5,0.0,0.0,43.5,43.0,5,110,4778.5,
